Exporters	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance in 2021 (USD thousand)	Select your indicators-Annual growth in value between 2017-2021 (%)	Select your indicators-Annual growth in value between 2020-2021 (%)	Select your indicators-Share in world exports (%)	Select your indicators-Average distance of importing countries (km)	Select your indicators-Concentration of importing countries	
"World"	21513115684	-362327697	3	24	100	4808	0.04	
"China"	3026233691	587547398	6	17	14.1	6669	0.06	
"United States of America"	1753941406	-1183123078	1	23	8.2	6755	0.07	
"Germany"	1626387793	205192436	1	18	7.6	3075	0.04	
"Japan"	757460945	-15217866	0	18	3.5	5728	0.1	
"Netherlands"	691826642	71036845	5	25	3.2	2354	0.08	
"Hong Kong, China"	672153980	-41815266	4	22	3.1	3219	0.37	
"Korea, Republic of"	644438622	29404127	1	26	3	5188	0.1	
"Italy"	611009552	59476093	3	23	2.8	3092	0.05	
"France"	569479663	-132428300	0	20	2.6	2993	0.06	
"Belgium"	547537372	30951541	4	31	2.5	2276	0.08	
"Canada"	503726004	14143331	2	29	2.3	3005	0.57	
"Mexico"	494595503	-11969956	3	19	2.3	2830	0.61	
"Russian Federation"	492314339	198812667	4	46	2.3	3655	0.05	
"United Kingdom"	468059106	-221639701	-1	18	2.2	3695	0.05	
"Singapore"	457749966	50837197	3	22	2.1	4838	0.07	
"Taipei, Chinese"	447565068	65066611	8	29	2.1	4328	0.13	
"Viet Nam"	406755914	77556653	12	17	1.9	7591	0.13	
"India"	394813673	-175588331	4	43	1.8	6773	0.05	
"Spain"	391558519	-34501298	4	25	1.8	2785	0.06	
"Switzerland"	380243724	57180618	5	19	1.8	4436	0.08	
"Australia"	345599938	96706503	9	36	1.6	8594	0.16	
"Poland"	317832125	-17619197	7	25	1.5	1546	0.1	
"Malaysia"	299288393	60967286	6	28	1.4	5399	0.07	
"Brazil"	280814577	61406528	4	34	1.3	11764	0.12	
"Saudi Arabia"	267546847	115212888	-1	52	1.2	4727		
"Thailand"	267492416	-1609614	2	17	1.2	5879	0.07	
"Indonesia"	228231164	32518755	5	40	1.1	6430	0.09	
"Czech Republic"	225574895	16623227	4	17	1	1284	0.13	
"Turkey"	225264314	-46158444	8	33	1	3157	0.03	
"United Arab Emirates"	217742566	20871148	5	47	1	5092	0.09	
"Austria"	202927906	-16335814	3	20	0.9	2030	0.11	
"Ireland"	189996305	70488950	8	5	0.9	3904	0.14	
"Sweden"	189816220	2748386	4	23	0.9	2639	0.05	
"Norway"	160479746	61843562	5	95	0.7	2130	0.11	
"Hungary"	141256736	2352072	4	18	0.7	1571	0.09	
"Denmark"	125014614	3230588	4	17	0.6	2556	0.07	
"South Africa"	123734050	30119797	6	44	0.6	8649	0.05	
"Slovakia"	104360088	-322010	4	20	0.5	1410	0.09	
"Chile"	89842027	2800239	5	33	0.4	14040	0.19	
