Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Antigua and Barbuda's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Antigua and Barbuda (%)	
"Total"	192032	-1042692	100	0	35		100	3				
"Barbados"	38097	27437	19.8	160	35432	161	0	0	4992	0.21		
"United States of America"	29825	-526497	15.5	21	443	1	13.4	3	7938	0.08		
"Poland"	27873	-256028	14.5	-24	-73	18	1.5	8	3121	0.08		
"United Kingdom"	20201	-3757	10.5	19	4839	7	3.2	1	3930	0.06		
"France"	17209	10942	9	55	5596	6	3.2	1	3195	0.06		
"Dominican Republic"	13595	4548	7.1	14	-30	67	0.1	5	6446	0.22		
"Thailand"	12884	9581	6.7	117	6762	23	1.2	2	4905	0.09		
"Guyana"	7898	5696	4.1	75	1369	144	0.02	13	11175	0.21		
"Senegal"	3513	3513	1.8	33	32	110	0.04	4	6632	0.05		
"Norway"	2701	2481	1.4	757	-29	39	0.5	3	3470	0.06		
"Germany"	2457	-14506	1.3	-18	393	3	6.5	3	3376	0.05		
"China"	2395	-105061	1.2	221	7220	2	11.1	5	6416	0.04		
"Belgium"	2043	156	1.1	-11	6070	12	2.4	3	2709	0.08		
"New Zealand"	1418	33	0.7	107	1840	56	0.2	3	11141	0.09		
"Korea, Republic of"	1208	-1624	0.6	-53	6128	9	2.8	4	5699	0.09		
"Taipei, Chinese"	1120	902	0.6	27	2363	17	1.7	8	5007	0.1		
"Denmark"	1089	-291	0.6	-4	2843	35	0.6	5	2182	0.08		
"Indonesia"	827	-595	0.4	72		30	0.9	2	5872	0.11		
"Nigeria"	800	792	0.4	79	317	53	0.2	17	7792	0.1		
"Colombia"	581	-847	0.3	131	7451	51	0.3	4	8915	0.13		
"South Africa"	500	-1249	0.3	74	-60	41	0.4	-1	9230	0.07		
"Czech Republic"	407	248	0.2	37	245	28	1	4	2987	0.1		
"Grenada"	365	-119	0.2	23	-3	191	0	-1	4157	0.2		
"Tajikistan"	346	346	0.2			142	0.02	9	2803	0.17		
"Canada"	326	-23596	0.2	5	202	14	2.2	1	5042	0.26		
"Portugal"	302	-362	0.2	225	449	40	0.4	2	2788	0.14		
"Italy"	211	-11434	0.1	25	5	11	2.5	2	2891	0.06		
"India"	191	-1944	0.1	53	82	10	2.6	2	5793	0.05		
"Netherlands"	162	-10698	0.1	28	-73	8	2.8	5	3706	0.07		
"Spain"	147	-2690	0.1	12	-46	15	1.9	3	3890	0.05		
"Israel"	134	134	0.1			42	0.4	4	5483	0.07		
"Mexico"	127	-486	0.1	-28	-72	13	2.3	2	7039	0.24		
"Moldova, Republic of"	105	98	0.1	42	6	118	0.03	8	2317	0.08		
"Estonia"	101	100	0.1		226	73	0.1	6	2314	0.06		
"Maldives"	85	85	0	220		151	0.01	-3	4478	0.08		
"Guatemala"	83	-240	0	-23	298	68	0.1	7	5828	0.15		
"Australia"	81	-337	0	-70	-23	24	1.1	1	10262	0.1		
"Sweden"	74	-457	0	-41	2367	31	0.9	3	2128	0.07		
"Ireland"	66	-28	0	65	101	36	0.5	4	3265	0.1		
"Switzerland"	62	-1345	0	23	-73	20	1.5	4	3384	0.07		
"Slovenia"	56	39	0			55	0.2	10	2404	0.07		
"Angola"	48	27	0	-27	-68	100	0.05	-11	7692	0.06		
"Tunisia"	40	37	0		2578	78	0.10	-1	3411	0.06		
"Cyprus"	38	-7125	0	-83		105	0.05	-1	3118	0.09		
"Pakistan"	29	-121	0	-29	158	47	0.3	2	4850	0.11		
"Singapore"	24	-71315	0	-50	881	16	1.9	3	5773	0.07		
"Romania"	21	-15	0	-27		37	0.5	6	1891	0.07		
"Samoa"	16	16	0			197	0	-1	6816	0.13		
"Austria"	15	-661	0	54	-1	27	1	3	1514	0.18		
"Japan"	15	-5629	0		-42	4	3.5	1	6256	0.09		
"Uzbekistan"	13	13	0			74	0.1	16	3412	0.12		
"Zambia"	13	13	0	32	-24	119	0.03	-9	5447	0.14		
"Belarus"	13	12	0	-6		61	0.2	2	2268	0.23		
"Ukraine"	11	-13	0		13	48	0.3	7	3255	0.06		
"Benin"	9	9	0	-7		149	0.01	-2	6481	0.07		
"Comoros"	8	8	0			192	0	18	5731	0.22		
"Greece"	8	-7973	0	6	60	45	0.3	4	2847	0.05		
"Finland"	7	-2752	0	60	-65	44	0.4	3	2842	0.07		
"Luxembourg"	6	6	0	-8	20	71	0.1	3	1488	0.14		
"Tanzania, United Republic of"	6	6	0	-7		102	0.05	7	6633	0.1		
"Ethiopia"	4	4	0			90	0.07	1	6305	0.11		
"Slovakia"	4	-8	0	-12	-94	38	0.5	4	2664	0.07		
"Kenya"	3	-7	0		-6	80	0.09	2	6680	0.08		
"Burkina Faso"	2	2	0	67		136	0.02	5	6109	0.05		
"Philippines"	2	-4	0	-62	-98	34	0.6	2	4354	0.09		
"Russian Federation"	2	-27	0	193		21	1.3	5	4187	0.09		
"Lithuania"	2	-142	0	7		59	0.2	7	1630	0.07		
"Brazil"	2	-34196	0	-44	-96	26	1	6	10879	0.09		
"Bosnia and Herzegovina"	1	1	0	-15		94	0.06	3	2228	0.07		
"Armenia"	1	1	0			131	0.02	6	3323	0.15		
"El Salvador"	1	-147	0			88	0.07	9	4914	0.15		
"Croatia"	1	-151	0			63	0.2	6	1362	0.07		
"Belize"	1	-884	0	-76		179	0	1	5006	0.18		
"Malaysia"	1	-1443	0	25		25	1.1	3	5172	0.09		
"Cambodia"		-30				66	0.1	16	2651	0.18		
"Nicaragua"		-31				104	0.05	4	5888	0.1		
"Bulgaria"		-46				57	0.2	6	2237	0.05		
"Egypt"		-60				46	0.3	-1	5219	0.05		
"Lao People's Democratic Republic"		-63				129	0.02	-1	2572	0.28		
"Ecuador"		-78				69	0.1	3	9174	0.12		
"Latvia"		-177				77	0.1	7	1575	0.08		
"Argentina"		-390				50	0.3	-5	10631	0.1		
"Hungary"		-408				33	0.6	6	2180	0.09		
"Chile"		-509				43	0.4	6	11582	0.13		
"Peru"		-615				54	0.2	3	10420	0.13		
"Honduras"		-719				99	0.05	4	6104	0.16		
"Iceland"		-1025				112	0.04	-1	4251	0.05		
"Turkey"		-9022				22	1.2	3	4285	0.05		
"Hong Kong, China"						5	3.3	3	2841	0.22		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Saudi Arabia"						32	0.7	3	5816	0.07		
"Bangladesh"						49	0.3	6	4172	0.15		
"Morocco"						52	0.3	4	4316	0.07		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Serbia"						65	0.2	9	2497	0.06		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Macao, China"						81	0.09	15		0.17		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Paraguay"						92	0.06	0	7311	0.15		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Bahrain"						101	0.05	1	6359	0.08		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Yemen"						107	0.04	11	5706	0.11		
"Mozambique"						108	0.04	8	6196	0.1		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Georgia"						113	0.04	-2	2513	0.09		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Malta"						120	0.03	1	3249	0.08		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
