Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Argentina's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Argentina (%)	
"World"	77838728	14654975	100	5	42		100	3				
"Brazil"	11761549	-680793	15.1	1	48	26	1	6	10879	0.09		
"China"	6154212	-7370827	7.9	10	17	2	11.1	5	6416	0.04		
"United States of America"	4991829	-930290	6.4	-1	51	1	13.4	3	7938	0.08		
"India"	4293273	2899494	5.5	21	71	10	2.6	2	5793	0.05		
"Chile"	4176196	3480503	5.4	9	44	43	0.4	6	11582	0.13		
"Viet Nam"	3220919	2036533	4.1	11	13	19	1.5	8	3535	0.19		
"Netherlands"	2984086	2257321	3.8	16	87	8	2.8	5	3706	0.07		
"Peru"	1995216	1803526	2.6	15	45	54	0.2	3	10420	0.13		
"Indonesia"	1862980	1484451	2.4	12	41	30	0.9	2	5872	0.11		
"Spain"	1846778	763165	2.4	1	67	15	1.9	3	3890	0.05		
"Korea, Republic of"	1720166	1071915	2.2	39	149	9	2.8	4	5699	0.09		
"Egypt"	1535629	960561	2	6	31	46	0.3	-1	5219	0.05		
"Algeria"	1467377	1420682	1.9	-5	34	64	0.2	-8	4584	0.07		
"Malaysia"	1426079	896974	1.8	10	51	25	1.1	3	5172	0.09		
"Uruguay"	1366274	801313	1.8	1	27	95	0.06	0	9836	0.11		
"Paraguay"	1292409	-1622224	1.7	-2	48	92	0.06	0	7311	0.15		
"Iran, Islamic Republic of"	1228266	1226037	1.6	20	231	72	0.1	-18	5612	0.13		
"Colombia"	1129701	775608	1.5	14	93	51	0.3	4	8915	0.13		
"Italy"	974030	-338418	1.3	-4	19	11	2.5	2	2891	0.06		
"Switzerland"	954544	422287	1.2	-8	-6	20	1.5	4	3384	0.07		
"Bangladesh"	875659	861615	1.1	7	92	49	0.3	6	4172	0.15		
"Saudi Arabia"	850205	532621	1.1	4	-11	32	0.7	3	5816	0.07		
"Area Nes"	831143	165803	1.1	-5	-2							
"Germany"	806773	-1720379	1	-11	12	3	6.5	3	3376	0.05		
"Poland"	778314	542458	1	5	35	18	1.5	8	3121	0.08		
"United Arab Emirates"	773539	435984	1	39	43	29	0.9	-2	5715	0.08		
"United Kingdom"	760520	219916	1	-3	21	7	3.2	1	3930	0.06		
"Japan"	721944	-418374	0.9	-2	127	4	3.5	1	6256	0.09		
"Canada"	704964	280973	0.9	-21	61	14	2.2	1	5042	0.26		
"Mexico"	695255	-707892	0.9	-4	59	13	2.3	2	7039	0.24		
"Russian Federation"	679976	29266	0.9	3	11	21	1.3	5	4187	0.09		
"Morocco"	679274	353041	0.9	9	39	52	0.3	4	4316	0.07		
"Australia"	620719	211880	0.8	-1	9	24	1.1	1	10262	0.1		
"Bolivia, Plurinational State of"	564230	-490695	0.7	-4	8	106	0.04	-3	7978	0.11		
"Turkey"	557298	244320	0.7	4	8	22	1.2	3	4285	0.05		
"Ecuador"	504208	190425	0.6	-1	138	69	0.1	3	9174	0.12		
"South Africa"	452812	240133	0.6	-6	33	41	0.4	-1	9230	0.07		
"France"	438712	-563938	0.6	6	20	6	3.2	1	3195	0.06		
"Ireland"	437595	162917	0.6	13	4	36	0.5	4	3265	0.1		
"Thailand"	432051	-1121209	0.6	-6	4	23	1.2	2	4905	0.09		
"Belgium"	419762	-47828	0.5	-4	68	12	2.4	3	2709	0.08		
"Iraq"	407260	407258	0.5	19	37	62	0.2	3	4107	0.18		
"Israel"	366235	213656	0.5	16	27	42	0.4	4	5483	0.07		
"Philippines"	348333	222758	0.4	3	61	34	0.6	2	4354	0.09		
"Taipei, Chinese"	336716	-186011	0.4	34	80	17	1.7	8	5007	0.1		
"Cuba"	328993	323378	0.4	12	20	145	0.02	-13	7148	0.09		
"Dominican Republic"	328132	323097	0.4	22	201	67	0.1	5	6446	0.22		
"Jordan"	304789	303791	0.4	3	48	84	0.08	0	5167	0.07		
"Yemen"	274612	274607	0.4	12	28	107	0.04	11	5706	0.11		
"Greece"	238362	218435	0.3	10	36	45	0.3	4	2847	0.05		
"Mozambique"	236216	234719	0.3	27	89	108	0.04	8	6196	0.1		
"Guatemala"	231658	228116	0.3	9	86	68	0.1	7	5828	0.15		
"Denmark"	183418	36634	0.2	-7	-6	35	0.6	5	2182	0.08		
"New Zealand"	183232	158362	0.2	5	17	56	0.2	3	11141	0.09		
"Latvia"	175877	169382	0.2	22	132	77	0.1	7	1575	0.08		
"Venezuela, Bolivarian Republic of"	175157	168570	0.2	-17	68	117	0.03	-11	8121	0.16		
"Nigeria"	173586	155635	0.2	19	47	53	0.2	17	7792	0.1		
"Tunisia"	170560	156532	0.2	10	60	78	0.10	-1	3411	0.06		
"Senegal"	158578	158577	0.2	11	99	110	0.04	4	6632	0.05		
"Panama"	156569	155736	0.2	2	-4	60	0.2	1	8657	0.12		
"Kenya"	148304	147763	0.2	16	14	80	0.09	2	6680	0.08		
"Romania"	146579	53938	0.2	17	154	37	0.5	6	1891	0.07		
"Belarus"	143799	138089	0.2	21	65	61	0.2	2	2268	0.23		
"Portugal"	140194	-29156	0.2	10	66	40	0.4	2	2788	0.14		
"Hong Kong, China"	139300	128047	0.2	-17	-9	5	3.3	3	2841	0.22		
"Pakistan"	131279	84307	0.2	-4	5	47	0.3	2	4850	0.11		
"Libya, State of"	128876	128876	0.2	26	226	89	0.07	12	3475	0.08		
"Côte d'Ivoire"	118247	109455	0.2	20	139	93	0.06	9	6793	0.08		
"Bonaire, Sint Eustatius and Saba"	106418	106418	0.1		363	189	0	20		0.19		
"Angola"	95058	86287	0.1	21	149	100	0.05	-11	7692	0.06		
"Costa Rica"	92095	74539	0.1	-5	13	86	0.08	3	6987	0.22		
"Ghana"	90228	88054	0.1	16	71	82	0.08	8	8888	0.18		
"Lebanon"	90205	89689	0.1	-4	-11	97	0.06	-12	3592	0.06		
"Oman"	89019	-110193	0.1	1	41	83	0.08	-6	5977	0.08		
"Singapore"	81403	-58717	0.1	19	35	16	1.9	3	5773	0.07		
"Nicaragua"	69472	69072	0.1	2	58	104	0.05	4	5888	0.1		
"Uganda"	67519	67434	0.1	23	115	132	0.02	11	5788	0.09		
"Mauritius"	65971	65727	0.1	7	30	133	0.02	-2	7320	0.08		
"Honduras"	62227	60728	0.1	-7	51	99	0.05	4	6104	0.16		
"Mauritania"	59953	59953	0.1	27	1773	146	0.02	1	5817	0.07		
"El Salvador"	56636	55960	0.1	7	88	88	0.07	9	4914	0.15		
"Syrian Arab Republic"	55334	55268	0.1	-4	-21	139	0.02	-3	2496	0.27		
"Cyprus"	51978	50622	0.1	12	64	105	0.05	-1	3118	0.09		
"Madagascar"	45765	44132	0.1	24	192	138	0.02	2	7339	0.08		
"Lithuania"	42875	-25012	0.1	-2	19	59	0.2	7	1630	0.07		
"Croatia"	42800	39412	0.1	-10	76	63	0.2	6	1362	0.07		
"Slovenia"	42570	23527	0.1	52	432	55	0.2	10	2404	0.07		
"Ukraine"	41206	20835	0.1	-3	35	48	0.3	7	3255	0.06		
"Cameroon"	37608	37224	0	1	-23	116	0.03	8	7279	0.14		
"Tanzania, United Republic of"	35206	34966	0	7	171	102	0.05	7	6633	0.1		
"Myanmar"	34949	32333	0	84	52	79	0.10	-1	2536	0.25		
"Congo"	32726	-22062	0	19	72	154	0.01	-18	6851	0.07		
"Kuwait"	30087	14363	0	-16	-34	76	0.1	-3	5837	0.07		
"Togo"	29924	29924	0	105	324	153	0.01	10	7318	0.08		
"Bulgaria"	27361	-9369	0	-21	-25	57	0.2	6	2237	0.05		
"Sweden"	24769	-221056	0	-17	-9	31	0.9	3	2128	0.07		
"Qatar"	22833	-440176	0	6	-29	70	0.1	0	5745	0.06		
"Norway"	20390	-51094	0	4	-12	39	0.5	3	3470	0.06		
"Czech Republic"	19352	-158368	0	-27	-2	28	1	4	2987	0.1		
"Trinidad and Tobago"	18943	-20940	0	14	29	128	0.03	-1	6663	0.26		
"Guinea"	18123	18119	0	99	1436	135	0.02	7	9140	0.19		
"Brunei Darussalam"	17588	17497	0	18	71	109	0.04	26	5185	0.11		
"Slovakia"	16913	-46823	0	-13	-8	38	0.5	4	2664	0.07		
"Georgia"	16399	15513	0	35	51	113	0.04	-2	2513	0.09		
"Mali"	14304	14296	0	-7	569	141	0.02	9	5008	0.1		
"Gambia"	13048	13048	0	38	143	167	0	7	8260	0.14		
"Bosnia and Herzegovina"	11372	8803	0	21	196	94	0.06	3	2228	0.07		
"Nepal"	11039	11029	0	20	203	96	0.06	8	1856	0.56		
"Haiti"	10661	10535	0	-20	45	140	0.02	0	6340	0.18		
"Serbia"	9223	-6402	0	-1	44	65	0.2	9	2497	0.06		
"Hungary"	8395	-268277	0	-8	-7	33	0.6	6	2180	0.09		
"Rwanda"	8161	8153	0	20	15	159	0.01	17	5437	0.08		
"Jamaica"	8135	8109	0	5	89	137	0.02	-2	6759	0.22		
"Finland"	7887	-140326	0	-41	26	44	0.4	3	2842	0.07		
"Austria"	7662	-175095	0	-16	24	27	1	3	1514	0.18		
"Macedonia, North"	7627	5116	0	4	15	103	0.05	8	1348	0.09		
"Congo, Democratic Republic of the"	7603	7603	0	-11	-54	111	0.04	13	6479	0.14		
"Curaçao"	7366	7145	0	-39	17	163	0	-12		0.24		
"Albania"	6960	5867	0	11	10	121	0.03	6	1886	0.13		
"Kazakhstan"	6947	-13401	0	-11	-49	58	0.2	6	3017	0.25		
"Gabon"	6629	5891	0	-4	27	158	0.01	-2	7114	0.11		
"Cabo Verde"	6107	6107	0	1	2	181	0	4	5196	0.21		
"Cambodia"	5575	-8142	0	-23	-3	66	0.1	16	2651	0.18		
"Guyana"	5394	5387	0	0	26	144	0.02	13	11175	0.21		
"Liberia"	4943	4943	0	39	207	87	0.07	17	11608	0.19		
"Equatorial Guinea"	4547	4547	0	17	98	182	0	2	6008	0.11		
"Mongolia"	4386	4386	0	16	61	125	0.03	8	3267	0.22		
"Niger"	4090	4080	0	10	55	162	0	13	5715	0.09		
"Iceland"	3547	1086	0	2	60	112	0.04	-1	4251	0.05		
