Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Armenia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Armenia (%)	
"World"	2971222	-2348198	100	7	18		100	3				
"Russian Federation"	800442	-981554	26.9	8	21	21	1.3	5	4187	0.09		
"China"	393043	-457845	13.2	40	36	2	11.1	5	6416	0.04		
"Switzerland"	359617	333747	12.1	11	-21	20	1.5	4	3384	0.07		
"Bulgaria"	198428	169293	6.7	-10	32	57	0.2	6	2237	0.05		
"Netherlands"	191191	154058	6.4	13	96	8	2.8	5	3706	0.07		
"Iraq"	177314	172596	6	10	8	62	0.2	3	4107	0.18		
"India"	126691	37404	4.3	237	72	10	2.6	2	5793	0.05		
"United States of America"	80889	-26003	2.7	10	19	1	13.4	3	7938	0.08		
"Germany"	77501	-131511	2.6	-17	38	3	6.5	3	3376	0.05		
"United Arab Emirates"	73853	36740	2.5	-2	-23	29	0.9	-2	5715	0.08		
"Georgia"	66669	-54653	2.2	-16	19	113	0.04	-2	2513	0.09		
"Iran, Islamic Republic of"	65433	-371476	2.2	-6	-23	72	0.1	-18	5612	0.13		
"Italy"	63490	-160429	2.1	10	55	11	2.5	2	2891	0.06		
"Belgium"	51901	-975	1.7	3	42	12	2.4	3	2709	0.08		
"Belarus"	28304	-29471	1	41	34	61	0.2	2	2268	0.23		
"Ukraine"	25630	-117488	0.9	25	-3	48	0.3	7	3255	0.06		
"Poland"	20329	-24887	0.7	25	69	18	1.5	8	3121	0.08		
"Slovakia"	14302	4310	0.5	261	72	38	0.5	4	2664	0.07		
"Syrian Arab Republic"	10916	10211	0.4	-30	-65	139	0.02	-3	2496	0.27		
"France"	10607	-72903	0.4	19	83	6	3.2	1	3195	0.06		
"Kazakhstan"	10523	2736	0.4	12	60	58	0.2	6	3017	0.25		
"Hong Kong, China"	9920	-1061	0.3	59	85	5	3.3	3	2841	0.22		
"Israel"	9911	-3648	0.3	29	144	42	0.4	4	5483	0.07		
"Area Nes"	8148	-118722	0.3	-26	235							
"Turkmenistan"	8140	2072	0.3	3	337	148	0.02	4	3495	0.15		
"United Kingdom"	7550	-25998	0.3	6	40	7	3.2	1	3930	0.06		
"Spain"	7260	-31337	0.2	69	104	15	1.9	3	3890	0.05		
"Azerbaijan"	6319	5597	0.2	1	302	98	0.05	5	3712	0.09		
"Kuwait"	6264	6262	0.2	149	86	76	0.1	-3	5837	0.07		
"Canada"	5557	-14924	0.2	-24	61	14	2.2	1	5042	0.26		
"Korea, Republic of"	5142	-41430	0.2	35	467	9	2.8	4	5699	0.09		
"Lithuania"	5054	333	0.2	26	71	59	0.2	7	1630	0.07		
"Latvia"	4221	-273	0.1	9	14	77	0.1	7	1575	0.08		
"Moldova, Republic of"	3241	2049	0.1	34	223	118	0.03	8	2317	0.08		
"Uzbekistan"	3008	-8819	0.1	8	1	74	0.1	16	3412	0.12		
"Suriname"	2939	2939	0.1			173	0	1	9050	0.14		
"Kyrgyzstan"	2619	2462	0.1	14	63	127	0.03	1	2892	0.2		
"Czech Republic"	2483	-15938	0.1	3	-9	28	1	4	2987	0.1		
"Austria"	1908	-21183	0.1	-5	-50	27	1	3	1514	0.18		
"Saudi Arabia"	1846	419	0.1	22	109	32	0.7	3	5816	0.07		
"Qatar"	1834	1488	0.1	26	-64	70	0.1	0	5745	0.06		
"Lebanon"	1756	895	0.1	87	-2	97	0.06	-12	3592	0.06		
"Japan"	1673	-52056	0.1	55	23	4	3.5	1	6256	0.09		
"Slovenia"	1513	-8982	0.1	153	7465	55	0.2	10	2404	0.07		
"Australia"	1240	-4709	0	79	629	24	1.1	1	10262	0.1		
"Viet Nam"	1226	-35316	0	66	-18	19	1.5	8	3535	0.19		
"Singapore"	1112	-1651	0	-2	21	16	1.9	3	5773	0.07		
"Estonia"	1085	-372	0	12	73	73	0.1	6	2314	0.06		
"Tajikistan"	999	941	0	-9	61	142	0.02	9	2803	0.17		
"Afghanistan"	946	931	0	193	-72	147	0.02	-8	2990	0.12		
"Luxembourg"	868	-116	0	-7	-33	71	0.1	3	1488	0.14		
"Denmark"	822	-13123	0	-19	378	35	0.6	5	2182	0.08		
"Indonesia"	800	-27182	0		115	30	0.9	2	5872	0.11		
"Jordan"	785	6	0	456	-15	84	0.08	0	5167	0.07		
"Hungary"	632	-15082	0	-19	18	33	0.6	6	2180	0.09		
"Portugal"	500	-7093	0	-15	747	40	0.4	2	2788	0.14		
"Mexico"	470	-13565	0	4	15567	13	2.3	2	7039	0.24		
"Sudan"	454	200	0	-6		122	0.03	-2		0.13		
"Turkey"	442	-72233	0	-26	-8	22	1.2	3	4285	0.05		
"Sweden"	386	-15003	0	-10	-25	31	0.9	3	2128	0.07		
"Mongolia"	366	366	0	44	68	125	0.03	8	3267	0.22		
"Cyprus"	281	-446	0	13	1773	105	0.05	-1	3118	0.09		
"Ireland"	275	-12692	0	78	9067	36	0.5	4	3265	0.1		
"South Africa"	181	-5688	0	86	1292	41	0.4	-1	9230	0.07		
"Croatia"	173	-790	0	6	170	63	0.2	6	1362	0.07		
"Oman"	166	-12	0	-25		83	0.08	-6	5977	0.08		
"Yemen"	164	160	0	-2	38	107	0.04	11	5706	0.11		
"Libya, State of"	160	160	0	-65		89	0.07	12	3475	0.08		
"Romania"	152	-18945	0	-71	43	37	0.5	6	1891	0.07		
"Taipei, Chinese"	118	-10240	0	61		17	1.7	8	5007	0.1		
"Serbia"	116	-2012	0	-17	-6	65	0.2	9	2497	0.06		
"Finland"	104	-25376	0	-49	11	44	0.4	3	2842	0.07		
"Belize"	93	93	0	-9		179	0	1	5006	0.18		
"Greece"	89	-21404	0	-27	123	45	0.3	4	2847	0.05		
"Seychelles"	76	64	0			187	0	-7	6627	0.06		
"Malta"	69	5	0	4	283	120	0.03	1	3249	0.08		
"Thailand"	57	-23524	0	-63	-93	23	1.2	2	4905	0.09		
"Kenya"	53	-56	0	-7		80	0.09	2	6680	0.08		
"Palestine, State of"	40	-99	0			176	0	8	3026	0.1		
"Chile"	39	-2576	0		-93	43	0.4	6	11582	0.13		
"Brazil"	35	-54881	0	-1	1650	26	1	6	10879	0.09		
"Morocco"	33	-5909	0			52	0.3	4	4316	0.07		
"Nigeria"	30	-661	0			53	0.2	17	7792	0.1		
"Zimbabwe"	30	-13847	0			134	0.02	7	3754	0.39		
"Argentina"	29	-4644	0	22	-54	50	0.3	-5	10631	0.1		
"Uruguay"	27	21	0	-3		95	0.06	0	9836	0.11		
"Egypt"	20	-14083	0	6	82	46	0.3	-1	5219	0.05		
"Ghana"	18	-447	0			82	0.08	8	8888	0.18		
"Malaysia"	15	-11620	0	5	-94	25	1.1	3	5172	0.09		
"New Zealand"	14	-8408	0	27		56	0.2	3	11141	0.09		
"Pakistan"	12	-5863	0	2	-97	47	0.3	2	4850	0.11		
"Dominican Republic"	10	-187	0	6	100	67	0.1	5	6446	0.22		
"Algeria"	9	9	0	18		64	0.2	-8	4584	0.07		
"Norway"	7	-2785	0	12	17	39	0.5	3	3470	0.06		
"Philippines"	6	-3367	0	-34	-54	34	0.6	2	4354	0.09		
"Iceland"	3	-644	0			112	0.04	-1	4251	0.05		
"Tunisia"	1	-2240	0	-30		78	0.10	-1	3411	0.06		
"Bangladesh"	1	-16763	0			49	0.3	6	4172	0.15		
"Brunei Darussalam"		-1				109	0.04	26	5185	0.11		
"Senegal"		-1				110	0.04	4	6632	0.05		
"Bahamas"		-1				115	0.03	-8	6248	0.19		
"Antigua and Barbuda"		-1				174	0	1	6334	0.27		
"Cabo Verde"		-1				181	0	4	5196	0.21		
"Dominica"		-1				185	0	8	4908	0.65		
"Burundi"		-1				188	0	13	4755	0.14		
"Falkland Islands (Malvinas)"		-1				207	0	2	12325	0.46		
"Pitcairn"		-1				227	0	-5		0.23		
"Trinidad and Tobago"		-2				128	0.03	-1	6663	0.26		
"Grenada"		-2				191	0	-1	4157	0.2		
"Saint Kitts and Nevis"		-2				201	0	-12	5440	0.41		
"Macao, China"		-3				81	0.09	15		0.17		
"Jamaica"		-3				137	0.02	-2	6759	0.22		
"Haiti"		-3				140	0.02	0	6340	0.18		
"Sao Tome and Principe"		-3				210	0	-3	6155	0.31		
"Namibia"		-4				126	0.03	-1	3757	0.37		
"Rwanda"		-4				159	0.01	17	5437	0.08		
"Venezuela, Bolivarian Republic of"		-5				117	0.03	-11	8121	0.16		
"Fiji"		-5				157	0.01	-7	7384	0.12		
"United States Minor Outlying Islands"		-5				177	0	0		0.21		
"Eswatini"		-8				160	0	1	1597	0.74		
"Maldives"		-9				151	0.01	-3	4478	0.08		
"Somalia"		-10				150	0.01	9	5305	0.16		
"Niue"		-12				223	0	7	11410	0.48		
