Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Australia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Australia (%)	
"World"	345599938	96706503	100	9	36		100	3				
"China"	115535934	47621809	33.4	13	28	2	11.1	5	6416	0.04		
"Area Nes"	61687466	55118121	17.8	11	43							
"Japan"	29776841	14600480	8.6	1	56	4	3.5	1	6256	0.09		
"Korea, Republic of"	21924841	12851168	6.3	11	69	9	2.8	4	5699	0.09		
"India"	12821770	6847736	3.7	1	82	10	2.6	2	5793	0.05		
"United States of America"	12164966	-13337062	3.5	11	-8	1	13.4	3	7938	0.08		
"Taipei, Chinese"	9171362	4808732	2.7	6	66	17	1.7	8	5007	0.1		
"Singapore"	8825504	-540529	2.6	21	63	16	1.9	3	5773	0.07		
"New Zealand"	8532321	3516082	2.5	4	23	56	0.2	3	11141	0.09		
"Hong Kong, China"	7118079	6476339	2.1	-10	51	5	3.3	3	2841	0.22		
"Viet Nam"	7016105	1911319	2	17	59	19	1.5	8	3535	0.19		
"Indonesia"	6732836	3270837	1.9	4	100	30	0.9	2	5872	0.11		
"Thailand"	4355125	-6705753	1.3	-1	91	23	1.2	2	4905	0.09		
"Malaysia"	4136980	-5904114	1.2	0	26	25	1.1	3	5172	0.09		
"United Kingdom"	3459784	-1871978	1	5	-66	7	3.2	1	3930	0.06		
"Germany"	2688583	-8007266	0.8	11	3	3	6.5	3	3376	0.05		
"Netherlands"	2460171	-1171661	0.7	3	44	8	2.8	5	3706	0.07		
"Philippines"	1869199	1285885	0.5	-2	62	34	0.6	2	4354	0.09		
"Ship stores and bunkers"	1760339	1760339	0.5	3	68	75	0.1	-11		0.16		
"United Arab Emirates"	1691967	794656	0.5	4	50	29	0.9	-2	5715	0.08		
"Switzerland"	1460181	-1233022	0.4	13	-17	20	1.5	4	3384	0.07		
"France"	1355891	-3076193	0.4	10	17	6	3.2	1	3195	0.06		
"Saudi Arabia"	1312356	736387	0.4	15	116	32	0.7	3	5816	0.07		
"Papua New Guinea"	1267037	-422768	0.4	-3	4	143	0.02	-1	4973	0.17		
"Brazil"	1228258	551926	0.4	-1	114	26	1	6	10879	0.09		
"Canada"	1086561	-712251	0.3	0	24	14	2.2	1	5042	0.26		
"Bangladesh"	1042872	135460	0.3	1	77	49	0.3	6	4172	0.15		
"Belgium"	944127	-1472791	0.3	1	53	12	2.4	3	2709	0.08		
"Turkey"	935567	72702	0.3	-5	237	22	1.2	3	4285	0.05		
"South Africa"	763360	-138013	0.2	-12	24	41	0.4	-1	9230	0.07		
"Italy"	746695	-4788082	0.2	2	99	11	2.5	2	2891	0.06		
"Pakistan"	626634	342406	0.2	3	88	47	0.3	2	4850	0.11		
"Egypt"	429329	387131	0.1	9	33	46	0.3	-1	5219	0.05		
"Kuwait"	422216	421735	0.1	1	52	76	0.1	-3	5837	0.07		
"Brunei Darussalam"	419847	-1212097	0.1	81	392	109	0.04	26	5185	0.11		
"Spain"	416233	-1834503	0.1	-7	60	15	1.9	3	3890	0.05		
"Chile"	375481	-96396	0.1	8	32	43	0.4	6	11582	0.13		
"New Caledonia"	337111	323943	0.1	1	18	155	0.01	-1	11471	0.2		
"Sri Lanka"	329758	86509	0.1	5	130	85	0.08	-3	4351	0.16		
"Poland"	326133	-861344	0.1	1	34	18	1.5	8	3121	0.08		
"Qatar"	284377	-123938	0.1	-3	-5	70	0.1	0	5745	0.06		
"Fiji"	281502	141126	0.1	-7	22	157	0.01	-7	7384	0.12		
"Yemen"	256415	256257	0.1	4	94	107	0.04	11	5706	0.11		
"Sweden"	234183	-1444457	0.1	5	-4	31	0.9	3	2128	0.07		
"Mexico"	225624	-2360442	0.1	9	105	13	2.3	2	7039	0.24		
"Bahrain"	216484	129093	0.1	3	256	101	0.05	1	6359	0.08		
"Kenya"	199635	170165	0.1	15	273	80	0.09	2	6680	0.08		
"Russian Federation"	190504	-150098	0.1	14	55	21	1.3	5	4187	0.09		
"Finland"	172272	-894816	0	36	81	44	0.4	3	2842	0.07		
"Nepal"	170737	162574	0	37	268	96	0.06	8	1856	0.56		
"Argentina"	158359	-437221	0	8	218	50	0.3	-5	10631	0.1		
"Israel"	152444	-468009	0	2	-3	42	0.4	4	5483	0.07		
"Slovenia"	143905	22792	0	12	269	55	0.2	10	2404	0.07		
"Myanmar"	135344	88678	0	-1	16	79	0.10	-1	2536	0.25		
"Mozambique"	131754	131133	0	-29	-31	108	0.04	8	6196	0.1		
"Oman"	112953	21491	0	-4	11	83	0.08	-6	5977	0.08		
"Denmark"	111034	-1011465	0	-2	31	35	0.6	5	2182	0.08		
"Ukraine"	110407	19823	0	0	1212	48	0.3	7	3255	0.06		
"Trinidad and Tobago"	108373	101755	0	44	591	128	0.03	-1	6663	0.26		
"Czech Republic"	104210	-563224	0	-10	43	28	1	4	2987	0.1		
"Peru"	94220	-67426	0	19	38	54	0.2	3	10420	0.13		
"Ghana"	93450	-102410	0	5	32	82	0.08	8	8888	0.18		
"Tanzania, United Republic of"	93144	85543	0	18	228	102	0.05	7	6633	0.1		
"Norway"	79780	-256402	0	2	72	39	0.5	3	3470	0.06		
"Uruguay"	78622	68192	0	63	1037	95	0.06	0	9836	0.11		
"Timor-Leste"	77067	75895	0	40	68	183	0	12	3988	0.22		
"Ireland"	76888	-1516423	0	1	-9	36	0.5	4	3265	0.1		
"Jordan"	76672	20072	0	-7	-1	84	0.08	0	5167	0.07		
"Romania"	75819	-137453	0	1	241	37	0.5	6	1891	0.07		
"Solomon Islands"	68442	55904	0	-2	23	190	0	0	6301	0.17		
"Cambodia"	67578	-195917	0	25	-19	66	0.1	16	2651	0.18		
"Vanuatu"	64484	62231	0	-1	37	198	0	-2	6248	0.13		
"Bulgaria"	62020	-8304	0	34	-1	57	0.2	6	2237	0.05		
"Mauritius"	61210	51441	0	-8	10	133	0.02	-2	7320	0.08		
"Croatia"	58740	27267	0	122	474	63	0.2	6	1362	0.07		
"Sudan"	55957	55848	0	32	1007	122	0.03	-2		0.13		
"Nauru"	52701	49862	0	12	27	211	0	18	6014	0.27		
"Iran, Islamic Republic of"	51453	28863	0	-33	353	72	0.1	-18	5612	0.13		
"Panama"	51344	42269	0	-19	36	60	0.2	1	8657	0.12		
"Nigeria"	44909	-35456	0	-34	91	53	0.2	17	7792	0.1		
"Maldives"	43557	43474	0	0	127	151	0.01	-3	4478	0.08		
"French Polynesia"	42342	40655	0	-1	20	165	0	1	13300	0.24		
"Austria"	41544	-1366380	0	-1	39	27	1	3	1514	0.18		
"Colombia"	41228	-65283	0	-5	113	51	0.3	4	8915	0.13		
"Latvia"	41200	1169	0	41	131	77	0.1	7	1575	0.08		
"Côte d'Ivoire"	36268	-438332	0	-8	-7	93	0.06	9	6793	0.08		
"Samoa"	36059	26860	0	12	19	197	0	-1	6816	0.13		
"Uganda"	36025	33358	0	19	1959	132	0.02	11	5788	0.09		
"Greece"	35962	-231907	0	26	-15	45	0.3	4	2847	0.05		
"Hungary"	34048	-586774	0	14	-14	33	0.6	6	2180	0.09		
"Christmas Island"	33729	33705	0	2	76	220	0	3		0.69		
"Malawi"	32082	32066	0	40	17055	168	0	0	5169	0.15		
"Macao, China"	29763	24144	0	-17	-12	81	0.09	15		0.17		
"Ethiopia"	28838	894	0	77	538	90	0.07	1	6305	0.11		
"Portugal"	28800	-266701	0	-16	154	40	0.4	2	2788	0.14		
"Mongolia"	27296	26877	0	3	6	125	0.03	8	3267	0.22		
"Iraq"	26957	26503	0	-35	49	62	0.2	3	4107	0.18		
"Lao People's Democratic Republic"	26778	-332158	0	6	37	129	0.02	-1	2572	0.28		
"Kiribati"	26403	25608	0	8	44	205	0	10	5936	0.13		
"Jamaica"	25933	24301	0	12	41	137	0.02	-2	6759	0.22		
"Madagascar"	23779	8843	0	6	119	138	0.02	2	7339	0.08		
"Senegal"	23602	-198252	0	-9	18	110	0.04	4	6632	0.05		
"Ecuador"	23004	5383	0	-2	274	69	0.1	3	9174	0.12		
"Tonga"	19716	17906	0	10	31	202	0	4	5771	0.16		
"Norfolk Island"	15600	15518	0	13	4	222	0	1	5454	0.24		
"Montenegro"	15587	15046	0	57	13987	152	0.01	0	2382	0.08		
"Zambia"	15374	5801	0	-4	119	119	0.03	-9	5447	0.14		
"Lithuania"	14940	-123534	0	31	78	59	0.2	7	1630	0.07		
"Namibia"	14686	6495	0	9	188	126	0.03	-1	3757	0.37		
"Slovakia"	14037	-381349	0	45	557	38	0.5	4	2664	0.07		
"Lebanon"	13008	-3637	0	-20	-15	97	0.06	-12	3592	0.06		
"Kazakhstan"	12947	7648	0	8	7	58	0.2	6	3017	0.25		
"Cocos (Keeling) Islands"	12712	12648	0	16	110	225	0	8		0.74		
"Burkina Faso"	12683	12510	0	-2	97	136	0.02	5	6109	0.05		
"Morocco"	12289	-78947	0	-16	-22	52	0.3	4	4316	0.07		
"Dominican Republic"	11934	-37198	0	4	56	67	0.1	5	6446	0.22		
"Rwanda"	11432	9897	0	94	3778	159	0.01	17	5437	0.08		
"Botswana"	9470	426	0	75	-40	124	0.03	2	2968	0.52		
"Djibouti"	9260	8535	0	20	573	130	0.02	5	6387	0.22		
"Congo, Democratic Republic of the"	8893	8831	0	17	472	111	0.04	13	6479	0.14		
"Suriname"	8714	7120	0	39	10	173	0	1	9050	0.14		
"Venezuela, Bolivarian Republic of"	8386	7134	0	53	324	117	0.03	-11	8121	0.16		
"Burundi"	7138	6622	0		15673	188	0	13	4755	0.14		
"Nicaragua"	6578	-11283	0	20	1270	104	0.05	4	5888	0.1		
"French Southern and Antarctic Territories"	6481	6479	0	-1	27	214	0	14		0.12		
"Mali"	6231	-325885	0	-10	-12	141	0.02	9	5008	0.1		
"United States Minor Outlying Islands"	6126	5201	0	-21	-27	177	0	0		0.21		
"Cook Islands"	6079	5999	0	-7	2	206	0	-4	9417	0.22		
"Micronesia, Federated States of"	5065	5025	0	6	2	208	0	-8	7109	0.19		
"Kyrgyzstan"	4974	4879	0	58	-53	127	0.03	1	2892	0.2		
"Guinea"	4947	4830	0	-8	-11	135	0.02	7	9140	0.19		
"Bahamas"	4615	4576	0	-11	52	115	0.03	-8	6248	0.19		
"Cyprus"	4459	-24014	0	5	-3	105	0.05	-1	3118	0.09		
"Malta"	4439	-13945	0	8	20	120	0.03	1	3249	0.08		
"Mauritania"	4264	-120772	0	-23	-15	146	0.02	1	5817	0.07		
"Algeria"	4256	-153135	0	-36	12	64	0.2	-8	4584	0.07		
"Costa Rica"	4229	-123488	0	-4	22	86	0.08	3	6987	0.22		
"Bhutan"	4029	3906	0	91	205	178	0	15	1733	0.63		
"Guyana"	3920	3591	0	7	6	144	0.02	13	11175	0.21		
"Tuvalu"	3850	3764	0	9	75	204	0	17	6386	0.21		
"Estonia"	3737	-100426	0	-12	-61	73	0.1	6	2314	0.06		
"Georgia"	3626	-3180	0	-35	-16	113	0.04	-2	2513	0.09		
"Barbados"	3454	863	0	32	23	161	0	0	4992	0.21		
"Luxembourg"	3386	-21642	0	-22	92	71	0.1	3	1488	0.14		
"Seychelles"	3378	1758	0	-15	2	187	0	-7	6627	0.06		
"Eritrea"	3245	2818	0	-4	60	203	0	-8	6303	0.14		
"Wallis and Futuna Islands"	3233	3222	0	0	41	218	0	7	10103	0.24		
"Gabon"	3174	-157582	0	48	-83	158	0.01	-2	7114	0.11		
"Macedonia, North"	2971	-4873	0	39	111	103	0.05	8	1348	0.09		
"Sierra Leone"	2958	314	0	1	52	170	0	10	8820	0.13		
"Marshall Islands"	2892	2796	0	9	-31	91	0.06	-1	7455	0.18		
"Guatemala"	2779	-25176	0	-5	8	68	0.1	7	5828	0.15		
"El Salvador"	2609	-6669	0	-38	-9	88	0.07	9	4914	0.15		
"Togo"	2440	-11299	0	-17	-35	153	0.01	10	7318	0.08		
"Angola"	2395	2371	0	-26	-48	100	0.05	-11	7692	0.06		
"Tunisia"	2194	-37655	0	-17	251	78	0.10	-1	3411	0.06		
"Libya, State of"	2127	-286287	0	14	265	89	0.07	12	3475	0.08		
"Honduras"	2064	-50313	0	4	236	99	0.05	4	6104	0.16		
"Benin"	1951	1951	0	15	313	149	0.01	-2	6481	0.07		
"Palau"	1566	1436	0	5	14	209	0	1	6232	0.16		
"Albania"	1394	-2200	0	-22	43	121	0.03	6	1886	0.13		
"Azerbaijan"	1387	-26616	0	-19	-43	98	0.05	5	3712	0.09		
"Northern Mariana Islands"	1326	1254	0	-13	-8	216	0	-19	3811	0.2		
"Saint Lucia"	1312	1285	0	0	13	171	0	-10	5321	0.23		
"Liberia"	1262	1234	0	-4	92	87	0.07	17	11608	0.19		
"Cayman Islands"	1220	634	0	11	79	123	0.03	5	7522	0.35		
"Armenia"	1202	-87	0	-8	57	131	0.02	6	3323	0.15		
"Bolivia, Plurinational State of"	1175	-7928	0	-10	6	106	0.04	-3	7978	0.11		
"Zimbabwe"	1131	865	0	0	-53	134	0.02	7	3754	0.39		
"Paraguay"	1091	-840	0	-12	-4	92	0.06	0	7311	0.15		
"Somalia"	1071	1023	0	-9	100	150	0.01	9	5305	0.16		
"Iceland"	1044	-10026	0	-68	39	112	0.04	-1	4251	0.05		
