Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Barbados's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Barbados (%)	
"World"	350173	-1323448	100	-9	1		100	3				
"Ship stores and bunkers"	73076	72855	20.9	-8	-10	75	0.1	-11		0.16		
"United States of America"	65117	-661474	18.6	-19	45	1	13.4	3	7938	0.08		
"Jamaica"	27040	3168	7.7	1	-5	137	0.02	-2	6759	0.22		
"Guyana"	26269	18098	7.5	2	1	144	0.02	13	11175	0.21		
"Trinidad and Tobago"	25663	-183317	7.3	-10	9	128	0.03	-1	6663	0.26		
"Saint Lucia"	17393	10803	5	-3	3	171	0	-10	5321	0.23		
"Canada"	12256	-31489	3.5	9	-19	14	2.2	1	5042	0.26		
"France"	11697	-303	3.3	1	14	6	3.2	1	3195	0.06		
"Antigua and Barbuda"	10660	-27437	3	-8	5	174	0	1	6334	0.27		
"Saint Vincent and the Grenadines"	10407	4399	3	-4	-14	196	0	3	6798	0.14		
"Grenada"	9369	8679	2.7	-3	-7	191	0	-1	4157	0.2		
"Saint Kitts and Nevis"	5913	5884	1.7	-10	2	201	0	-12	5440	0.41		
"Dominica"	5281	4489	1.5	0	-14	185	0	8	4908	0.65		
"United Kingdom"	4784	-69171	1.4	-21	-45	7	3.2	1	3930	0.06		
"China"	4340	-62906	1.2	1	63	2	11.1	5	6416	0.04		
"Netherlands"	4093	-49967	1.2	3	34	8	2.8	5	3706	0.07		
"Bahamas"	3719	3379	1.1	-1	-10	115	0.03	-8	6248	0.19		
"Spain"	3368	-9498	1	99	-6	15	1.9	3	3890	0.05		
"Curaçao"	2814	-58	0.8	-8	13	163	0	-12		0.24		
"Dominican Republic"	2667	-13016	0.8	13	-36	67	0.1	5	6446	0.22		
"United States Minor Outlying Islands"	2248	-58298	0.6	0	122	177	0	0		0.21		
"Suriname"	2180	-3490	0.6	-15	-38	173	0	1	9050	0.14		
"British Virgin Islands"	1988	50	0.6	-18	19	156	0.01	8	7242	0.27		
"Thailand"	1909	-7779	0.5	53	1334	23	1.2	2	4905	0.09		
"Germany"	1829	-12350	0.5	5	151	3	6.5	3	3376	0.05		
"Nicaragua"	1650	1648	0.5	-6	74	104	0.05	4	5888	0.1		
"Belize"	1439	-1152	0.4	-1	1	179	0	1	5006	0.18		
"Cayman Islands"	1216	-3366	0.3	1	27	123	0.03	5	7522	0.35		
"Anguilla"	1215	1214	0.3	-13	-17	212	0	-5	4397	0.58		
"United Arab Emirates"	1088	19	0.3	-23	54	29	0.9	-2	5715	0.08		
"Haiti"	882	850	0.3	19	-32	140	0.02	0	6340	0.18		
"Panama"	879	-37776	0.3	-43	0	60	0.2	1	8657	0.12		
"Aruba"	856	836	0.2	-8	-12	175	0	-3	4917	0.3		
"Denmark"	800	-4428	0.2	-5	408	35	0.6	5	2182	0.08		
"Italy"	450	-11903	0.1	-10	10	11	2.5	2	2891	0.06		
"Montserrat"	433	321	0.1	2	-30	224	0	-7		0.49		
"Sweden"	331	-18772	0.1	-29	66	31	0.9	3	2128	0.07		
"Taipei, Chinese"	285	-2204	0.1	-18	-30	17	1.7	8	5007	0.1		
"India"	264	-8453	0.1	36	-12	10	2.6	2	5793	0.05		
"Bermuda"	236	64	0.1	-46	7	169	0	-3	8006	0.28		
"Turks and Caicos Islands"	219	192	0.1	-20	94	193	0	-3	3491	0.74		
"Korea, Democratic People's Republic of"	198	-779	0.1	368	68	200	0	-49	1470	0.87		
"Cyprus"	153	-455	0	472	1092	105	0.05	-1	3118	0.09		
"Slovakia"	124	62	0	-40	260	38	0.5	4	2664	0.07		
"Turkey"	120	-9007	0	-39	-76	22	1.2	3	4285	0.05		
"Singapore"	116	-4632	0	78	127	16	1.9	3	5773	0.07		
"Viet Nam"	114	-163	0	-1	65	19	1.5	8	3535	0.19		
"Honduras"	108	-487	0	226	-92	99	0.05	4	6104	0.16		
"Australia"	70	-2643	0	-22	126	24	1.1	1	10262	0.1		
"Belgium"	69	-4034	0	-49	-63	12	2.4	3	2709	0.08		
"Iraq"	62	62	0	16	28	62	0.2	3	4107	0.18		
"Venezuela, Bolivarian Republic of"	59	50	0	-26	-27	117	0.03	-11	8121	0.16		
"Portugal"	59	-1621	0	133	11	40	0.4	2	2788	0.14		
"Paraguay"	54	-108	0	9		92	0.06	0	7311	0.15		
"Costa Rica"	53	-11999	0	35	-83	86	0.08	3	6987	0.22		
"Lebanon"	45	45	0	-21	-76	97	0.06	-12	3592	0.06		
"Morocco"	40	-1422	0	167	13	52	0.3	4	4316	0.07		
"El Salvador"	37	-201	0	221	-97	88	0.07	9	4914	0.15		
"Saudi Arabia"	31	-515	0	49	-55	32	0.7	3	5816	0.07		
"Ireland"	29	-10179	0	-4	-85	36	0.5	4	3265	0.1		
"Mexico"	29	-12335	0	-29	-85	13	2.3	2	7039	0.24		
"Colombia"	27	-8479	0	-43	849	51	0.3	4	8915	0.13		
"Armenia"	26	26	0	-24		131	0.02	6	3323	0.15		
"Korea, Republic of"	18	-8938	0	-55	-91	9	2.8	4	5699	0.09		
"Latvia"	15	-14	0	377		77	0.1	7	1575	0.08		
"Pakistan"	15	-439	0	-20	-50	47	0.3	2	4850	0.11		
"Hong Kong, China"	15	-11270	0	-77	-99	5	3.3	3	2841	0.22		
"New Zealand"	15	-14946	0	-65	30	56	0.2	3	11141	0.09		
"Bosnia and Herzegovina"	14	14	0	24		94	0.06	3	2228	0.07		
"Brazil"	12	-10938	0	-64	671	26	1	6	10879	0.09		
"Serbia"	11	-2	0	198		65	0.2	9	2497	0.06		
"Finland"	11	-989	0	4	10	44	0.4	3	2842	0.07		
"South Africa"	11	-1942	0	-12	-18	41	0.4	-1	9230	0.07		
"Switzerland"	11	-4888	0	-65	-86	20	1.5	4	3384	0.07		
"Austria"	10	-1060	0	-33	251	27	1	3	1514	0.18		
"Albania"	8	8	0	72	-67	121	0.03	6	1886	0.13		
"Cuba"	8	-13	0	-46	-80	145	0.02	-13	7148	0.09		
"Ghana"	6	-12	0	89	-84	82	0.08	8	8888	0.18		
