Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Benin's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Benin (%)	
"World"	1024180	-2164068	100	5	21		100	3				
"Bangladesh"	427386	426768	41.7	41	31	49	0.3	6	4172	0.15		
"India"	101963	-445314	10	0	1	10	2.6	2	5793	0.05		
"China"	100671	-273614	9.8	9	79	2	11.1	5	6416	0.04		
"Viet Nam"	51319	30277	5	-24	101	19	1.5	8	3535	0.19		
"Chad"	36601	36288	3.6	112	175	184	0	13	6931	0.16		
"Niger"	29761	25599	2.9	-1	29	162	0	13	5715	0.09		
"Egypt"	27498	4952	2.7	-3	86	46	0.3	-1	5219	0.05		
"Denmark"	23775	4663	2.3	0	-25	35	0.6	5	2182	0.08		
"Ukraine"	22246	-8570	2.2	61	-44	48	0.3	7	3255	0.06		
"United Arab Emirates"	21005	-105871	2.1	21	-31	29	0.9	-2	5715	0.08		
"Pakistan"	20761	-3437	2	65	116	47	0.3	2	4850	0.11		
"Turkey"	16416	-92332	1.6	-17	393	22	1.2	3	4285	0.05		
"Burkina Faso"	15784	9012	1.5	16	-24	136	0.02	5	6109	0.05		
"Malaysia"	15633	-26866	1.5	-30	-61	25	1.1	3	5172	0.09		
"Togo"	14947	-118311	1.5	3	68	153	0.01	10	7318	0.08		
"Côte d'Ivoire"	11590	-26627	1.1	1	-8	93	0.06	9	6793	0.08		
"Indonesia"	9800	-42135	1	-11	1308	30	0.9	2	5872	0.11		
"Nigeria"	8671	-58645	0.8	-48	2	53	0.2	17	7792	0.1		
"United Kingdom"	8175	-58163	0.8	182	177	7	3.2	1	3930	0.06		
"Belgium"	7994	-169851	0.8	-9	122	12	2.4	3	2709	0.08		
"Mali"	6111	5680	0.6	47	-29	141	0.02	9	5008	0.1		
"Netherlands"	4754	-42698	0.5	-7	-57	8	2.8	5	3706	0.07		
"France"	4282	-345916	0.4	4	-25	6	3.2	1	3195	0.06		
"Portugal"	3289	-2947	0.3	-11	859	40	0.4	2	2788	0.14		
"Brazil"	2972	-45028	0.3	161	56838	26	1	6	10879	0.09		
"Singapore"	2880	-40445	0.3	-26	-12	16	1.9	3	5773	0.07		
"United States of America"	2452	-82344	0.2	-42	-70	1	13.4	3	7938	0.08		
"South Africa"	2341	-25790	0.2	-26	224	41	0.4	-1	9230	0.07		
"Ghana"	2332	-31339	0.2	-9	156	82	0.08	8	8888	0.18		
"Italy"	1911	-45257	0.2	6	265	11	2.5	2	2891	0.06		
"Norway"	1848	-10071	0.2		-50	39	0.5	3	3470	0.06		
"Cameroon"	1662	-2795	0.2	17	-70	116	0.03	8	7279	0.14		
"Angola"	1640	-1975	0.2	9	13845	100	0.05	-11	7692	0.06		
"Mauritania"	1346	-30994	0.1	26	114	146	0.02	1	5817	0.07		
"Germany"	1286	-41081	0.1	14	-86	3	6.5	3	3376	0.05		
"Senegal"	1206	-14102	0.1	2	-47	110	0.04	4	6632	0.05		
"Saudi Arabia"	1171	-6218	0.1	780	241	32	0.7	3	5816	0.07		
"Morocco"	1031	-74492	0.1	-31	4401	52	0.3	4	4316	0.07		
"Liberia"	924	904	0.1	-1		87	0.07	17	11608	0.19		
"Qatar"	779	-8394	0.1	335		70	0.1	0	5745	0.06		
"Brunei Darussalam"	769	769	0.1	86		109	0.04	26	5185	0.11		
