Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Bolivia, Plurinational State of's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Bolivia, Plurinational State of (%)	
"World"	11030013	1470927	100	4	57		100	3				
"India"	1827035	1600838	16.6	26	155	10	2.6	2	5793	0.05		
"Brazil"	1433199	-261712	13	-5	29	26	1	6	10879	0.09		
"Argentina"	1043292	-227625	9.5	-7	1	50	0.3	-5	10631	0.1		
"Japan"	916097	730484	8.3	7	74	4	3.5	1	6256	0.09		
"Colombia"	710776	539683	6.4	6	72	51	0.3	4	8915	0.13		
"China"	657003	-1311943	6	5	83	2	11.1	5	6416	0.04		
"Peru"	637521	-171130	5.8	20	39	54	0.2	3	10420	0.13		
"United States of America"	545565	-9624	4.9	-7	74	1	13.4	3	7938	0.08		
"Korea, Republic of"	435279	368740	3.9	-16	118	9	2.8	4	5699	0.09		
"United Arab Emirates"	400295	392675	3.6	-1	44	29	0.9	-2	5715	0.08		
"Netherlands"	290803	199278	2.6	10	36	8	2.8	5	3706	0.07		
"Ecuador"	288689	242441	2.6	33	77	69	0.1	3	9174	0.12		
"Italy"	269697	185091	2.4	63	132	11	2.5	2	2891	0.06		
"Canada"	231410	203325	2.1	3	60	14	2.2	1	5042	0.26		
"Chile"	190216	-439789	1.7	16	35	43	0.4	6	11582	0.13		
"Australia"	182683	178943	1.7	1	39	24	1.1	1	10262	0.1		
"Spain"	169861	70948	1.5	-3	112	15	1.9	3	3890	0.05		
"Belgium"	166299	78036	1.5	-12	30	12	2.4	3	2709	0.08		
"Turkey"	147069	57679	1.3	17	54	22	1.2	3	4285	0.05		
"United Kingdom"	111746	80159	1	18	152	7	3.2	1	3930	0.06		
"Paraguay"	61672	2804	0.6	-3	82	92	0.06	0	7311	0.15		
"Germany"	37804	-109851	0.3	-12	-10	3	6.5	3	3376	0.05		
"Mexico"	35450	-183490	0.3	14	69	13	2.3	2	7039	0.24		
"Finland"	31811	24557	0.3	9	-15	44	0.4	3	2842	0.07		
"Kazakhstan"	20746	20684	0.2		411	58	0.2	6	3017	0.25		
"France"	18453	-38347	0.2	-4	35	6	3.2	1	3195	0.06		
"Hong Kong, China"	14268	1456	0.1	57	-87	5	3.3	3	2841	0.22		
"Russian Federation"	13269	-54254	0.1	20	472	21	1.3	5	4187	0.09		
"Singapore"	11750	-84851	0.1	57	1171	16	1.9	3	5773	0.07		
"Uruguay"	11398	-56069	0.1	4	24	95	0.06	0	9836	0.11		
"Nicaragua"	11040	8919	0.1	110	2532	104	0.05	4	5888	0.1		
"Venezuela, Bolivarian Republic of"	9267	7977	0.1	65	59	117	0.03	-11	8121	0.16		
"Costa Rica"	9069	6901	0.1	40	400	86	0.08	3	6987	0.22		
"Indonesia"	7374	-38676	0.1	195	211	30	0.9	2	5872	0.11		
"Dominican Republic"	6337	4103	0.1	23	306	67	0.1	5	6446	0.22		
"Switzerland"	6254	-85374	0.1	-11	-37	20	1.5	4	3384	0.07		
"Panama"	6061	-41739	0.1	-15	230	60	0.2	1	8657	0.12		
"Malaysia"	5839	-32815	0.1	5	119	25	1.1	3	5172	0.09		
"Ghana"	4658	4658	0		5306	82	0.08	8	8888	0.18		
"Angola"	3926	3926	0		189	100	0.05	-11	7692	0.06		
"Myanmar"	3623	3122	0	10	9	79	0.10	-1	2536	0.25		
"Austria"	3522	-9438	0	-3	65	27	1	3	1514	0.18		
"Viet Nam"	3341	-35605	0	4	-5	19	1.5	8	3535	0.19		
"New Zealand"	3225	1816	0	-9	-31	56	0.2	3	11141	0.09		
"Georgia"	2600	2405	0			113	0.04	-2	2513	0.09		
"Taipei, Chinese"	2184	-31680	0	11	118	17	1.7	8	5007	0.1		
"Israel"	2078	-2318	0	-9	-16	42	0.4	4	5483	0.07		
"Cameroon"	2003	2002	0			116	0.03	8	7279	0.14		
"Denmark"	1865	-7881	0	-6	6	35	0.6	5	2182	0.08		
