Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Brazil's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Brazil (%)	
"World"	280814577	61406528	100	4	34		100	3				
"China"	87907888	40256942	31.3	14	30	2	11.1	5	6416	0.04		
"United States of America"	31336286	-8356179	11.2	0	45	1	13.4	3	7938	0.08		
"Argentina"	11878463	-70433	4.2	-13	40	50	0.3	-5	10631	0.1		
"Netherlands"	9316020	7214280	3.3	-6	39	8	2.8	5	3706	0.07		
"Chile"	7018693	2597297	2.5	2	82	43	0.4	6	11582	0.13		
"Singapore"	5820714	4978002	2.1	17	59	16	1.9	3	5773	0.07		
"Korea, Republic of"	5670845	562676	2	14	51	9	2.8	4	5699	0.09		
"Mexico"	5560487	999239	2	3	45	13	2.3	2	7039	0.24		
"Japan"	5539500	393821	2	1	34	4	3.5	1	6256	0.09		
"Spain"	5433174	2116377	1.9	5	34	15	1.9	3	3890	0.05		
"Germany"	5042729	-6303770	1.8	-2	22	3	6.5	3	3376	0.05		
"Canada"	4922330	2347598	1.8	15	16	14	2.2	1	5042	0.26		
"India"	4799018	-1929403	1.7	-2	66	10	2.6	2	5793	0.05		
"Malaysia"	4674680	2935853	1.7	19	46	25	1.1	3	5172	0.09		
"Italy"	3861533	-1628584	1.4	0	26	11	2.5	2	2891	0.06		
"Belgium"	3373763	909730	1.2	-1	28	12	2.4	3	2709	0.08		
"Colombia"	3346823	1333579	1.2	4	46	51	0.3	4	8915	0.13		
"Turkey"	3158206	1884040	1.1	13	14	22	1.2	3	4285	0.05		
"United Kingdom"	3086763	541869	1.1	0	21	7	3.2	1	3930	0.06		
"Peru"	3074357	1892862	1.1	4	85	54	0.2	3	10420	0.13		
"Paraguay"	3041355	-557022	1.1	0	41	92	0.06	0	7311	0.15		
"Thailand"	2691694	633898	1	9	35	23	1.2	2	4905	0.09		
"Portugal"	2634648	1777274	0.9	14	61	40	0.4	2	2788	0.14		
"Viet Nam"	2619902	-153712	0.9	10	16	19	1.5	8	3535	0.19		
"France"	2525553	-2293768	0.9	0	25	6	3.2	1	3195	0.06		
"United Arab Emirates"	2327313	1349497	0.8	-1	13	29	0.9	-2	5715	0.08		
"Saudi Arabia"	2070485	-810399	0.7	-6	10	32	0.7	3	5816	0.07		
"Uruguay"	2070260	254871	0.7	-8	18	95	0.06	0	9836	0.11		
"Indonesia"	2044219	275326	0.7	7	-5	30	0.9	2	5872	0.11		
"Switzerland"	2033052	-207221	0.7	27	49	20	1.5	4	3384	0.07		
