Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in British Virgin Islands's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by British Virgin Islands (%)	
"Total"	254315	-1886327	100	-6	-56		100	3				
"Austria"	62572	62412	24.6	324	219494	27	1	3	1514	0.18		
"Cyprus"	44248	-194111	17.4	7	-90	105	0.05	-1	3118	0.09		
"Portugal"	37053	36608	14.6		3	40	0.4	2	2788	0.14		
"Italy"	21020	-138011	8.3	-8	228	11	2.5	2	2891	0.06		
"India"	17170	16789	6.8	92	69	10	2.6	2	5793	0.05		
"Germany"	15430	-1008985	6.1	5	36638	3	6.5	3	3376	0.05		
"Malta"	12002	12002	4.7	-30	-44	120	0.03	1	3249	0.08		
"Indonesia"	8137	7604	3.2	0	597	30	0.9	2	5872	0.11		
"France"	6159	-57025	2.4	-12	-71	6	3.2	1	3195	0.06		
"United States of America"	4849	-270862	1.9	-14	-43	1	13.4	3	7938	0.08		
"United Kingdom"	3641	-5836	1.4	-10	-28	7	3.2	1	3930	0.06		
"Greece"	3175	-2625	1.2	-8	-21	45	0.3	4	2847	0.05		
"Switzerland"	2618	-82003	1	-65	30	20	1.5	4	3384	0.07		
"Barbados"	1938	-50	0.8	177	6333	161	0	0	4992	0.21		
"Georgia"	1763	1763	0.7	23	399	113	0.04	-2	2513	0.09		
"Saudi Arabia"	1494	1494	0.6	138	580	32	0.7	3	5816	0.07		
"Brazil"	1151	-6319	0.5	-16	-38	26	1	6	10879	0.09		
"Spain"	1037	-2894	0.4	6	-18	15	1.9	3	3890	0.05		
"Philippines"	960	960	0.4	-58		34	0.6	2	4354	0.09		
"South Africa"	943	-24819	0.4	-65	68146	41	0.4	-1	9230	0.07		
"Sweden"	838	603	0.3	-18	-11	31	0.9	3	2128	0.07		
"Poland"	596	-8870	0.2	-18	-3	18	1.5	8	3121	0.08		
"Paraguay"	556	405	0.2	112	-61	92	0.06	0	7311	0.15		
"Malaysia"	550	505	0.2	-9	-83	25	1.1	3	5172	0.09		
"Colombia"	530	-28865	0.2	-55	1623	51	0.3	4	8915	0.13		
"Netherlands"	472	-26538	0.2	-47	377	8	2.8	5	3706	0.07		
