Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Brunei Darussalam's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Brunei Darussalam (%)	
"World"	11058184	2483357	100	15	67		100	3				
"Singapore"	2368336	1623037	21.4	55	68	16	1.9	3	5773	0.07		
"Japan"	2248731	1916998	20.3	4	33	4	3.5	1	6256	0.09		
"China"	2222938	1647851	20.1	79	90	2	11.1	5	6416	0.04		
"Australia"	1379144	942476	12.5	47	315	24	1.1	1	10262	0.1		
"Philippines"	552823	519749	5	91	279	34	0.6	2	4354	0.09		
"Malaysia"	550121	-1363702	5	-2	8	25	1.1	3	5172	0.09		
"Thailand"	517943	424116	4.7	-11	76	23	1.2	2	4905	0.09		
"India"	440543	380150	4	-7	27	10	2.6	2	5793	0.05		
"Viet Nam"	198628	150843	1.8	69	-13	19	1.5	8	3535	0.19		
"Indonesia"	187931	-85998	1.7	46	161	30	0.9	2	5872	0.11		
"Taipei, Chinese"	121548	92257	1.1	-22	37	17	1.7	8	5007	0.1		
"Hong Kong, China"	101768	66912	0.9	44	4911	5	3.3	3	2841	0.22		
"Korea, Republic of"	66423	-96760	0.6	-47	-53	9	2.8	4	5699	0.09		
"United Arab Emirates"	24898	-156337	0.2	22	2868	29	0.9	-2	5715	0.08		
"Bangladesh"	23563	21736	0.2	439	-22	49	0.3	6	4172	0.15		
"Sri Lanka"	17434	17041	0.2	646	-7	85	0.08	-3	4351	0.16		
"United Kingdom"	12413	-57392	0.1	-11	198	7	3.2	1	3930	0.06		
"United States of America"	8564	-212790	0.1	-19	-89	1	13.4	3	7938	0.08		
"Curaçao"	6707	6707	0.1	23	538	163	0	-12		0.24		
"Chile"	2409	1386	0	477	12	43	0.4	6	11582	0.13		
"Italy"	1257	-30834	0	-7	22	11	2.5	2	2891	0.06		
"Germany"	727	-87087	0	-36	13	3	6.5	3	3376	0.05		
"Switzerland"	593	-8579	0	-88		20	1.5	4	3384	0.07		
"Canada"	556	-7554	0	-6	-73	14	2.2	1	5042	0.26		
"Area Nes"	365	-2708	0	-19	-42							
"Saudi Arabia"	303	-932967	0	-12	16	32	0.7	3	5816	0.07		
"New Zealand"	298	-4539	0	-33	-3	56	0.2	3	11141	0.09		
"Qatar"	279	-65642	0	8	-19	70	0.1	0	5745	0.06		
"Belgium"	231	-14275	0	-33	1519	12	2.4	3	2709	0.08		
"France"	165	-13528	0	-43	82	6	3.2	1	3195	0.06		
"Myanmar"	102	-501	0	-40		79	0.10	-1	2536	0.25		
"Oman"	98	68	0	-28	172	83	0.08	-6	5977	0.08		
"Pakistan"	78	-1331	0	19	-100	47	0.3	2	4850	0.11		
"Sweden"	52	-1954	0	-43	4958	31	0.9	3	2128	0.07		
"Brazil"	47	-1913	0	188	-85	26	1	6	10879	0.09		
"Cambodia"	36	-10522	0	-38	98	66	0.1	16	2651	0.18		
"Papua New Guinea"	29	-56376	0	-77		143	0.02	-1	4973	0.17		
"Argentina"	28	-23769	0	211	-75	50	0.3	-5	10631	0.1		
"Turkey"	25	-3002	0	-25	-89	22	1.2	3	4285	0.05		
"Kuwait"	18	17	0	-40	-86	76	0.1	-3	5837	0.07		
"Norway"	15	-256582	0	-40	-66	39	0.5	3	3470	0.06		
"Uruguay"	11	-202	0	32		95	0.06	0	9836	0.11		
"Nepal"	5	-8	0	-60	-31	96	0.06	8	1856	0.56		
"Colombia"	2	-74364	0	-47	-94	51	0.3	4	8915	0.13		
"Nigeria"	1	-100048	0	-76		53	0.2	17	7792	0.1		
"Algeria"		-1				64	0.2	-8	4584	0.07		
"El Salvador"		-1				88	0.07	9	4914	0.15		
"Nicaragua"		-1				104	0.05	4	5888	0.1		
"Albania"		-1				121	0.03	6	1886	0.13		
"Sudan"		-1				122	0.03	-2		0.13		
"Lao People's Democratic Republic"		-1				129	0.02	-1	2572	0.28		
"Uganda"		-1				132	0.02	11	5788	0.09		
"Syrian Arab Republic"		-1				139	0.02	-3	2496	0.27		
"Vanuatu"		-1				198	0	-2	6248	0.13		
"Croatia"		-2				63	0.2	6	1362	0.07		
"Zimbabwe"		-2				134	0.02	7	3754	0.39		
"Montenegro"		-2				152	0.01	0	2382	0.08		
"New Caledonia"		-2				155	0.01	-1	11471	0.2		
"Sao Tome and Principe"		-2				210	0	-3	6155	0.31		
"Paraguay"		-3				92	0.06	0	7311	0.15		
"Cayman Islands"		-3				123	0.03	5	7522	0.35		
"Mongolia"		-3				125	0.03	8	3267	0.22		
"Trinidad and Tobago"		-3				128	0.03	-1	6663	0.26		
"Mauritius"		-3				133	0.02	-2	7320	0.08		
"Barbados"		-3				161	0	0	4992	0.21		
"South Sudan"		-3				194	0	12		0.25		
"Montserrat"		-3				224	0	-7		0.49		
"Guatemala"		-4				68	0.1	7	5828	0.15		
"Bolivia, Plurinational State of"		-4				106	0.04	-3	7978	0.11		
"Mauritania"		-4				146	0.02	1	5817	0.07		
"Afghanistan"		-4				147	0.02	-8	2990	0.12		
"Timor-Leste"		-4				183	0	12	3988	0.22		
"Sint Maarten (Dutch part)"		-4				213	0	-7		0.43		
"Serbia"		-5				65	0.2	9	2497	0.06		
"Andorra"		-5				166	0	2	610	0.52		
"Bahrain"		-6				101	0.05	1	6359	0.08		
"Belize"		-6				179	0	1	5006	0.18		
"Ethiopia"		-7				90	0.07	1	6305	0.11		
"Mali"		-7				141	0.02	9	5008	0.1		
"United States Minor Outlying Islands"		-7				177	0	0		0.21		
"Chad"		-7				184	0	13	6931	0.16		
"Cameroon"		-8				116	0.03	8	7279	0.14		
"Nauru"		-8				211	0	18	6014	0.27		
"Dominican Republic"		-9				67	0.1	5	6446	0.22		
"Moldova, Republic of"		-9				118	0.03	8	2317	0.08		
"Kyrgyzstan"		-10				127	0.03	1	2892	0.2		
"Dominica"		-10				185	0	8	4908	0.65		
"Macedonia, North"		-11				103	0.05	8	1348	0.09		
"Madagascar"		-11				138	0.02	2	7339	0.08		
