Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Burkina Faso's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Burkina Faso (%)	
"World"	5060028	350098	100	16	15		100	3				
"Switzerland"	3678549	3672276	72.7	25	10	20	1.5	4	3384	0.07		
"India"	485067	220697	9.6	6	64	10	2.6	2	5793	0.05		
"Singapore"	194678	184308	3.8	-13	62	16	1.9	3	5773	0.07		
"Côte d'Ivoire"	182313	-215815	3.6	-5	46	93	0.06	9	6793	0.08		
"Mali"	78532	49222	1.6	32	91	141	0.02	9	5008	0.1		
"United States of America"	56588	-269060	1.1	81	447	1	13.4	3	7938	0.08		
"Ghana"	50306	-226023	1	-3	-15	82	0.08	8	8888	0.18		
"France"	40049	-327863	0.8	-20	-27	6	3.2	1	3195	0.06		
"Togo"	35301	-95865	0.7	-4	0	153	0.01	10	7318	0.08		
"Niger"	35213	-86570	0.7	25	-33	162	0	13	5715	0.09		
"Mauritius"	30557	30367	0.6		-9	133	0.02	-2	7320	0.08		
"Belgium"	24143	-62560	0.5	37	6	12	2.4	3	2709	0.08		
"China"	19901	-634812	0.4	-2	672	2	11.1	5	6416	0.04		
"Denmark"	17939	8189	0.4	2	-35	35	0.6	5	2182	0.08		
"Netherlands"	13565	-129591	0.3	-22	23	8	2.8	5	3706	0.07		
"United Arab Emirates"	13160	-20965	0.3	54	-2	29	0.9	-2	5715	0.08		
"Germany"	13155	-118693	0.3	13	-32	3	6.5	3	3376	0.05		
"Senegal"	11999	-17928	0.2	2	5	110	0.04	4	6632	0.05		
"Liberia"	9460	9398	0.2	169	9080	87	0.07	17	11608	0.19		
"Guinea"	7196	6537	0.1	-2	37	135	0.02	7	9140	0.19		
"United Kingdom"	6045	-87337	0.1	-29	44	7	3.2	1	3930	0.06		
"Italy"	5880	-48724	0.1	45	178	11	2.5	2	2891	0.06		
"Greece"	5617	-11985	0.1		-80	45	0.3	4	2847	0.05		
"Benin"	4700	-5615	0.1	32	124	149	0.01	-2	6481	0.07		
"Japan"	4653	-125836	0.1	-25	-44	4	3.5	1	6256	0.09		
"Turkey"	4525	-131981	0.1	-24	26	22	1.2	3	4285	0.05		
"Malaysia"	3826	-68943	0.1	23	-52	25	1.1	3	5172	0.09		
"Spain"	3401	-72715	0.1	31	-6	15	1.9	3	3890	0.05		
"Ethiopia"	3351	2678	0.1	-1	18	90	0.07	1	6305	0.11		
"Austria"	2350	148	0	181	5766	27	1	3	1514	0.18		
"Viet Nam"	2164	-30789	0	-46	-90	19	1.5	8	3535	0.19		
"Canada"	2086	-21980	0	-8	78	14	2.2	1	5042	0.26		
"Gambia"	1609	1588	0	27	10464	167	0	7	8260	0.14		
"Ukraine"	1514	-34183	0	69	-33	48	0.3	7	3255	0.06		
"Morocco"	1237	-56343	0	-8	85	52	0.3	4	4316	0.07		
"Korea, Republic of"	1063	-125410	0	94		9	2.8	4	5699	0.09		
"South Africa"	1007	-68226	0	-42	-65	41	0.4	-1	9230	0.07		
"Egypt"	859	-31944	0		172	46	0.3	-1	5219	0.05		
"Hong Kong, China"	828	-1145	0	126	16	5	3.3	3	2841	0.22		
"Sweden"	654	-52261	0	15	150	31	0.9	3	2128	0.07		
"Sierra Leone"	570	558	0	74	7891	170	0	10	8820	0.13		
"Portugal"	559	-13776	0	193	773	40	0.4	2	2788	0.14		
"Latvia"	321	-3967	0			77	0.1	7	1575	0.08		
"Australia"	300	-29467	0	38	125	24	1.1	1	10262	0.1		
"Pakistan"	264	-2948	0		2507	47	0.3	2	4850	0.11		
"Aruba"	252	252	0			175	0	-3	4917	0.3		
"Tunisia"	240	-22899	0	0	-21	78	0.10	-1	3411	0.06		
"Indonesia"	183	-22761	0	-34		30	0.9	2	5872	0.11		
"Israel"	176	-13232	0	310	-80	42	0.4	4	5483	0.07		
"Czech Republic"	160	-13259	0	107	368	28	1	4	2987	0.1		
"Mauritania"	157	-723	0	-48	-78	146	0.02	1	5817	0.07		
"Gabon"	147	-22	0	-23	969	158	0.01	-2	7114	0.11		
"Belarus"	134	-1566	0		-3	61	0.2	2	2268	0.23		
"Brazil"	96	-21706	0	-60		26	1	6	10879	0.09		
"Guinea-Bissau"	92	90	0	75	382	195	0	2	5802	0.16		
"Chad"	84	84	0	25	2	184	0	13	6931	0.16		
"Somalia"	79	79	0			150	0.01	9	5305	0.16		
"Mozambique"	74	57	0		4404	108	0.04	8	6196	0.1		
"Kenya"	73	-301	0	49	-3	80	0.09	2	6680	0.08		
"Lebanon"	73	-7359	0	25	110	97	0.06	-12	3592	0.06		
"Russian Federation"	68	-236233	0	51		21	1.3	5	4187	0.09		
"Central African Republic"	63	63	0	61		199	0	7	6606	0.08		
"Congo, Democratic Republic of the"	60	59	0	-26	107	111	0.04	13	6479	0.14		
"Malta"	60	-2193	0	60	49	120	0.03	1	3249	0.08		
"Iceland"	55	14	0	44	14	112	0.04	-1	4251	0.05		
"Cameroon"	53	-301	0	-22	-56	116	0.03	8	7279	0.14		
"Philippines"	47	-1457	0	48	1122	34	0.6	2	4354	0.09		
"Hungary"	35	-3948	0	87	-57	33	0.6	6	2180	0.09		
"Georgia"	33	5	0		-40	113	0.04	-2	2513	0.09		
"Slovenia"	33	-374	0		135	55	0.2	10	2404	0.07		
"Nigeria"	33	-14939	0	-12	-30	53	0.2	17	7792	0.1		
"Angola"	32	-150	0	30	335	100	0.05	-11	7692	0.06		
"Qatar"	29	-337	0	40	-75	70	0.1	0	5745	0.06		
"Bulgaria"	27	-246	0	17		57	0.2	6	2237	0.05		
"Chile"	26	-525	0		128	43	0.4	6	11582	0.13		
"Cuba"	21	3	0			145	0.02	-13	7148	0.09		
"Kyrgyzstan"	18	18	0			127	0.03	1	2892	0.2		
"Uganda"	18	17	0	-39		132	0.02	11	5788	0.09		
"Azerbaijan"	18	6	0			98	0.05	5	3712	0.09		
"Tanzania, United Republic of"	18	-20	0	-59	-44	102	0.05	7	6633	0.1		
"Algeria"	18	-25583	0	-41	-94	64	0.2	-8	4584	0.07		
"Macao, China"	17	17	0			81	0.09	15		0.17		
"Syrian Arab Republic"	17	17	0	0		139	0.02	-3	2496	0.27		
"Oman"	17	-690	0			83	0.08	-6	5977	0.08		
"Colombia"	15	10	0			51	0.3	4	8915	0.13		
"Finland"	12	-21874	0	-39	-41	44	0.4	3	2842	0.07		
"Peru"	11	-17842	0		-49	54	0.2	3	10420	0.13		
"Zambia"	10	-100	0	-2	68	119	0.03	-9	5447	0.14		
"Saudi Arabia"	10	-62659	0	-54	-70	32	0.7	3	5816	0.07		
"Argentina"	9	-9035	0		-85	50	0.3	-5	10631	0.1		
"Haiti"	8	8	0	-45		140	0.02	0	6340	0.18		
"Sudan"	8	-6	0		3	122	0.03	-2		0.13		
"Madagascar"	7	2	0	-34	-77	138	0.02	2	7339	0.08		
"Andorra"	7	-14	0			166	0	2	610	0.52		
"Poland"	7	-17790	0	-22	-91	18	1.5	8	3121	0.08		
"Thailand"	7	-25090	0	28		23	1.2	2	4905	0.09		
"Libya, State of"	5	5	0		326	89	0.07	12	3475	0.08		
"Lao People's Democratic Republic"	4	-12	0			129	0.02	-1	2572	0.28		
"Ecuador"	4	-37	0		-73	69	0.1	3	9174	0.12		
"Dominican Republic"	3	3	0		-66	67	0.1	5	6446	0.22		
"Uruguay"	2	-64	0			95	0.06	0	9836	0.11		
"Bolivia, Plurinational State of"	1	1	0			106	0.04	-3	7978	0.11		
"Uzbekistan"	1	-1	0			74	0.1	16	3412	0.12		
"Botswana"	1	-304	0			124	0.03	2	2968	0.52		
"Eswatini"	1	-392	0			160	0	1	1597	0.74		
"Fiji"		-1				157	0.01	-7	7384	0.12		
"Micronesia, Federated States of"		-1				208	0	-8	7109	0.19		
"Saint Helena"		-1				217	0	6	7699	0.31		
"Brunei Darussalam"		-2				109	0.04	26	5185	0.11		
"Mongolia"		-2				125	0.03	8	3267	0.22		
"Antigua and Barbuda"		-2				174	0	1	6334	0.27		
"Falkland Islands (Malvinas)"		-2				207	0	2	12325	0.46		
"Afghanistan"		-3				147	0.02	-8	2990	0.12		
"Curaçao"		-3				163	0	-12		0.24		
"Tajikistan"		-4				142	0.02	9	2803	0.17		
"Saint Pierre and Miquelon"		-4				215	0	10	3489	0.45		
"Nicaragua"		-7				104	0.05	4	5888	0.1		
"Solomon Islands"		-8				190	0	0	6301	0.17		
"Kazakhstan"		-10				58	0.2	6	3017	0.25		
"Honduras"		-12				99	0.05	4	6104	0.16		
"Saint Vincent and the Grenadines"		-12				196	0	3	6798	0.14		
"Suriname"		-14				173	0	1	9050	0.14		
"Pitcairn"		-15				227	0	-5		0.23		
"Macedonia, North"		-16				103	0.05	8	1348	0.09		
"Comoros"		-18				192	0	18	5731	0.22		
"Venezuela, Bolivarian Republic of"		-20				117	0.03	-11	8121	0.16		
"Djibouti"		-20				130	0.02	5	6387	0.22		
"Zimbabwe"		-21				134	0.02	7	3754	0.39		
"Burundi"		-21				188	0	13	4755	0.14		
"Eritrea"		-23				203	0	-8	6303	0.14		
"Equatorial Guinea"		-25				182	0	2	6008	0.11		
"Nauru"		-27				211	0	18	6014	0.27		
"Trinidad and Tobago"		-43				128	0.03	-1	6663	0.26		
"Cyprus"		-44				105	0.05	-1	3118	0.09		
"Jamaica"		-45				137	0.02	-2	6759	0.22		
"Seychelles"		-91				187	0	-7	6627	0.06		
"Tokelau"		-96				226	0	-33	11566	0.22		
"Albania"		-100				121	0.03	6	1886	0.13		
"Bosnia and Herzegovina"		-115				94	0.06	3	2228	0.07		
"Panama"		-120				60	0.2	1	8657	0.12		
"Namibia"		-132				126	0.03	-1	3757	0.37		
"Serbia"		-144				65	0.2	9	2497	0.06		
"Anguilla"		-156				212	0	-5	4397	0.58		
"Jordan"		-184				84	0.08	0	5167	0.07		
"Turks and Caicos Islands"		-239				193	0	-3	3491	0.74		
"Cambodia"		-299				66	0.1	16	2651	0.18		
"Moldova, Republic of"		-352				118	0.03	8	2317	0.08		
"Croatia"		-377				63	0.2	6	1362	0.07		
"Costa Rica"		-569				86	0.08	3	6987	0.22		
"Myanmar"		-622				79	0.10	-1	2536	0.25		
"Sri Lanka"		-630				85	0.08	-3	4351	0.16		
"Bangladesh"		-645				49	0.3	6	4172	0.15		
"Korea, Democratic People's Republic of"		-869				200	0	-49	1470	0.87		
"Congo"		-1262				154	0.01	-18	6851	0.07		
"Slovakia"		-1316				38	0.5	4	2664	0.07		
"Kuwait"		-1610				76	0.1	-3	5837	0.07		
"Lithuania"		-1943				59	0.2	7	1630	0.07		
"Guatemala"		-2115				68	0.1	7	5828	0.15		
"Iran, Islamic Republic of"		-2246				72	0.1	-18	5612	0.13		
"New Zealand"		-2413				56	0.2	3	11141	0.09		
"Romania"		-2423				37	0.5	6	1891	0.07		
"Estonia"		-2743				73	0.1	6	2314	0.06		
"Norway"		-5049				39	0.5	3	3470	0.06		
"Taipei, Chinese"		-8304				17	1.7	8	5007	0.1		
"Ireland"		-9903				36	0.5	4	3265	0.1		
"Mexico"		-11826				13	2.3	2	7039	0.24		
"Iraq"						62	0.2	3	4107	0.18		
"Luxembourg"						71	0.1	3	1488	0.14		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"El Salvador"						88	0.07	9	4914	0.15		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Paraguay"						92	0.06	0	7311	0.15		
"Nepal"						96	0.06	8	1856	0.56		
"Bahrain"						101	0.05	1	6359	0.08		
"Yemen"						107	0.04	11	5706	0.11		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Armenia"						131	0.02	6	3323	0.15		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Rwanda"						159	0.01	17	5437	0.08		
"Barbados"						161	0	0	4992	0.21		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Palestine, State of"						176	0	8	3026	0.1		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Timor-Leste"						183	0	12	3988	0.22		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Grenada"						191	0	-1	4157	0.2		
"South Sudan"						194	0	12		0.25		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
