Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Cabo Verde's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Cabo Verde (%)	
"Total"	126355	-754472	100	2	32		100	3				
"Spain"	79569	-3035	63	7	22	15	1.9	3	3890	0.05		
"Portugal"	9881	-345841	7.8	-16	6	40	0.4	2	2788	0.14		
"Angola"	9847	9808	7.8	18	29952	100	0.05	-11	7692	0.06		
"Italy"	7728	-15294	6.1	-2	-4	11	2.5	2	2891	0.06		
"United States of America"	5650	-6944	4.5	12	18	1	13.4	3	7938	0.08		
"India"	4254	613	3.4	2	165	10	2.6	2	5793	0.05		
"Senegal"	3051	1684	2.4	372	541	110	0.04	4	6632	0.05		
"China"	1131	-76193	0.9	244	-7	2	11.1	5	6416	0.04		
"Turkey"	915	-9428	0.7	-34	9634	22	1.2	3	4285	0.05		
"France"	914	-21691	0.7	31	-1	6	3.2	1	3195	0.06		
"Morocco"	547	-2165	0.4	-18	892	52	0.3	4	4316	0.07		
"United Kingdom"	486	-3541	0.4	38	30	7	3.2	1	3930	0.06		
"Canada"	329	-471	0.3	31	4	14	2.2	1	5042	0.26		
"Netherlands"	317	-69259	0.3	-42	-56	8	2.8	5	3706	0.07		
"Germany"	277	-6420	0.2	19	-53	3	6.5	3	3376	0.05		
"Romania"	215	-254	0.2	-8	170	37	0.5	6	1891	0.07		
"Ukraine"	194	-1588	0.2	254	238	48	0.3	7	3255	0.06		
"Indonesia"	100	-462	0.1	4	74	30	0.9	2	5872	0.11		
"Denmark"	100	-5484	0.1	63	-22	35	0.6	5	2182	0.08		
"Guatemala"	82	82	0.1			68	0.1	7	5828	0.15		
"Belgium"	76	-19076	0.1	70	332	12	2.4	3	2709	0.08		
"El Salvador"	66	66	0.1	74		88	0.07	9	4914	0.15		
"Luxembourg"	53	-96	0	104	194	71	0.1	3	1488	0.14		
"Australia"	52	38	0	-33	112	24	1.1	1	10262	0.1		
"Pakistan"	49	-119	0	-31		47	0.3	2	4850	0.11		
"Poland"	43	-815	0	-13	1333	18	1.5	8	3121	0.08		
"Singapore"	36	-688	0	-52	-83	16	1.9	3	5773	0.07		
"Korea, Republic of"	35	-3729	0	-12	2030	9	2.8	4	5699	0.09		
"Brazil"	30	-22904	0	-24	44	26	1	6	10879	0.09		
"Israel"	28	28	0	82		42	0.4	4	5483	0.07		
"Chile"	25	-48	0	-32	-45	43	0.4	6	11582	0.13		
"Russian Federation"	24	5	0	25		21	1.3	5	4187	0.09		
"South Africa"	24	-118151	0	-32	320	41	0.4	-1	9230	0.07		
"Iceland"	21	21	0			112	0.04	-1	4251	0.05		
"Tunisia"	20	-220	0		-95	78	0.10	-1	3411	0.06		
"Slovenia"	18	-57	0	16		55	0.2	10	2404	0.07		
"Fiji"	16	16	0			157	0.01	-7	7384	0.12		
"New Zealand"	14	14	0	39	-42	56	0.2	3	11141	0.09		
"Hungary"	14	-402	0	4		33	0.6	6	2180	0.09		
"Switzerland"	14	-1443	0	11	105	20	1.5	4	3384	0.07		
"Ireland"	13	-65	0	-11	834	36	0.5	4	3265	0.1		
"Cyprus"	12	12	0	-22		105	0.05	-1	3118	0.09		
"Mozambique"	12	12	0	74	-45	108	0.04	8	6196	0.1		
"Dominican Republic"	10	-2970	0	-7	-89	67	0.1	5	6446	0.22		
"Comoros"	7	7	0	30		192	0	18	5731	0.22		
"Nigeria"	7	-27	0	-67	193	53	0.2	17	7792	0.1		
"Czech Republic"	7	-307	0	-50	-22	28	1	4	2987	0.1		
"Kenya"	4	4	0			80	0.09	2	6680	0.08		
"Sweden"	4	-368	0	-74		31	0.9	3	2128	0.07		
"Austria"	4	-469	0	30		27	1	3	1514	0.18		
"Mexico"	3	3	0	-76	-90	13	2.3	2	7039	0.24		
"Serbia"	2	2	0	-15		65	0.2	9	2497	0.06		
"Nicaragua"	2	2	0	-25		104	0.05	4	5888	0.1		
"Samoa"	2	2	0			197	0	-1	6816	0.13		
"Saudi Arabia"	2	-17	0			32	0.7	3	5816	0.07		
"Estonia"	2	-22	0			73	0.1	6	2314	0.06		
"Taipei, Chinese"	2	-52	0	-68		17	1.7	8	5007	0.1		
"Peru"	2	-316	0	-23	-72	54	0.2	3	10420	0.13		
"Thailand"	2	-5415	0	-61	-96	23	1.2	2	4905	0.09		
"Belarus"	1	1	0	-24		61	0.2	2	2268	0.23		
"Cambodia"	1	1	0	-68		66	0.1	16	2651	0.18		
"Lao People's Democratic Republic"	1	1	0	-10		129	0.02	-1	2572	0.28		
"Armenia"	1	1	0			131	0.02	6	3323	0.15		
"Mauritania"	1	1	0			146	0.02	1	5817	0.07		
"Philippines"	1	0	0			34	0.6	2	4354	0.09		
"Bolivia, Plurinational State of"	1	-9	0	40		106	0.04	-3	7978	0.11		
"Slovakia"	1	-71	0	-61		38	0.5	4	2664	0.07		
