Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Cambodia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Cambodia (%)	
"World"	17571783	-11131107	100	13	-1		100	3				
"United States of America"	7490970	7154292	42.6	33	40	1	13.4	3	7938	0.08		
"China"	1510253	-8174093	8.6	18	39	2	11.1	5	6416	0.04		
"Japan"	1093628	453115	6.2	5	3	4	3.5	1	6256	0.09		
"Canada"	954828	914940	5.4	6	27	14	2.2	1	5042	0.26		
"Germany"	880782	716198	5	-4	-9	3	6.5	3	3376	0.05		
"United Kingdom"	731842	675033	4.2	-8	-12	7	3.2	1	3930	0.06		
"Belgium"	508147	463249	2.9	5	5	12	2.4	3	2709	0.08		
"Viet Nam"	507651	-2635884	2.9	10	31	19	1.5	8	3535	0.19		
"Netherlands"	441354	412654	2.5	2	22	8	2.8	5	3706	0.07		
"Thailand"	360519	-3102826	2.1	4	-45	23	1.2	2	4905	0.09		
"Spain"	341439	319566	1.9	-9	-3	15	1.9	3	3890	0.05		
"France"	335859	235984	1.9	-6	-6	6	3.2	1	3195	0.06		
"Italy"	254423	172902	1.4	-1	7	11	2.5	2	2891	0.06		
"Hong Kong, China"	233811	-490901	1.3	8	-65	5	3.3	3	2841	0.22		
"Australia"	205300	85131	1.2	17	53	24	1.1	1	10262	0.1		
"Korea, Republic of"	194087	-385872	1.1	2	5	9	2.8	4	5699	0.09		
"India"	126066	-59107	0.7	32	103	10	2.6	2	5793	0.05		
"Poland"	121352	78603	0.7	-4	10	18	1.5	8	3121	0.08		
"Singapore"	119895	-4977211	0.7	34	-95	16	1.9	3	5773	0.07		
"Malaysia"	101318	-300368	0.6	-10	2	25	1.1	3	5172	0.09		
"Mexico"	98224	70512	0.6	7	54	13	2.3	2	7039	0.24		
"Taipei, Chinese"	96979	-883302	0.6	24	38	17	1.7	8	5007	0.1		
"Czech Republic"	76991	73457	0.4	-3	4	28	1	4	2987	0.1		
"Denmark"	69534	-162452	0.4	-11	-7	35	0.6	5	2182	0.08		
"Russian Federation"	59542	21876	0.3	12	18	21	1.3	5	4187	0.09		
"United Arab Emirates"	52116	-42820	0.3	-5	18	29	0.9	-2	5715	0.08		
"Ireland"	45459	34863	0.3	1	13	36	0.5	4	3265	0.1		
"Gabon"	44752	44728	0.3	19	3	158	0.01	-2	7114	0.11		
"Sweden"	43677	31482	0.2	-9	-16	31	0.9	3	2128	0.07		
"Philippines"	37535	5234	0.2	3	10	34	0.6	2	4354	0.09		
"Austria"	35066	30182	0.2	3	3	27	1	3	1514	0.18		
"Indonesia"	31781	-576166	0.2	21	-8	30	0.9	2	5872	0.11		
"Luxembourg"	25908	8221	0.1	13	6	71	0.1	3	1488	0.14		
"Chile"	25219	19981	0.1	-6	23	43	0.4	6	11582	0.13		
"Brazil"	23905	-36131	0.1	4	2	26	1	6	10879	0.09		
"Israel"	22020	16353	0.1	14	24	42	0.4	4	5483	0.07		
"South Africa"	19710	618	0.1	2	3	41	0.4	-1	9230	0.07		
"New Zealand"	16778	2386	0.1	17	25	56	0.2	3	11141	0.09		
"Turkey"	16415	-595	0.1	-5	-15	22	1.2	3	4285	0.05		
"Colombia"	12127	11896	0.1	9	29	51	0.3	4	8915	0.13		
"Peru"	12007	10101	0.1	2	23	54	0.2	3	10420	0.13		
"Portugal"	11934	6697	0.1	-9	8	40	0.4	2	2788	0.14		
"Switzerland"	10366	-953554	0.1	-8	-33	20	1.5	4	3384	0.07		
"Myanmar"	10202	-9634	0.1	39	212	79	0.10	-1	2536	0.25		
"Panama"	9985	9379	0.1	-5	36	60	0.2	1	8657	0.12		
"Greece"	9653	8946	0.1	-11	-21	45	0.3	4	2847	0.05		
"Bangladesh"	9479	178	0.1	20	3	49	0.3	6	4172	0.15		
"Argentina"	9472	-83857	0.1	-7	-36	50	0.3	-5	10631	0.1		
"Norway"	9193	7793	0.1	-14	14	39	0.5	3	3470	0.06		
"Finland"	8486	-160246	0	7	28	44	0.4	3	2842	0.07		
"Sri Lanka"	7088	4040	0	94	53	85	0.08	-3	4351	0.16		
"Cambodia"	6519	4733	0	-5	397	66	0.1	16	2651	0.18		
"Ukraine"	6163	3762	0	27	29	48	0.3	7	3255	0.06		
"Saudi Arabia"	6069	-14628	0	55	96	32	0.7	3	5816	0.07		
"Brunei Darussalam"	5747	5744	0	16	-53	109	0.04	26	5185	0.11		
"Uruguay"	4500	-3637	0	5	41	95	0.06	0	9836	0.11		
"Slovenia"	4492	4179	0	13	-28	55	0.2	10	2404	0.07		
"Morocco"	4306	4184	0	10	24	52	0.3	4	4316	0.07		
"Serbia"	3962	3706	0	23	10	65	0.2	9	2497	0.06		
"Mauritius"	3930	2508	0	122	229	133	0.02	-2	7320	0.08		
"Romania"	3231	-768	0	4	50	37	0.5	6	1891	0.07		
"Slovakia"	3033	-3271	0	-37	-18	38	0.5	4	2664	0.07		
"Malta"	2865	2724	0	27	81	120	0.03	1	3249	0.08		
"Hungary"	2825	1618	0	10	-21	33	0.6	6	2180	0.09		
"Estonia"	2788	1996	0	25	76	73	0.1	6	2314	0.06		
"Côte d'Ivoire"	2740	2668	0	134	-12	93	0.06	9	6793	0.08		
"Lao People's Democratic Republic"	2716	-155493	0	-27	99	129	0.02	-1	2572	0.28		
