Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Cameroon's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Cameroon (%)	
"Total"	4772871	-2567972	100	5	19		100	3				
"China"	1182612	-1305012	24.8	15	57	2	11.1	5	6416	0.04		
"Netherlands"	769405	539055	16.1	22	23	8	2.8	5	3706	0.07		
"India"	481287	90451	10.1	20	35	10	2.6	2	5793	0.05		
"Italy"	351630	146976	7.4	-7	29	11	2.5	2	2891	0.06		
"France"	307405	-325901	6.4	-15	15	6	3.2	1	3195	0.06		
"Belgium"	306546	-63887	6.4	3	8	12	2.4	3	2709	0.08		
"Spain"	256388	129934	5.4	-10	14	15	1.9	3	3890	0.05		
"United States of America"	218699	66092	4.6	21	-55	1	13.4	3	7938	0.08		
"Taipei, Chinese"	152721	146306	3.2	94	2014	17	1.7	8	5007	0.1		
"Germany"	97419	-48407	2	5	-25	3	6.5	3	3376	0.05		
"Malaysia"	96867	52233	2	7	-17	25	1.1	3	5172	0.09		
"Korea, Republic of"	74543	-23520	1.6	42	33	9	2.8	4	5699	0.09		
"United Kingdom"	60464	2238	1.3	-1	19	7	3.2	1	3930	0.06		
"Turkey"	57314	-128339	1.2	1	31	22	1.2	3	4285	0.05		
"Singapore"	38160	20156	0.8	16	-47	16	1.9	3	5773	0.07		
"Indonesia"	36970	9759	0.8	-21	10	30	0.9	2	5872	0.11		
"Czech Republic"	29009	24123	0.6	17	16	28	1	4	2987	0.1		
"Malta"	28490	25332	0.6	-20	3611	120	0.03	1	3249	0.08		
"Congo"	27839	-99174	0.6	-30	27	154	0.01	-18	6851	0.07		
"Senegal"	25623	-356	0.5	-5	29	110	0.04	4	6632	0.05		
"Pakistan"	19146	7526	0.4	72	293	47	0.3	2	4850	0.11		
"Slovakia"	16146	14606	0.3	-1	29	38	0.5	4	2664	0.07		
"Poland"	13163	-13577	0.3	2	72	18	1.5	8	3121	0.08		
"Portugal"	12782	-20544	0.3	-38	-3	40	0.4	2	2788	0.14		
"Canada"	9586	-59838	0.2	9	0	14	2.2	1	5042	0.26		
"Luxembourg"	9575	7343	0.2	-12	12	71	0.1	3	1488	0.14		
"Japan"	7272	-23836	0.2	18	11	4	3.5	1	6256	0.09		
"Ireland"	5250	-17625	0.1	-23	-36	36	0.5	4	3265	0.1		
"South Africa"	4940	-44292	0.1	-38	20	41	0.4	-1	9230	0.07		
"Morocco"	4936	-93441	0.1	2	232	52	0.3	4	4316	0.07		
"Angola"	4929	-4510	0.1	30	443	100	0.05	-11	7692	0.06		
"Greece"	4825	-16899	0.1	5	47	45	0.3	4	2847	0.05		
"Benin"	4457	2795	0.1	51	88	149	0.01	-2	6481	0.07		
"Russian Federation"	4379	-305273	0.1	-7	194	21	1.3	5	4187	0.09		
"Mexico"	4237	2689	0.1	6	47	13	2.3	2	7039	0.24		
"Brazil"	3718	-63750	0.1	34	18	26	1	6	10879	0.09		
"Slovenia"	3198	2724	0.1	-14	-6	55	0.2	10	2404	0.07		
"Saudi Arabia"	3134	-21082	0.1	-3	-39	32	0.7	3	5816	0.07		
"Switzerland"	3105	-10504	0.1	-15	38	20	1.5	4	3384	0.07		
"Mauritius"	3053	2382	0.1	5	77	133	0.02	-2	7320	0.08		
"Nigeria"	2937	-551594	0.1	-19	-31	53	0.2	17	7792	0.1		
"Thailand"	2651	-117274	0.1	6	-71	23	1.2	2	4905	0.09		
"Dominican Republic"	2298	2298	0	-11	-60	67	0.1	5	6446	0.22		
"Romania"	1881	-2179	0	0	148	37	0.5	6	1891	0.07		
"Lithuania"	1858	-3726	0	505	993	59	0.2	7	1630	0.07		
"Belarus"	1801	1062	0	42	1047	61	0.2	2	2268	0.23		
"Tunisia"	1678	-32778	0	13	27	78	0.10	-1	3411	0.06		
"Estonia"	1480	1236	0	-2	265	73	0.1	6	2314	0.06		
"Hong Kong, China"	1364	-80925	0	-21	127	5	3.3	3	2841	0.22		
"Egypt"	1269	-59228	0	-21	-28	46	0.3	-1	5219	0.05		
"Denmark"	1161	-7489	0	3	1	35	0.6	5	2182	0.08		
"Sweden"	1075	-11624	0	36	-52	31	0.9	3	2128	0.07		
"Australia"	955	345	0	3	2	24	1.1	1	10262	0.1		
"Ukraine"	864	-98597	0	-9	-20	48	0.3	7	3255	0.06		
"Bulgaria"	789	-671	0	-24	-9	57	0.2	6	2237	0.05		
"Kenya"	645	-1760	0	13	41	80	0.09	2	6680	0.08		
"Austria"	590	-6703	0	43	-39	27	1	3	1514	0.18		
"Philippines"	482	-1535	0	9	367	34	0.6	2	4354	0.09		
"Hungary"	481	-9296	0	57	-38	33	0.6	6	2180	0.09		
"Cyprus"	462	-10	0	-11	5	105	0.05	-1	3118	0.09		
"Israel"	424	-6018	0	9	685	42	0.4	4	5483	0.07		
"Togo"	385	-2436	0	-27	146	153	0.01	10	7318	0.08		
"Argentina"	384	-37224	0	-21	5572	50	0.3	-5	10631	0.1		
"Norway"	369	-74437	0	55	-99	39	0.5	3	3470	0.06		
"Burkina Faso"	354	301	0	-16	-8	136	0.02	5	6109	0.05		
"Serbia"	350	-3412	0	-3	6	65	0.2	9	2497	0.06		
