Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Cayman Islands's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Cayman Islands (%)	
"Total"	2444028	-3782434	100	27	31		100	3				
"Netherlands"	1916584	-1494845	78.4	46	47	8	2.8	5	3706	0.07		
"Cyprus"	180780	180741	7.4	987	-29	105	0.05	-1	3118	0.09		
"India"	85172	78404	3.5	75	7069	10	2.6	2	5793	0.05		
"Japan"	51674	36354	2.1	1126	104	4	3.5	1	6256	0.09		
"United States of America"	44303	-1165990	1.8	-9	114	1	13.4	3	7938	0.08		
"Grenada"	41513	41513	1.7	308	56	191	0	-1	4157	0.2		
"Italy"	25643	-535500	1	32	-35	11	2.5	2	2891	0.06		
"Norway"	21091	18956	0.9	228	66569	39	0.5	3	3470	0.06		
"Malta"	19798	19648	0.8	-44	-80	120	0.03	1	3249	0.08		
"Belize"	13691	13691	0.6	144		179	0	1	5006	0.18		
"Greece"	9270	-11402	0.4	-26	675	45	0.3	4	2847	0.05		
"Barbados"	4582	3366	0.2	281	-24	161	0	0	4992	0.21		
"Spain"	4483	-41784	0.2	130	87	15	1.9	3	3890	0.05		
"Belgium"	4373	2759	0.2	77	65201	12	2.4	3	2709	0.08		
"France"	3855	-21286	0.2	-17	-74	6	3.2	1	3195	0.06		
"Canada"	3080	-33540	0.1	6	5	14	2.2	1	5042	0.26		
"Singapore"	2869	-96139	0.1	-32	13	16	1.9	3	5773	0.07		
"Brazil"	2601	-7079	0.1	-13	20	26	1	6	10879	0.09		
"Turkey"	2340	-158075	0.1	10	12911	22	1.2	3	4285	0.05		
"Colombia"	2163	-5596	0.1	21		51	0.3	4	8915	0.13		
"United Kingdom"	944	-63818	0	-26	-98	7	3.2	1	3930	0.06		
"Australia"	586	-634	0	-52	71	24	1.1	1	10262	0.1		
"Hungary"	556	234	0	-45		33	0.6	6	2180	0.09		
"Switzerland"	520	-13094	0	38	45	20	1.5	4	3384	0.07		
"Russian Federation"	379	-17288	0	163	1318	21	1.3	5	4187	0.09		
"Germany"	357	-399445	0	-21	28	3	6.5	3	3376	0.05		
"Azerbaijan"	133	114	0			98	0.05	5	3712	0.09		
"China"	106	-34463	0	60	718	2	11.1	5	6416	0.04		
"Angola"	93	88	0		-85	100	0.05	-11	7692	0.06		
"Honduras"	80	-920	0	-34		99	0.05	4	6104	0.16		
"Czech Republic"	79	-94	0	-32	72	28	1	4	2987	0.1		
"Ethiopia"	51	51	0			90	0.07	1	6305	0.11		
"Ireland"	36	-558	0	-18	304	36	0.5	4	3265	0.1		
"Poland"	32	-155	0	27	-11	18	1.5	8	3121	0.08		
"New Zealand"	32	-5304	0	-33	-99	56	0.2	3	11141	0.09		
"Belarus"	22	22	0			61	0.2	2	2268	0.23		
"South Africa"	15	-197	0	-27	13	41	0.4	-1	9230	0.07		
"Guatemala"	15	-2212	0		932	68	0.1	7	5828	0.15		
"Malaysia"	14	-140	0	-43		25	1.1	3	5172	0.09		
"Philippines"	14	-208	0	-3		34	0.6	2	4354	0.09		
"Taipei, Chinese"	13	-672	0	-58	-61	17	1.7	8	5007	0.1		
"Israel"	11	11	0	29	-99	42	0.4	4	5483	0.07		
"Portugal"	11	-116	0		-99	40	0.4	2	2788	0.14		
"Denmark"	9	-842	0	-45	-18	35	0.6	5	2182	0.08		
"Thailand"	9	-6102	0	-78	523	23	1.2	2	4905	0.09		
"Benin"	4	4	0			149	0.01	-2	6481	0.07		
"Guyana"	4	-171	0	-48	-74	144	0.02	13	11175	0.21		
"Brunei Darussalam"	3	3	0			109	0.04	26	5185	0.11		
