Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Central African Republic's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Central African Republic (%)	
"Total"	86239	-176260	100	6	-13		100	3				
"China"	33211	-8779	38.5	4	-42	2	11.1	5	6416	0.04		
"Italy"	17190	9743	19.9	122	40	11	2.5	2	2891	0.06		
"France"	7467	-33166	8.7	14	44	6	3.2	1	3195	0.06		
"Belgium"	7250	-13611	8.4	8	-2	12	2.4	3	2709	0.08		
"Portugal"	3274	2780	3.8	9	116	40	0.4	2	2788	0.14		
"Benin"	2561	2468	3	858	557	149	0.01	-2	6481	0.07		
"Turkey"	2188	-1521	2.5	13	23	22	1.2	3	4285	0.05		
"Germany"	1842	-8884	2.1	3	26	3	6.5	3	3376	0.05		
"United States of America"	1810	-15701	2.1	-14	71	1	13.4	3	7938	0.08		
"Morocco"	1458	-2571	1.7	-7	-39	52	0.3	4	4316	0.07		
"Pakistan"	1008	995	1.2	10	436	47	0.3	2	4850	0.11		
"Malaysia"	757	-271	0.9	58	42	25	1.1	3	5172	0.09		
"Congo"	733	-8707	0.8	131	108	154	0.01	-18	6851	0.07		
"Japan"	703	-698	0.8	-13	47	4	3.5	1	6256	0.09		
"Senegal"	636	-2834	0.7	1171	-75	110	0.04	4	6632	0.05		
"Ukraine"	487	-906	0.6			48	0.3	7	3255	0.06		
"Denmark"	444	-9514	0.5	359	252	35	0.6	5	2182	0.08		
"Korea, Republic of"	388	-3424	0.4	-44	-1	9	2.8	4	5699	0.09		
"Slovenia"	277	251	0.3	47	116	55	0.2	10	2404	0.07		
"Tanzania, United Republic of"	225	44	0.3			102	0.05	7	6633	0.1		
"Switzerland"	203	-110	0.2	-27	283	20	1.5	4	3384	0.07		
"Canada"	191	-802	0.2	7	31	14	2.2	1	5042	0.26		
"Indonesia"	169	-1932	0.2	-52	123	30	0.9	2	5872	0.11		
"Russian Federation"	164	-5664	0.2	111	203	21	1.3	5	4187	0.09		
"Nigeria"	147	147	0.2			53	0.2	17	7792	0.1		
"Colombia"	143	107	0.2	92	77	51	0.3	4	8915	0.13		
"Poland"	130	-1858	0.2	-38	1082	18	1.5	8	3121	0.08		
"Barbados"	101	101	0.1	188		161	0	0	4992	0.21		
"Hungary"	96	-67	0.1			33	0.6	6	2180	0.09		
"Thailand"	96	-860	0.1	-11	-13	23	1.2	2	4905	0.09		
"Czech Republic"	88	10	0.1	32	780	28	1	4	2987	0.1		
"Singapore"	70	-596	0.1	-23	-58	16	1.9	3	5773	0.07		
"Saudi Arabia"	65	65	0.1		-76	32	0.7	3	5816	0.07		
"Azerbaijan"	59	59	0.1	71		98	0.05	5	3712	0.09		
"Ireland"	57	-542	0.1	102	354	36	0.5	4	3265	0.1		
"Brazil"	56	-3849	0.1	27	2242	26	1	6	10879	0.09		
"India"	54	-21077	0.1	-67	-77	10	2.6	2	5793	0.05		
"Zambia"	53	20	0.1	54		119	0.03	-9	5447	0.14		
"Bulgaria"	43	-463	0		3713	57	0.2	6	2237	0.05		
"Mauritania"	35	-102	0	364		146	0.02	1	5817	0.07		
"Dominican Republic"	34	-8	0	-21	155	67	0.1	5	6446	0.22		
"Spain"	34	-5845	0	-53	-72	15	1.9	3	3890	0.05		
"Philippines"	28	12	0	-51	713	34	0.6	2	4354	0.09		
"Finland"	28	-275	0			44	0.4	3	2842	0.07		
"Sweden"	28	-288	0		-7	31	0.9	3	2128	0.07		
"Serbia"	27	-79	0	-21	-37	65	0.2	9	2497	0.06		
"United Kingdom"	20	-3014	0	82	-88	7	3.2	1	3930	0.06		
"Netherlands"	20	-19217	0	36	-38	8	2.8	5	3706	0.07		
"South Africa"	12	-3311	0	-55	473	41	0.4	-1	9230	0.07		
"Bosnia and Herzegovina"	11	11	0	18	712	94	0.06	3	2228	0.07		
"Lao People's Democratic Republic"	10	10	0		567	129	0.02	-1	2572	0.28		
"Australia"	6	-142	0	-31	-95	24	1.1	1	10262	0.1		
"Mexico"	5	5	0	-62	-98	13	2.3	2	7039	0.24		
"Georgia"	5	-4	0		-100	113	0.04	-2	2513	0.09		
"Estonia"	4	4	0			73	0.1	6	2314	0.06		
"Honduras"	4	4	0	25	262	99	0.05	4	6104	0.16		
"Madagascar"	4	4	0	42		138	0.02	2	7339	0.08		
"New Zealand"	4	-24	0	-50	-95	56	0.2	3	11141	0.09		
"Lithuania"	4	-80	0	6		59	0.2	7	1630	0.07		
"Luxembourg"	4	-588	0	-18	100	71	0.1	3	1488	0.14		
"Israel"	3	3	0		-96	42	0.4	4	5483	0.07		
"Taipei, Chinese"	3	-76	0	-59	-97	17	1.7	8	5007	0.1		
"Bolivia, Plurinational State of"	2	2	0	19		106	0.04	-3	7978	0.11		
"Tunisia"	2	-589	0	-27		78	0.10	-1	3411	0.06		
"Kenya"	2	-1296	0	98	-100	80	0.09	2	6680	0.08		
"Mozambique"	1	1	0	-33		108	0.04	8	6196	0.1		
"Montenegro"	1	1	0			152	0.01	0	2382	0.08		
"Slovakia"	1	-47	0	-42		38	0.5	4	2664	0.07		
"Peru"	1	-828	0	-60		54	0.2	3	10420	0.13		
