Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Chile's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Chile (%)	
"World"	89842027	2800239	100	5	33		100	3				
"China"	34439928	8936552	38.3	14	37	2	11.1	5	6416	0.04		
"United States of America"	14788205	-330840	16.5	7	58	1	13.4	3	7938	0.08		
"Japan"	6932441	5182372	7.7	2	18	4	3.5	1	6256	0.09		
"Korea, Republic of"	4619134	3065946	5.1	2	16	9	2.8	4	5699	0.09		
"Brazil"	4491635	-3132344	5	2	50	26	1	6	10879	0.09		
"Taipei, Chinese"	1944356	1628626	2.2	9	65	17	1.7	8	5007	0.1		
"Peru"	1644735	-42490	1.8	-1	2	54	0.2	3	10420	0.13		
"Spain"	1537837	-536598	1.7	-6	44	15	1.9	3	3890	0.05		
"Netherlands"	1453713	892093	1.6	-4	15	8	2.8	5	3706	0.07		
"Mexico"	1397941	-1058979	1.6	1	32	13	2.3	2	7039	0.24		
"Canada"	1220286	13524	1.4	-7	34	14	2.2	1	5042	0.26		
"France"	1152542	-61393	1.3	1	50	6	3.2	1	3195	0.06		
"Germany"	1111859	-1813186	1.2	1	18	3	6.5	3	3376	0.05		
"India"	1083866	-303133	1.2	-14	34	10	2.6	2	5793	0.05		
"Switzerland"	951524	641590	1.1	-2	12	20	1.5	4	3384	0.07		
"Argentina"	812405	-4137086	0.9	-8	21	50	0.3	-5	10631	0.1		
"Colombia"	798550	-586601	0.9	-2	21	51	0.3	4	8915	0.13		
"Italy"	739952	-733777	0.8	-8	32	11	2.5	2	2891	0.06		
"United Kingdom"	632095	24953	0.7	-1	6	7	3.2	1	3930	0.06		
"Russian Federation"	623283	424572	0.7	-5	-11	21	1.3	5	4187	0.09		
"Ecuador"	519750	-696056	0.6	-2	14	69	0.1	3	9174	0.12		
"Thailand"	516666	-239836	0.6	7	44	23	1.2	2	4905	0.09		
"Belgium"	461954	-23231	0.5	-4	3	12	2.4	3	2709	0.08		
"Australia"	333446	-99052	0.4	10	33	24	1.1	1	10262	0.1		
"Bolivia, Plurinational State of"	291599	72633	0.3	-3	-8	106	0.04	-3	7978	0.11		
"Bulgaria"	280852	257168	0.3	-13	61	57	0.2	6	2237	0.05		
"Viet Nam"	273028	-903508	0.3	-3	18	19	1.5	8	3535	0.19		
"Panama"	257799	204445	0.3	-6	65	60	0.2	1	8657	0.12		
"Costa Rica"	246692	204464	0.3	-4	48	86	0.08	3	6987	0.22		
"Finland"	240037	-69516	0.3	-4	56	44	0.4	3	2842	0.07		
"Turkey"	234085	-402213	0.3	-7	2	22	1.2	3	4285	0.05		
"United Arab Emirates"	218125	188220	0.2	16	-15	29	0.9	-2	5715	0.08		
"South Africa"	209680	133241	0.2	17	86	41	0.4	-1	9230	0.07		
"Malaysia"	189884	-130004	0.2	1	57	25	1.1	3	5172	0.09		
"Uruguay"	167756	-26668	0.2	6	35	95	0.06	0	9836	0.11		
"Area Nes"	157054	-777834	0.2	-21	-68							
"Ship stores and bunkers"	151316	151300	0.2	14	123	75	0.1	-11		0.16		
"Sweden"	149847	-332612	0.2	15	53	31	0.9	3	2128	0.07		
"Guatemala"	137750	42303	0.2	4	9	68	0.1	7	5828	0.15		
"Denmark"	137549	-75500	0.2	3	-2	35	0.6	5	2182	0.08		
"Indonesia"	131378	-152735	0.1	6	40	30	0.9	2	5872	0.11		
"Austria"	130033	-236146	0.1	11	61	27	1	3	1514	0.18		
"Philippines"	128461	83835	0.1	2	-15	34	0.6	2	4354	0.09		
"Nigeria"	120248	4052	0.1	25	111	53	0.2	17	7792	0.1		
"Paraguay"	117003	-935569	0.1	-1	-38	92	0.06	0	7311	0.15		
"Poland"	116623	-109275	0.1	7	47	18	1.5	8	3121	0.08		
"Saudi Arabia"	114750	107422	0.1	4	-9	32	0.7	3	5816	0.07		
"Bahrain"	95186	95178	0.1	-23	2772	101	0.05	1	6359	0.08		
"Israel"	95065	-31959	0.1	-6	-7	42	0.4	4	5483	0.07		
"El Salvador"	84197	76121	0.1	-13	27	88	0.07	9	4914	0.15		
"Dominican Republic"	72531	54202	0.1	-9	25	67	0.1	5	6446	0.22		
"Hong Kong, China"	69002	28775	0.1	-13	20	5	3.3	3	2841	0.22		
"Ireland"	61625	-117000	0.1	3	-4	36	0.5	4	3265	0.1		
"Singapore"	61554	-19314	0.1	-3	26	16	1.9	3	5773	0.07		
"Norway"	61340	-115016	0.1	8	9	39	0.5	3	3470	0.06		
"Côte d'Ivoire"	61150	60151	0.1	93	140	93	0.06	9	6793	0.08		
"New Zealand"	60326	-93201	0.1	-4	5	56	0.2	3	11141	0.09		
"Venezuela, Bolivarian Republic of"	57501	48001	0.1	-8	34	117	0.03	-11	8121	0.16		
"Georgia"	42433	38419	0	47	-59	113	0.04	-2	2513	0.09		
"Portugal"	38910	-120806	0	-12	23	40	0.4	2	2788	0.14		
"Greece"	36800	-9867	0	-20	49	45	0.3	4	2847	0.05		
"Honduras"	30838	21804	0	-7	-2	99	0.05	4	6104	0.16		
"Pakistan"	29508	-64537	0	-2	75	47	0.3	2	4850	0.11		
"Luxembourg"	28596	10621	0	39	71	71	0.1	3	1488	0.14		
"Ukraine"	26920	7880	0	14	-19	48	0.3	7	3255	0.06		
"Nicaragua"	23864	19513	0	-10	-10	104	0.05	4	5888	0.1		
"Ghana"	23859	23810	0	35	-34	82	0.08	8	8888	0.18		
"Czech Republic"	23303	-96195	0	9	54	28	1	4	2987	0.1		
"Trinidad and Tobago"	23045	-283500	0	3	16	128	0.03	-1	6663	0.26		
"Lithuania"	21022	-17516	0	4	-28	59	0.2	7	1630	0.07		
"Egypt"	19989	2092	0	22	9	46	0.3	-1	5219	0.05		
"Jamaica"	17614	17269	0	3	33	137	0.02	-2	6759	0.22		
"Bangladesh"	16818	-120183	0	-8	-55	49	0.3	6	4172	0.15		
"Bahamas"	15869	15865	0	85	26	115	0.03	-8	6248	0.19		
"Burkina Faso"	15860	15860	0	247	107	136	0.02	5	6109	0.05		
"Morocco"	14761	3613	0	8	-8	52	0.3	4	4316	0.07		
"Belarus"	13684	-4993	0	36	-11	61	0.2	2	2268	0.23		
"Jordan"	12924	9133	0	17	39	84	0.08	0	5167	0.07		
"Oman"	10977	-23768	0	-23	95	83	0.08	-6	5977	0.08		
"Kazakhstan"	10106	-1094	0	31	22	58	0.2	6	3017	0.25		
"Cuba"	10018	6020	0	-28	-6	145	0.02	-13	7148	0.09		
"Latvia"	9021	-1018	0	-3	-17	77	0.1	7	1575	0.08		
"Cambodia"	8655	-27581	0	51	15	66	0.1	16	2651	0.18		
"Qatar"	7962	7595	0	0	-3	70	0.1	0	5745	0.06		
"Romania"	7149	-42670	0	-4	-3	37	0.5	6	1891	0.07		
"Malta"	6507	-19027	0	13	69	120	0.03	1	3249	0.08		
"Haiti"	6015	4539	0	21	10	140	0.02	0	6340	0.18		
"Liberia"	5701	5700	0	56	480	87	0.07	17	11608	0.19		
"Kuwait"	5461	5423	0	-7	-19	76	0.1	-3	5837	0.07		
"Estonia"	5274	-5965	0	-6	-66	73	0.1	6	2314	0.06		
"Cameroon"	5004	5004	0	33	-15	116	0.03	8	7279	0.14		
