Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Colombia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Colombia (%)	
"World"	40488600	-20612762	100	-2	30		100	3				
"United States of America"	11549621	-2642017	28.5	-1	22	1	13.4	3	7938	0.08		
"China"	3645251	-11150695	9	9	37	2	11.1	5	6416	0.04		
"Panama"	2468201	2427625	6.1	-10	63	60	0.2	1	8657	0.12		
"Brazil"	2049079	-1453238	5.1	6	61	26	1	6	10879	0.09		
"Ecuador"	1740823	910542	4.3	1	18	69	0.1	3	9174	0.12		
"India"	1519164	140768	3.8	46	91	10	2.6	2	5793	0.05		
"Turkey"	1270049	806610	3.1	-8	39	22	1.2	3	4285	0.05		
"Mexico"	1205307	-2595173	3	-8	4	13	2.3	2	7039	0.24		
"Chile"	1089947	338272	2.7	-3	41	43	0.4	6	11582	0.13		
"Peru"	1081432	225185	2.7	-4	27	54	0.2	3	10420	0.13		
"Netherlands"	981102	492390	2.4	-12	40	8	2.8	5	3706	0.07		
"Italy"	877378	-21405	2.2	22	-9	11	2.5	2	2891	0.06		
"Spain"	710114	-579210	1.8	-14	42	15	1.9	3	3890	0.05		
"Germany"	702483	-1362693	1.7	9	42	3	6.5	3	3376	0.05		
"Canada"	701787	-274937	1.7	-1	69	14	2.2	1	5042	0.26		
"Free Zones"	610432	-214459	1.5	9	-2	186	0	-34		0.92		
"Korea, Republic of"	585786	-383104	1.4	4	2	9	2.8	4	5699	0.09		
"Belgium"	562205	127423	1.4	3	33	12	2.4	3	2709	0.08		
"Japan"	467829	-801109	1.2	-5	16	4	3.5	1	6256	0.09		
"United Kingdom"	451048	-60344	1.1	1	20	7	3.2	1	3930	0.06		
"Dominican Republic"	436583	388185	1.1	2	67	67	0.1	5	6446	0.22		
"Hong Kong, China"	409193	352248	1	48	106	5	3.3	3	2841	0.22		
"Guatemala"	364393	305464	0.9	4	15	68	0.1	7	5828	0.15		
"Venezuela, Bolivarian Republic of"	331172	261794	0.8	-5	69	117	0.03	-11	8121	0.16		
"Israel"	319258	208247	0.8	-3	7	42	0.4	4	5483	0.07		
"Argentina"	295333	-1005053	0.7	-1	40	50	0.3	-5	10631	0.1		
"Costa Rica"	261165	159362	0.6	0	26	86	0.08	3	6987	0.22		
"Saint Lucia"	239430	239430	0.6	-26	-7	171	0	-10	5321	0.23		
"Australia"	210711	172915	0.5	43	45	24	1.1	1	10262	0.1		
"El Salvador"	199791	192263	0.5	17	98	88	0.07	9	4914	0.15		
"France"	190263	-1284583	0.5	-6	33	6	3.2	1	3195	0.06		
"Bahamas"	179723	179723	0.4	-32	4	115	0.03	-8	6248	0.19		
"Switzerland"	169407	-253952	0.4	-21	25	20	1.5	4	3384	0.07		
"United Arab Emirates"	161979	102854	0.4	49	-15	29	0.9	-2	5715	0.08		
"Russian Federation"	139623	-393993	0.3	11	37	21	1.3	5	4187	0.09		
"Egypt"	130605	108311	0.3	96	183	46	0.3	-1	5219	0.05		
"Bolivia, Plurinational State of"	127175	-396691	0.3	-7	24	106	0.04	-3	7978	0.11		
"Honduras"	124907	80998	0.3	1	47	99	0.05	4	6104	0.16		
"Bonaire, Sint Eustatius and Saba"	124754	124754	0.3	-5	63	189	0	20		0.19		
"Côte d'Ivoire"	115226	108346	0.3	16	78	93	0.06	9	6793	0.08		
"Singapore"	111694	-35382	0.3	-42	511	16	1.9	3	5773	0.07		
"Poland"	110174	-1477	0.3	4	-4	18	1.5	8	3121	0.08		
"Cuba"	95532	91962	0.2	12	301	145	0.02	-13	7148	0.09		
"Finland"	95478	-43061	0.2	7	21	44	0.4	3	2842	0.07		
"Taipei, Chinese"	86821	-432508	0.2	-6	31	17	1.7	8	5007	0.1		
"Malaysia"	76172	-179088	0.2	-21	31	25	1.1	3	5172	0.09		
"Haiti"	61324	60938	0.2	5	22	140	0.02	0	6340	0.18		
"Norway"	56329	20616	0.1	1	18	39	0.5	3	3470	0.06		
"Trinidad and Tobago"	50412	-218639	0.1	-39	-18	128	0.03	-1	6663	0.26		
"Sweden"	43404	-144755	0.1	-1	15	31	0.9	3	2128	0.07		
"South Africa"	42613	2764	0.1	-3	746	41	0.4	-1	9230	0.07		
"Jordan"	42566	40500	0.1	14	4	84	0.08	0	5167	0.07		
"Nicaragua"	40048	21493	0.1	-17	21	104	0.05	4	5888	0.1		
"Jamaica"	37705	37061	0.1	-24	39	137	0.02	-2	6759	0.22		
"Paraguay"	37519	20775	0.1	14	34	92	0.06	0	7311	0.15		
"Saudi Arabia"	37292	-73085	0.1	35	44	32	0.7	3	5816	0.07		
"Morocco"	36322	-9453	0.1	-2	190	52	0.3	4	4316	0.07		
"Lebanon"	34196	33422	0.1	3	-34	97	0.06	-12	3592	0.06		
"Ukraine"	32026	-200605	0.1	25	-4	48	0.3	7	3255	0.06		
"Slovenia"	31936	10680	0.1	-16	-31	55	0.2	10	2404	0.07		
"Iraq"	30459	30343	0.1	23	-57	62	0.2	3	4107	0.18		
"Uruguay"	29826	-57510	0.1	-7	-22	95	0.06	0	9836	0.11		
