Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Comoros's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Comoros (%)	
"World"	34994	-407890	100	-10	77		100	3				
"India"	8644	-10423	24.7	-17	91	10	2.6	2	5793	0.05		
"Tanzania, United Republic of"	7467	258	21.3	151	10676	102	0.05	7	6633	0.1		
"France"	6951	-39664	19.9	-11	32	6	3.2	1	3195	0.06		
"United States of America"	1962	1027	5.6	2	61	1	13.4	3	7938	0.08		
"Germany"	1651	378	4.7	-17	-33	3	6.5	3	3376	0.05		
"Madagascar"	1598	-2633	4.6	-6	1	138	0.02	2	7339	0.08		
"United Arab Emirates"	1121	-191233	3.2	-22	97	29	0.9	-2	5715	0.08		
"United Kingdom"	838	-174	2.4	169	81	7	3.2	1	3930	0.06		
"Netherlands"	801	-2621	2.3	13	-52	8	2.8	5	3706	0.07		
"Mauritius"	681	-5822	1.9	88	335	133	0.02	-2	7320	0.08		
"Indonesia"	532	-2302	1.5	-59		30	0.9	2	5872	0.11		
"Singapore"	389	-599	1.1	-37	249	16	1.9	3	5773	0.07		
"South Africa"	334	-3831	1	73		41	0.4	-1	9230	0.07		
"Spain"	324	-4375	0.9		97	15	1.9	3	3890	0.05		
"Malaysia"	310	-3460	0.9	-13		25	1.1	3	5172	0.09		
"Latvia"	271	271	0.8			77	0.1	7	1575	0.08		
"Egypt"	271	-2136	0.8			46	0.3	-1	5219	0.05		
"Yemen"	132	132	0.4	76		107	0.04	11	5706	0.11		
"Australia"	106	106	0.3			24	1.1	1	10262	0.1		
"Djibouti"	97	97	0.3			130	0.02	5	6387	0.22		
"Area Nes"	80	-83	0.2		-72							
"Pakistan"	76	-31754	0.2	-44	32	47	0.3	2	4850	0.11		
"Canada"	68	-223	0.2	-48	-77	14	2.2	1	5042	0.26		
"Greece"	66	-106	0.2	-14	-57	45	0.3	4	2847	0.05		
"Morocco"	66	-1114	0.2			52	0.3	4	4316	0.07		
"Burkina Faso"	48	48	0.1			136	0.02	5	6109	0.05		
"Lesotho"	19	19	0.1			164	0	-2	1590	0.78		
"Côte d'Ivoire"	19	-4	0.1		91	93	0.06	9	6793	0.08		
"China"	13	-28264	0	-42		2	11.1	5	6416	0.04		
"Kenya"	12	-369	0	-41		80	0.09	2	6680	0.08		
"Iraq"	10	10	0			62	0.2	3	4107	0.18		
"Belgium"	9	-8796	0			12	2.4	3	2709	0.08		
"Cameroon"	7	7	0			116	0.03	8	7279	0.14		
"Benin"	7	7	0			149	0.01	-2	6481	0.07		
"Hong Kong, China"	5	-6849	0		-63	5	3.3	3	2841	0.22		
"Ghana"	4	4	0			82	0.08	8	8888	0.18		
"Zambia"	4	4	0			119	0.03	-9	5447	0.14		
"Burundi"	1	1	0			188	0	13	4755	0.14		
"Denmark"	1	-1296	0			35	0.6	5	2182	0.08		
"Ethiopia"		-1				90	0.07	1	6305	0.11		
"Georgia"		-1				113	0.04	-2	2513	0.09		
"Namibia"		-1				126	0.03	-1	3757	0.37		
"Turkmenistan"		-1				148	0.02	4	3495	0.15		
"Curaçao"		-1				163	0	-12		0.24		
"Lithuania"		-2				59	0.2	7	1630	0.07		
"Uganda"		-2				132	0.02	11	5788	0.09		
"Eritrea"		-2				203	0	-8	6303	0.14		
"Chile"		-3				43	0.4	6	11582	0.13		
"Lebanon"		-3				97	0.06	-12	3592	0.06		
"Andorra"		-3				166	0	2	610	0.52		
"Taipei, Chinese"		-4				17	1.7	8	5007	0.1		
"Azerbaijan"		-4				98	0.05	5	3712	0.09		
"Czech Republic"		-5				28	1	4	2987	0.1		
"Guinea"		-5				135	0.02	7	9140	0.19		
"Afghanistan"		-5				147	0.02	-8	2990	0.12		
"Finland"		-6				44	0.4	3	2842	0.07		
"Congo"		-6				154	0.01	-18	6851	0.07		
"Qatar"		-7				70	0.1	0	5745	0.06		
"Cabo Verde"		-7				181	0	4	5196	0.21		
"Antigua and Barbuda"		-8				174	0	1	6334	0.27		
"Iran, Islamic Republic of"		-20				72	0.1	-18	5612	0.13		
"Russian Federation"		-21				21	1.3	5	4187	0.09		
"Israel"		-21				42	0.4	4	5483	0.07		
"Jordan"		-21				84	0.08	0	5167	0.07		
"Philippines"		-26				34	0.6	2	4354	0.09		
"Seychelles"		-32				187	0	-7	6627	0.06		
"Bulgaria"		-40				57	0.2	6	2237	0.05		
"Colombia"		-48				51	0.3	4	8915	0.13		
"Cyprus"		-48				105	0.05	-1	3118	0.09		
"Kuwait"		-57				76	0.1	-3	5837	0.07		
"Senegal"		-57				110	0.04	4	6632	0.05		
"Austria"		-66				27	1	3	1514	0.18		
"Estonia"		-71				73	0.1	6	2314	0.06		
"Iceland"		-78				112	0.04	-1	4251	0.05		
"Switzerland"		-81				20	1.5	4	3384	0.07		
"Eswatini"		-91				160	0	1	1597	0.74		
"Slovakia"		-109				38	0.5	4	2664	0.07		
"Paraguay"		-113				92	0.06	0	7311	0.15		
"Bangladesh"		-165				49	0.3	6	4172	0.15		
"Sweden"		-172				31	0.9	3	2128	0.07		
"Turks and Caicos Islands"		-218				193	0	-3	3491	0.74		
"Ecuador"		-236				69	0.1	3	9174	0.12		
"Korea, Democratic People's Republic of"		-239				200	0	-49	1470	0.87		
"Venezuela, Bolivarian Republic of"		-254				117	0.03	-11	8121	0.16		
"Romania"		-296				37	0.5	6	1891	0.07		
"Mexico"		-302				13	2.3	2	7039	0.24		
"Slovenia"		-314				55	0.2	10	2404	0.07		
"Ireland"		-471				36	0.5	4	3265	0.1		
"Argentina"		-476				50	0.3	-5	10631	0.1		
"Tunisia"		-490				78	0.10	-1	3411	0.06		
"Mozambique"		-555				108	0.04	8	6196	0.1		
"Italy"		-638				11	2.5	2	2891	0.06		
"Saudi Arabia"		-663				32	0.7	3	5816	0.07		
"Korea, Republic of"		-1155				9	2.8	4	5699	0.09		
