Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Congo's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Congo (%)	
"World"	2362230	10727	100	-28	-53		100	3				
"China"	1081062	620770	45.8	-25	-66	2	11.1	5	6416	0.04		
"Côte d'Ivoire"	202158	189457	8.6	-9	10478	93	0.06	9	6793	0.08		
"Togo"	177820	158395	7.5	86	89	153	0.01	10	7318	0.08		
"Cameroon"	127013	99174	5.4	-35	410	116	0.03	8	7279	0.14		
"Gabon"	94170	42508	4	-9	-59	158	0.01	-2	7114	0.11		
"India"	74002	-3084	3.1	10	-35	10	2.6	2	5793	0.05		
"United Arab Emirates"	73793	6911	3.1	-1	2391	29	0.9	-2	5715	0.08		
"Australia"	68930	68299	2.9	-50	330	24	1.1	1	10262	0.1		
"Singapore"	54114	44651	2.3	-40	112	16	1.9	3	5773	0.07		
"Angola"	50828	21129	2.2	-45	-25	100	0.05	-11	7692	0.06		
"Belgium"	44438	-166897	1.9	5	51	12	2.4	3	2709	0.08		
"France"	40141	-252861	1.7	-28	-4	6	3.2	1	3195	0.06		
"United Kingdom"	33429	14337	1.4	-10	-63	7	3.2	1	3930	0.06		
"South Africa"	30641	-8577	1.3	122	1451	41	0.4	-1	9230	0.07		
"Italy"	21848	-29863	0.9	-59	9	11	2.5	2	2891	0.06		
"Viet Nam"	19114	16198	0.8	-8	-45	19	1.5	8	3535	0.19		
"Netherlands"	16152	-23639	0.7	-30	-48	8	2.8	5	3706	0.07		
"Malaysia"	15624	-4522	0.7	-18	-45	25	1.1	3	5172	0.09		
"United States of America"	15224	-82407	0.6	-47	-90	1	13.4	3	7938	0.08		
"Norway"	13940	-5917	0.6	-34	303	39	0.5	3	3470	0.06		
"Spain"	10691	-13364	0.5	-56	-98	15	1.9	3	3890	0.05		
"Central African Republic"	9440	8707	0.4	17	42	199	0	7	6606	0.08		
"Congo, Democratic Republic of the"	9349	-50556	0.4	-30	-12	111	0.04	13	6479	0.14		
"Korea, Republic of"	7522	1298	0.3	-11	8	9	2.8	4	5699	0.09		
"Japan"	6176	4726	0.3	140	3214	4	3.5	1	6256	0.09		
"Pakistan"	5712	4843	0.2	46	59	47	0.3	2	4850	0.11		
"Germany"	4787	-37478	0.2	-17	180	3	6.5	3	3376	0.05		
"Ghana"	4158	2076	0.2	-67	87	82	0.08	8	8888	0.18		
"Turkey"	4042	-51372	0.2	76	20	22	1.2	3	4285	0.05		
"Senegal"	3961	-14197	0.2	-25	1491	110	0.04	4	6632	0.05		
"Thailand"	3654	-10661	0.2	57	-72	23	1.2	2	4905	0.09		
"Hong Kong, China"	3522	2072	0.1	275	92	5	3.3	3	2841	0.22		
"Portugal"	3444	-9316	0.1	-41	-96	40	0.4	2	2788	0.14		
"Namibia"	3217	-83359	0.1	-62	-95	126	0.03	-1	3757	0.37		
"Greece"	2529	-90	0.1	3	-3	45	0.3	4	2847	0.05		
"Morocco"	2518	-14847	0.1	21	18	52	0.3	4	4316	0.07		
"Bangladesh"	2278	2278	0.1	-19		49	0.3	6	4172	0.15		
"Denmark"	2243	-850	0.1	4	157	35	0.6	5	2182	0.08		
"Taipei, Chinese"	1847	1494	0.1	10	3	17	1.7	8	5007	0.1		
"Czech Republic"	1734	1657	0.1	-46	2731	28	1	4	2987	0.1		
"Indonesia"	1733	-47329	0.1	-9	60	30	0.9	2	5872	0.11		
"Finland"	1542	972	0.1	127	-10	44	0.4	3	2842	0.07		
"Sierra Leone"	1461	-420	0.1	46	265	170	0	10	8820	0.13		
"Algeria"	1130	996	0	27	-14	64	0.2	-8	4584	0.07		
"Mozambique"	963	-25809	0	49	96	108	0.04	8	6196	0.1		
"Mexico"	902	-615	0	58	1372	13	2.3	2	7039	0.24		
"Ireland"	787	-7970	0	0	65	36	0.5	4	3265	0.1		
"Sao Tome and Principe"	715	715	0		-47	210	0	-3	6155	0.31		
"Saudi Arabia"	659	-540	0	-27	-8	32	0.7	3	5816	0.07		
"Hungary"	616	303	0		134	33	0.6	6	2180	0.09		
"Cabo Verde"	460	460	0	-27		181	0	4	5196	0.21		
"Canada"	404	-4156	0	-65	-61	14	2.2	1	5042	0.26		
"Nigeria"	372	-24017	0	-69	-92	53	0.2	17	7792	0.1		
"Dominican Republic"	368	368	0	-64		67	0.1	5	6446	0.22		
"Benin"	244	-86	0	-41	-48	149	0.01	-2	6481	0.07		
"Lebanon"	235	-8381	0	-16	338	97	0.06	-12	3592	0.06		
"Poland"	216	-2441	0	2	-21	18	1.5	8	3121	0.08		
"Oman"	192	-3312	0	-31	-14	83	0.08	-6	5977	0.08		
"Guyana"	166	166	0		-12	144	0.02	13	11175	0.21		
"Trinidad and Tobago"	166	107	0	157	86	128	0.03	-1	6663	0.26		
"Equatorial Guinea"	158	-839	0	-54	-99	182	0	2	6008	0.11		
"New Zealand"	155	-5347	0	128	174	56	0.2	3	11141	0.09		
"Tanzania, United Republic of"	121	-1391	0	-17	-29	102	0.05	7	6633	0.1		
"Comoros"	113	113	0	171	16	192	0	18	5731	0.22		
"Mauritius"	106	-118	0	-30	2	133	0.02	-2	7320	0.08		
"Lithuania"	95	-5377	0	158	306	59	0.2	7	1630	0.07		
"Kazakhstan"	84	83	0	-40	-79	58	0.2	6	3017	0.25		
