Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Costa Rica's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Costa Rica (%)	
"Total"	21376867	4620775	100	10	31		100	3				
"United States of America"	6843240	-468331	32	8	22	1	13.4	3	7938	0.08		
"Netherlands"	2833245	2694672	13.3	42	94	8	2.8	5	3706	0.07		
"Hong Kong, China"	1183674	1107648	5.5	55	184	5	3.3	3	2841	0.22		
"Guatemala"	825030	284116	3.9	7	20	68	0.1	7	5828	0.15		
"Mexico"	812684	-145394	3.8	23	14	13	2.3	2	7039	0.24		
"Germany"	802208	513225	3.8	7	15	3	6.5	3	3376	0.05		
"Belgium"	746384	640836	3.5	-3	25	12	2.4	3	2709	0.08		
"China"	727269	-1306516	3.4	-3	9	2	11.1	5	6416	0.04		
"Nicaragua"	521207	331875	2.4	1	22	104	0.05	4	5888	0.1		
"El Salvador"	502157	216872	2.3	14	32	88	0.07	9	4914	0.15		
"Canada"	474133	327003	2.2	4	12	14	2.2	1	5042	0.26		
"Japan"	439474	131273	2.1	6	4	4	3.5	1	6256	0.09		
"Korea, Republic of"	420934	229664	2	21	170	9	2.8	4	5699	0.09		
"Honduras"	417311	296727	2	6	34	99	0.05	4	6104	0.16		
"Spain"	347129	28674	1.6	5	19	15	1.9	3	3890	0.05		
"France"	334753	262181	1.6	6	23	6	3.2	1	3195	0.06		
"United Kingdom"	302101	228850	1.4	-2	-2	7	3.2	1	3930	0.06		
"Dominican Republic"	277753	230557	1.3	5	25	67	0.1	5	6446	0.22		
"Italy"	256726	79715	1.2	2	12	11	2.5	2	2891	0.06		
"Malaysia"	185428	-753662	0.9	69	243	25	1.1	3	5172	0.09		
"Singapore"	134011	23456	0.6	26	-12	16	1.9	3	5773	0.07		
"Switzerland"	133151	-78937	0.6	3	23	20	1.5	4	3384	0.07		
"Australia"	127717	123488	0.6	7	29	24	1.1	1	10262	0.1		
"Poland"	121088	98279	0.6	-2	27	18	1.5	8	3121	0.08		
"Taipei, Chinese"	117663	19458	0.6	11	25	17	1.7	8	5007	0.1		
"Russian Federation"	113226	60986	0.5	0	12	21	1.3	5	4187	0.09		
"Colombia"	101803	-159362	0.5	9	64	51	0.3	4	8915	0.13		
"Peru"	101193	29777	0.5	41	90	54	0.2	3	10420	0.13		
"Ireland"	94164	42140	0.4	1	18	36	0.5	4	3265	0.1		
"Czech Republic"	88911	79515	0.4	18	-60	28	1	4	2987	0.1		
"Saudi Arabia"	81307	68368	0.4	44	46	32	0.7	3	5816	0.07		
"Portugal"	78013	64086	0.4	4	-8	40	0.4	2	2788	0.14		
"Brazil"	71636	-253926	0.3	1	70	26	1	6	10879	0.09		
