Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Curaçao's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Curaçao (%)	
"Total"	386948	-1230637	100	-32	101		100	3				
"United States of America"	93002	-629577	24	-24	22	1	13.4	3	7938	0.08		
"Netherlands"	43481	-208982	11.2	33	466	8	2.8	5	3706	0.07		
"Brazil"	42177	-75092	10.9	0	41155	26	1	6	10879	0.09		
"France"	41079	-18722	10.6	68	616	6	3.2	1	3195	0.06		
"Guatemala"	37853	35969	9.8	14	1628	68	0.1	7	5828	0.15		
"Nicaragua"	23331	23113	6	-82		104	0.05	4	5888	0.1		
"Spain"	17432	8323	4.5	-16	-12	15	1.9	3	3890	0.05		
"Aruba"	17196	8676	4.4	63	100	175	0	-3	4917	0.3		
"India"	9648	-17846	2.5	-2	105	10	2.6	2	5793	0.05		
"Norway"	9429	8080	2.4	98	6137	39	0.5	3	3470	0.06		
"Guyana"	8857	8763	2.3	59	197	144	0.02	13	11175	0.21		
"Dominican Republic"	8002	-27898	2.1	-56	2436	67	0.1	5	6446	0.22		
"Nigeria"	7057	7057	1.8	41	517	53	0.2	17	7792	0.1		
"Taipei, Chinese"	4088	3700	1.1	-12	125	17	1.7	8	5007	0.1		
"El Salvador"	4043	3560	1	-9	-16	88	0.07	9	4914	0.15		
"Mozambique"	3646	3514	0.9	-31	1324	108	0.04	8	6196	0.1		
"Barbados"	2872	58	0.7	17	-19	161	0	0	4992	0.21		
"Thailand"	1985	-2047	0.5	-5	16	23	1.2	2	4905	0.09		
"Indonesia"	1857	-3506	0.5	9	5424	30	0.9	2	5872	0.11		
"Grenada"	1716	1716	0.4	-36	-28	191	0	-1	4157	0.2		
"Honduras"	1447	-1167	0.4	1	-22	99	0.05	4	6104	0.16		
"Saudi Arabia"	647	-2247	0.2	48	-24	32	0.7	3	5816	0.07		
"Lao People's Democratic Republic"	543	543	0.1		24	129	0.02	-1	2572	0.28		
"Germany"	499	-20788	0.1	-27	3	3	6.5	3	3376	0.05		
"Ecuador"	497	-407	0.1	-56	-54	69	0.1	3	9174	0.12		
"Poland"	470	-4144	0.1	4	70	18	1.5	8	3121	0.08		
"Switzerland"	380	-32830	0.1	-86	29	20	1.5	4	3384	0.07		
"United Kingdom"	378	-13741	0.1	5	-29	7	3.2	1	3930	0.06		
"Ethiopia"	350	158	0.1	105	-61	90	0.07	1	6305	0.11		
"Pakistan"	344	344	0.1	-3	405	47	0.3	2	4850	0.11		
"Paraguay"	289	-1271	0.1	23	0	92	0.06	0	7311	0.15		
"Chile"	249	-78	0.1		3679	43	0.4	6	11582	0.13		
"Denmark"	232	-2610	0.1	-18	-7	35	0.6	5	2182	0.08		
"Argentina"	221	-7145	0.1	-20	268	50	0.3	-5	10631	0.1		
"Korea, Republic of"	209	-5083	0.1	8	1354	9	2.8	4	5699	0.09		
"Philippines"	173	-53340	0	-36	-77	34	0.6	2	4354	0.09		
"Russian Federation"	148	-275	0	-55	43	21	1.3	5	4187	0.09		
"Belgium"	116	-11453	0	-80	39	12	2.4	3	2709	0.08		
"Bulgaria"	97	54	0	79	40	57	0.2	6	2237	0.05		
"Australia"	96	-203	0	-64	-47	24	1.1	1	10262	0.1		
"Malaysia"	96	-312	0	-6	54	25	1.1	3	5172	0.09		
"Japan"	94	-16801	0	-73	73	4	3.5	1	6256	0.09		
"Colombia"	78	-26281	0	-81	-13	51	0.3	4	8915	0.13		
"Fiji"	66	66	0	30	-93	157	0.01	-7	7384	0.12		
"Peru"	64	-4323	0	-23	82	54	0.2	3	10420	0.13		
"Canada"	49	-63487	0	-34	-92	14	2.2	1	5042	0.26		
"Sweden"	47	-595	0	10	-36	31	0.9	3	2128	0.07		
"Angola"	41	41	0	-19	-76	100	0.05	-11	7692	0.06		
"Tajikistan"	33	33	0			142	0.02	9	2803	0.17		
"Belize"	31	31	0	-90	202	179	0	1	5006	0.18		
"Greece"	29	-1094	0	9	164	45	0.3	4	2847	0.05		
"Mexico"	27	-5836	0	-75	-93	13	2.3	2	7039	0.24		
"Ireland"	23	-636	0	58		36	0.5	4	3265	0.1		
"South Africa"	16	-3547	0	-26	-59	41	0.4	-1	9230	0.07		
"Samoa"	13	13	0		-74	197	0	-1	6816	0.13		
"China"	13	-49625	0	-38	-28	2	11.1	5	6416	0.04		
"Singapore"	11	-12418	0	-88	-100	16	1.9	3	5773	0.07		
"Zambia"	10	-14	0	-40	-98	119	0.03	-9	5447	0.14		
"Mauritania"	9	9	0			146	0.02	1	5817	0.07		
"Cyprus"	9	-332	0	111	-100	105	0.05	-1	3118	0.09		
"Latvia"	9	-848	0			77	0.1	7	1575	0.08		
"Malta"	8	8	0	-73		120	0.03	1	3249	0.08		
"Tanzania, United Republic of"	6	1	0	-54	-96	102	0.05	7	6633	0.1		
