Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Côte d'Ivoire's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Côte d'Ivoire (%)	
"Total"	12657623	-652960	100	3	14		100	3				
"Netherlands"	1425780	1075620	11.3	-5	3	8	2.8	5	3706	0.07		
"United States of America"	1273520	954774	10.1	-3	39	1	13.4	3	7938	0.08		
"France"	1003373	-631898	7.9	2	-3	6	3.2	1	3195	0.06		
"Switzerland"	899089	847912	7.1	20	3	20	1.5	4	3384	0.07		
"Malaysia"	884065	763073	7	14	12	25	1.1	3	5172	0.09		
"Germany"	859700	468551	6.8	-5	13	3	6.5	3	3376	0.05		
"Belgium"	769469	192486	6.1	5	6	12	2.4	3	2709	0.08		
"United Kingdom"	509785	320838	4	10	26	7	3.2	1	3930	0.06		
"Australia"	474600	438332	3.7	163	243	24	1.1	1	10262	0.1		
"China"	460028	-2373615	3.6	34	-20	2	11.1	5	6416	0.04		
"Spain"	435924	91753	3.4	0	9	15	1.9	3	3890	0.05		
"Burkina Faso"	398128	215815	3.1	-4	16	136	0.02	5	6109	0.05		
"Turkey"	395678	-35229	3.1	11	23	22	1.2	3	4285	0.05		
"India"	380542	-347456	3	-10	46	10	2.6	2	5793	0.05		
"Italy"	288971	1365	2.3	1	-1	11	2.5	2	2891	0.06		
"Russian Federation"	257455	128068	2	9	12	21	1.3	5	4187	0.09		
"Canada"	242381	177014	1.9	-4	-4	14	2.2	1	5042	0.26		
"Indonesia"	236547	113737	1.9	11	55	30	0.9	2	5872	0.11		
"Poland"	193399	140905	1.5	0	13	18	1.5	8	3121	0.08		
"Pakistan"	176575	135192	1.4	48	334	47	0.3	2	4850	0.11		
"Senegal"	95474	-116065	0.8	-4	-7	110	0.04	4	6632	0.05		
"Ukraine"	84986	-7932	0.7	17	19	48	0.3	7	3255	0.06		
"Brazil"	84261	-75616	0.7	7	2	26	1	6	10879	0.09		
"Nigeria"	73132	-1262205	0.6	-9	-17	53	0.2	17	7792	0.1		
"Mexico"	59303	57473	0.5	-11	-15	13	2.3	2	7039	0.24		
"Singapore"	48631	28512	0.4	53	65	16	1.9	3	5773	0.07		
"Czech Republic"	48599	17228	0.4	11	42	28	1	4	2987	0.1		
"Portugal"	44669	-13875	0.4	6	32	40	0.4	2	2788	0.14		
"Bulgaria"	44302	31210	0.4	42	74	57	0.2	6	2237	0.05		
"Benin"	38217	26627	0.3	-4	-51	149	0.01	-2	6481	0.07		
"Serbia"	33719	32243	0.3	12	61	65	0.2	9	2497	0.06		
"Belarus"	33213	29135	0.3	-8	27	61	0.2	2	2268	0.23		
"Estonia"	31583	30566	0.2	-20	60	73	0.1	6	2314	0.06		
"Hungary"	31509	15922	0.2	128	93	33	0.6	6	2180	0.09		
"Togo"	31194	-53472	0.2	5	-7	153	0.01	10	7318	0.08		
"South Africa"	31142	-80418	0.2	10	-37	41	0.4	-1	9230	0.07		
"Morocco"	27009	-331437	0.2	10	100	52	0.3	4	4316	0.07		
"Romania"	24625	12158	0.2	10	72	37	0.5	6	1891	0.07		
"Cyprus"	24520	20360	0.2	126	3593	105	0.05	-1	3118	0.09		
"Israel"	21646	12155	0.2	51	6794	42	0.4	4	5483	0.07		
"Slovakia"	21499	10026	0.2	-13	-14	38	0.5	4	2664	0.07		
"Luxembourg"	18068	5039	0.1	6	-63	71	0.1	3	1488	0.14		
"Korea, Republic of"	15417	-167378	0.1	11	200	9	2.8	4	5699	0.09		
"Egypt"	13689	-121635	0.1	52	233	46	0.3	-1	5219	0.05		
"Japan"	12818	-80975	0.1	-5	20	4	3.5	1	6256	0.09		
"Congo"	12701	-189457	0.1	-32	-68	154	0.01	-18	6851	0.07		
"Slovenia"	10071	7830	0.1	-8	59	55	0.2	10	2404	0.07		
"Argentina"	8792	-109455	0.1	-20	784	50	0.3	-5	10631	0.1		
"Tunisia"	7453	-76890	0.1	47	-37	78	0.10	-1	3411	0.06		
"Colombia"	6880	-108346	0.1	38	-3	51	0.3	4	8915	0.13		
"Saudi Arabia"	5940	-135072	0	89	40	32	0.7	3	5816	0.07		
"Greece"	5044	168	0	-17	43	45	0.3	4	2847	0.05		
"Thailand"	4669	-138040	0	-13	-23	23	1.2	2	4905	0.09		
"Dominican Republic"	3524	3491	0	7	96	67	0.1	5	6446	0.22		
"Angola"	3485	-12911	0	-21	29	100	0.05	-11	7692	0.06		
"Norway"	2820	-8839	0	-22	-24	39	0.5	3	3470	0.06		
"Iceland"	2705	2613	0	-4	-6	112	0.04	-1	4251	0.05		
"Ecuador"	2322	-96448	0	149	-29	69	0.1	3	9174	0.12		
"Mauritania"	2034	-103761	0	-20	-25	146	0.02	1	5817	0.07		
"Armenia"	1753	1753	0	-9	154	131	0.02	6	3323	0.15		
"Mozambique"	1700	498	0	6	49	108	0.04	8	6196	0.1		
"Taipei, Chinese"	1417	-21564	0	-5	-35	17	1.7	8	5007	0.1		
"Ireland"	1288	-39753	0	16	119	36	0.5	4	3265	0.1		
"Denmark"	1061	-16579	0	-22	-10	35	0.6	5	2182	0.08		
"Austria"	1030	-41096	0	16	-8	27	1	3	1514	0.18		
"Chile"	999	-60151	0	-32	-46	43	0.4	6	11582	0.13		
"Madagascar"	985	832	0	32	9	138	0.02	2	7339	0.08		
"Moldova, Republic of"	955	349	0	32	-43	118	0.03	8	2317	0.08		
"Finland"	924	-9590	0	7	9	44	0.4	3	2842	0.07		
"Lithuania"	849	-20947	0	25	7	59	0.2	7	1630	0.07		
"Sweden"	843	-32237	0	53	57	31	0.9	3	2128	0.07		
"Peru"	842	-6795	0	-37	111	54	0.2	3	10420	0.13		
"New Zealand"	788	-18932	0	279	-66	56	0.2	3	11141	0.09		
