Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Denmark's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Denmark (%)	
"World"	125014614	3230588	100	4	17		100	3				
"Special categories"	22800441	20763972	18.2	11	7							
"Germany"	16167690	-8965504	12.9	1	18	3	6.5	3	3376	0.05		
"Sweden"	11630394	-3754365	9.3	0	24	31	0.9	3	2128	0.07		
"Norway"	7165777	2498998	5.7	4	17	39	0.5	3	3470	0.06		
"United Kingdom"	6285190	3609598	5	-7	28	7	3.2	1	3930	0.06		
"United States of America"	5921059	1509541	4.7	6	20	1	13.4	3	7938	0.08		
"Netherlands"	5873941	-4155889	4.7	12	-5	8	2.8	5	3706	0.07		
"China"	4366826	-5435840	3.5	9	1	2	11.1	5	6416	0.04		
"Poland"	4199370	-1139402	3.4	11	13	18	1.5	8	3121	0.08		
"France"	3750341	152814	3	3	21	6	3.2	1	3195	0.06		
"Italy"	2746648	-1369978	2.2	3	34	11	2.5	2	2891	0.06		
"Finland"	2420708	842667	1.9	3	27	44	0.4	3	2842	0.07		
"Spain"	2001288	-198974	1.6	-1	26	15	1.9	3	3890	0.05		
"Belgium"	1949310	-1965457	1.6	4	16	12	2.4	3	2709	0.08		
"Japan"	1505905	1034826	1.2	0	11	4	3.5	1	6256	0.09		
"Taipei, Chinese"	1105109	482760	0.9	34	191	17	1.7	8	5007	0.1		
"Turkey"	1101409	-231241	0.9	9	39	22	1.2	3	4285	0.05		
"Switzerland"	1099790	306775	0.9	8	17	20	1.5	4	3384	0.07		
"Singapore"	1052541	906648	0.8	25	73	16	1.9	3	5773	0.07		
"Australia"	1003451	804389	0.8	-2	18	24	1.1	1	10262	0.1		
"Russian Federation"	970335	-1273603	0.8	4	13	21	1.3	5	4187	0.09		
"Area Nes"	926619	-759266	0.7	16	71							
"Korea, Republic of"	836171	98810	0.7	7	7	9	2.8	4	5699	0.09		
"Czech Republic"	827726	-1062108	0.7	8	28	28	1	4	2987	0.1		
"Ireland"	786291	-15889	0.6	3	15	36	0.5	4	3265	0.1		
"Austria"	778580	-367325	0.6	2	22	27	1	3	1514	0.18		
"Iceland"	744271	606158	0.6	6	38	112	0.04	-1	4251	0.05		
"Faroe Islands"	654548	383290	0.5	1	13	172	0	7	1404	0.27		
"Greenland"	608006	-115770	0.5	6	8	180	0	6	3482	0.44		
"Hungary"	599988	-223770	0.5	0	18	33	0.6	6	2180	0.09		
"India"	581171	-415320	0.5	9	38	10	2.6	2	5793	0.05		
"Canada"	578633	311203	0.5	-1	10	14	2.2	1	5042	0.26		
"Lithuania"	545297	-404056	0.4	1	27	59	0.2	7	1630	0.07		
"Saudi Arabia"	456326	428292	0.4	-5	-15	32	0.7	3	5816	0.07		
"Brazil"	443619	161961	0.4	6	-1	26	1	6	10879	0.09		
"Latvia"	428127	-384797	0.3	7	50	77	0.1	7	1575	0.08		
"Greece"	425085	143031	0.3	-1	-10	45	0.3	4	2847	0.05		
"Thailand"	416829	-52140	0.3	3	32	23	1.2	2	4905	0.09		
"Mexico"	402618	260146	0.3	0	34	13	2.3	2	7039	0.24		
"Ukraine"	390172	65311	0.3	10	39	48	0.3	7	3255	0.06		
"United Arab Emirates"	390119	340108	0.3	-3	-6	29	0.9	-2	5715	0.08		
"Estonia"	358276	-119095	0.3	3	44	73	0.1	6	2314	0.06		
"Europe Othr. Nes"	355187	355187	0.3	9	-6							
"Hong Kong, China"	352557	113322	0.3	-16	-1	5	3.3	3	2841	0.22		
"Portugal"	350385	-69059	0.3	9	22	40	0.4	2	2788	0.14		
"Romania"	344936	-5437	0.3	6	5	37	0.5	6	1891	0.07		
"Slovakia"	314718	-194005	0.3	5	21	38	0.5	4	2664	0.07		
"Malaysia"	308773	-58172	0.2	12	31	25	1.1	3	5172	0.09		
"Philippines"	238022	124335	0.2	12	50	34	0.6	2	4354	0.09		
"Viet Nam"	237421	-227116	0.2	-15	31	19	1.5	8	3535	0.19		
"Israel"	235115	133971	0.2	10	39	42	0.4	4	5483	0.07		
