Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Djibouti's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Djibouti (%)	
"Total"	361427	-5003449	100	24	74		100	3				
"Ethiopia"	187805	84906	52	679	252	90	0.07	1	6305	0.11		
"China"	48588	-2327374	13.4	801	5	2	11.1	5	6416	0.04		
"India"	37745	-606038	10.4	62	116	10	2.6	2	5793	0.05		
"United States of America"	32841	-161299	9.1	-3	-20	1	13.4	3	7938	0.08		
"Saudi Arabia"	21397	-130800	5.9	-26	32	32	0.7	3	5816	0.07		
"United Kingdom"	4510	-13593	1.2	-5	-28	7	3.2	1	3930	0.06		
"Ukraine"	3111	-79442	0.9		2372	48	0.3	7	3255	0.06		
"Netherlands"	2650	-24751	0.7	-13	-5	8	2.8	5	3706	0.07		
"Korea, Republic of"	2626	-33608	0.7	99	-44	9	2.8	4	5699	0.09		
"Egypt"	2433	-65462	0.7	-12	-52	46	0.3	-1	5219	0.05		
"Tanzania, United Republic of"	2368	2098	0.7	-15		102	0.05	7	6633	0.1		
"Germany"	1954	-25128	0.5	65	5	3	6.5	3	3376	0.05		
"Malaysia"	1724	-179882	0.5	88	-47	25	1.1	3	5172	0.09		
"France"	1379	-80803	0.4	-12	-21	6	3.2	1	3195	0.06		
"Poland"	1160	-14212	0.3	-22	131	18	1.5	8	3121	0.08		
"South Africa"	989	-73831	0.3	17	172	41	0.4	-1	9230	0.07		
"Turkey"	872	-306153	0.2	0	1517	22	1.2	3	4285	0.05		
"Israel"	861	861	0.2	36	232	42	0.4	4	5483	0.07		
"Australia"	725	-8535	0.2	-24	98	24	1.1	1	10262	0.1		
"Czech Republic"	664	-250	0.2	76	83	28	1	4	2987	0.1		
"Hong Kong, China"	624	-1467	0.2	-22	46	5	3.3	3	2841	0.22		
"New Zealand"	516	-2976	0.1	-27	14	56	0.2	3	11141	0.09		
"Slovakia"	458	301	0.1	4	17	38	0.5	4	2664	0.07		
"Belgium"	348	-20534	0.1	-24	2519	12	2.4	3	2709	0.08		
"Canada"	325	-3603	0.1	-18	-9	14	2.2	1	5042	0.26		
"Guatemala"	304	304	0.1	102	-18	68	0.1	7	5828	0.15		
"Madagascar"	294	268	0.1	5		138	0.02	2	7339	0.08		
"Bulgaria"	250	166	0.1		-44	57	0.2	6	2237	0.05		
"Pakistan"	242	-55295	0.1	-40		47	0.3	2	4850	0.11		
"Italy"	196	-18547	0.1	-44	27	11	2.5	2	2891	0.06		
"Hungary"	190	-813	0.1	387	-8	33	0.6	6	2180	0.09		
"Spain"	164	-35253	0	-37	1950	15	1.9	3	3890	0.05		
"Singapore"	162	-27909	0	-49	-56	16	1.9	3	5773	0.07		
"Japan"	135	-66741	0	28	-84	4	3.5	1	6256	0.09		
"Thailand"	128	-36273	0	26	1330	23	1.2	2	4905	0.09		
"Mozambique"	123	123	0	-13		108	0.04	8	6196	0.1		
"Philippines"	120	-559	0	35	565	34	0.6	2	4354	0.09		
"Croatia"	116	-1112	0			63	0.2	6	1362	0.07		
"Denmark"	82	-4979	0	18	1267	35	0.6	5	2182	0.08		
"Kenya"	71	-8887	0	-20	62	80	0.09	2	6680	0.08		
"Portugal"	37	-1139	0	10		40	0.4	2	2788	0.14		
"Switzerland"	33	-3577	0	-63	-73	20	1.5	4	3384	0.07		
"Senegal"	26	-3	0	-11	-24	110	0.04	4	6632	0.05		
"Burkina Faso"	20	20	0			136	0.02	5	6109	0.05		
"Indonesia"	14	-311231	0	4	-99	30	0.9	2	5872	0.11		
"Zambia"	10	10	0	151		119	0.03	-9	5447	0.14		
"Slovenia"	6	-104	0	-55		55	0.2	10	2404	0.07		
"Georgia"	5	5	0	-67		113	0.04	-2	2513	0.09		
"Taipei, Chinese"	5	-17290	0	-13	346	17	1.7	8	5007	0.1		
"Bolivia, Plurinational State of"	3	3	0			106	0.04	-3	7978	0.11		
"Nigeria"	3	-207	0	-88	-56	53	0.2	17	7792	0.1		
"Brazil"	3	-9202	0	-22	-57	26	1	6	10879	0.09		
"Lithuania"	2	-167	0			59	0.2	7	1630	0.07		
