Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Dominican Republic's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Dominican Republic (%)	
"World"	11831534	-15111160	100	3	20		100	3				
"United States of America"	6544683	-4946337	55.3	5	23	1	13.4	3	7938	0.08		
"Switzerland"	961459	874154	8.1	61	-18	20	1.5	4	3384	0.07		
"Haiti"	957983	953656	8.1	-6	28	140	0.02	0	6340	0.18		
"India"	750596	393829	6.3	-7	286	10	2.6	2	5793	0.05		
"Netherlands"	415757	78330	3.5	22	5	8	2.8	5	3706	0.07		
"China"	292812	-4364663	2.5	23	38	2	11.1	5	6416	0.04		
"Jamaica"	121804	119576	1	15	62	137	0.02	-2	6759	0.22		
"Germany"	116231	-345872	1	4	6	3	6.5	3	3376	0.05		
"Belgium"	102739	-19276	0.9	-1	67	12	2.4	3	2709	0.08		
"Italy"	99452	-511797	0.8	5	68	11	2.5	2	2891	0.06		
"Panama"	87519	2974	0.7	5	178	60	0.2	1	8657	0.12		
"United Kingdom"	86885	-182387	0.7	-8	-17	7	3.2	1	3930	0.06		
"Spain"	81270	-795494	0.7	-8	28	15	1.9	3	3890	0.05		
"Finland"	57960	42700	0.5	87	322	44	0.4	3	2842	0.07		
"Colombia"	57702	-531862	0.5	9	25	51	0.3	4	8915	0.13		
"Honduras"	55763	-99792	0.5	17	44	99	0.05	4	6104	0.16		
"Canada"	54392	-259025	0.5	-44	-87	14	2.2	1	5042	0.26		
"Nicaragua"	51515	17797	0.4	24	112	104	0.05	4	5888	0.1		
"Sweden"	48447	-62476	0.4	12	10	31	0.9	3	2128	0.07		
"Japan"	47575	-316788	0.4	38	0	4	3.5	1	6256	0.09		
"Costa Rica"	47196	-230557	0.4	4	30	86	0.08	3	6987	0.22		
"France"	42595	-183236	0.4	4	94	6	3.2	1	3195	0.06		
"Hong Kong, China"	42503	-7748	0.4	-11	59	5	3.3	3	2841	0.22		
"Trinidad and Tobago"	38451	-58997	0.3	6	22	128	0.03	-1	6663	0.26		
"Curaçao"	35900	27898	0.3	10	60	163	0	-12		0.24		
"United Arab Emirates"	31410	25252	0.3	21	378	29	0.9	-2	5715	0.08		
"Ecuador"	30031	-88040	0.3	4	64	69	0.1	3	9174	0.12		
"Singapore"	28838	6940	0.2	14	43	16	1.9	3	5773	0.07		
"Guatemala"	27856	-185698	0.2	8	-4	68	0.1	7	5828	0.15		
"Mexico"	26190	-920675	0.2	3	-44	13	2.3	2	7039	0.24		
"Guyana"	25237	15115	0.2	8	75	144	0.02	13	11175	0.21		
"Venezuela, Bolivarian Republic of"	24810	11101	0.2	-8	26	117	0.03	-11	8121	0.16		
"Korea, Republic of"	23950	-308345	0.2	-3	-64	9	2.8	4	5699	0.09		
"El Salvador"	21734	-101993	0.2	27	28	88	0.07	9	4914	0.15		
"Cuba"	21689	19375	0.2	-19	-15	145	0.02	-13	7148	0.09		
"Chile"	21325	-61470	0.2	7	42	43	0.4	6	11582	0.13		
"Indonesia"	21312	-55651	0.2	22	2	30	0.9	2	5872	0.11		
"Brazil"	20453	-854480	0.2	37	-26	26	1	6	10879	0.09		
"Philippines"	20294	-18020	0.2	31	-37	34	0.6	2	4354	0.09		
"Poland"	19598	-30957	0.2	5	5	18	1.5	8	3121	0.08		
"Barbados"	18326	13711	0.2	12	79	161	0	0	4992	0.21		
"Russian Federation"	15651	-137902	0.1	36	-16	21	1.3	5	4187	0.09		
"Malaysia"	15456	-44652	0.1	36	78	25	1.1	3	5172	0.09		
"Viet Nam"	14217	-73949	0.1	-22	90	19	1.5	8	3535	0.19		
"Thailand"	13370	-73106	0.1	18	71	23	1.2	2	4905	0.09		
"Australia"	13081	-12531	0.1	28	8	24	1.1	1	10262	0.1		
"Turks and Caicos Islands"	12923	12919	0.1	17	72	193	0	-3	3491	0.74		
"Peru"	12177	-118858	0.1	2	-1	54	0.2	3	10420	0.13		
"Cayman Islands"	10083	10083	0.1	43	122	123	0.03	5	7522	0.35		
"Suriname"	9940	9743	0.1	8	25	173	0	1	9050	0.14		
"Bahamas"	9206	-1506	0.1	-8	17	115	0.03	-8	6248	0.19		
"Antigua and Barbuda"	9047	-4548	0.1	3	100	174	0	1	6334	0.27		
"Turkey"	7868	-242891	0.1	37	265	22	1.2	3	4285	0.05		
