Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Ecuador's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Ecuador (%)	
"World"	26269228	549336	100	6	30		100	3				
"United States of America"	6402850	721754	24.4	-2	34	1	13.4	3	7938	0.08		
"Panama"	3969542	3849187	15.1	43	63	60	0.2	1	8657	0.12		
"China"	3644911	-2395467	13.9	47	14	2	11.1	5	6416	0.04		
"Chile"	1120473	581551	4.3	-7	39	43	0.4	6	11582	0.13		
"Russian Federation"	999796	475077	3.8	4	9	21	1.3	5	4187	0.09		
"Colombia"	851880	-935317	3.2	1	8	51	0.3	4	8915	0.13		
"Spain"	731982	122438	2.8	3	37	15	1.9	3	3890	0.05		
"Netherlands"	684869	531105	2.6	11	21	8	2.8	5	3706	0.07		
"India"	658255	266792	2.5	32	304	10	2.6	2	5793	0.05		
"Peru"	618644	-243584	2.4	-25	48	54	0.2	3	10420	0.13		
"Italy"	550107	117164	2.1	-3	7	11	2.5	2	2891	0.06		
"France"	383007	185080	1.5	6	40	6	3.2	1	3195	0.06		
"Germany"	363544	-215005	1.4	-8	-9	3	6.5	3	3376	0.05		
"United Kingdom"	287844	130524	1.1	10	25	7	3.2	1	3930	0.06		
"Switzerland"	264179	161800	1	132	76	20	1.5	4	3384	0.07		
"Japan"	260485	-323023	1	-7	-23	4	3.5	1	6256	0.09		
"Argentina"	246342	-316722	0.9	-3	11	50	0.3	-5	10631	0.1		
"Belgium"	240615	102845	0.9	6	9	12	2.4	3	2709	0.08		
"Turkey"	218874	139293	0.8	20	-27	22	1.2	3	4285	0.05		
"Malaysia"	207013	118187	0.8	21	43	25	1.1	3	5172	0.09		
"Korea, Republic of"	206037	-711382	0.8	10	143	9	2.8	4	5699	0.09		
"Finland"	202716	173729	0.8	161	-15	44	0.4	3	2842	0.07		
"Canada"	189810	-353330	0.7	21	60	14	2.2	1	5042	0.26		
"Mexico"	168040	-547600	0.6	0	85	13	2.3	2	7039	0.24		
"Indonesia"	165693	19023	0.6	17	-17	30	0.9	2	5872	0.11		
"United Arab Emirates"	149237	105315	0.6	37	73	29	0.9	-2	5715	0.08		
"Taipei, Chinese"	145480	-71021	0.6	80	771	17	1.7	8	5007	0.1		
"Ukraine"	124323	122203	0.5	16	15	48	0.3	7	3255	0.06		
"Brazil"	117729	-877175	0.4	-3	22	26	1	6	10879	0.09		
"Dominican Republic"	106467	84202	0.4	14	21	67	0.1	5	6446	0.22		
"Saudi Arabia"	104173	-85043	0.4	4	-12	32	0.7	3	5816	0.07		
"Greece"	99692	84610	0.4	8	17	45	0.3	4	2847	0.05		
"Côte d'Ivoire"	98770	96448	0.4	175	324	93	0.06	9	6793	0.08		
"Algeria"	98384	98113	0.4	87	-22	64	0.2	-8	4584	0.07		
"Portugal"	81837	50756	0.3	11	40	40	0.4	2	2788	0.14		
"Poland"	80381	42753	0.3	12	28	18	1.5	8	3121	0.08		
"Bulgaria"	79281	69360	0.3	60	60	57	0.2	6	2237	0.05		
"Sweden"	72517	19106	0.3	13	-6	31	0.9	3	2128	0.07		
"Thailand"	70383	-250679	0.3	107	159	23	1.2	2	4905	0.09		
"Morocco"	56601	43651	0.2	47	140	52	0.3	4	4316	0.07		
