Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in El Salvador's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by El Salvador (%)	
"World"	5660025	-9987091	100	3	37		100	3				
"United States of America"	1760240	-3442694	31.1	0	42	1	13.4	3	7938	0.08		
"Guatemala"	1181670	-828685	20.9	10	40	68	0.1	7	5828	0.15		
"Honduras"	1037008	336973	18.3	5	41	99	0.05	4	6104	0.16		
"Nicaragua"	476142	3519	8.4	4	34	104	0.05	4	5888	0.1		
"Costa Rica"	285285	-216872	5	1	23	86	0.08	3	6987	0.22		
"Panama"	124767	-427533	2.2	-2	36	60	0.2	1	8657	0.12		
"Dominican Republic"	113621	91760	2	6	27	67	0.1	5	6446	0.22		
"Mexico"	108609	-1105979	1.9	8	38	13	2.3	2	7039	0.24		
"Korea, Republic of"	82115	-233442	1.5	70	36	9	2.8	4	5699	0.09		
"China"	74506	-1686703	1.3	9	-4	2	11.1	5	6416	0.04		
"Spain"	46306	-199820	0.8	-5	41	15	1.9	3	3890	0.05		
"Taipei, Chinese"	37493	-62198	0.7	-7	38	17	1.7	8	5007	0.1		
"Italy"	35743	-42471	0.6	3	3	11	2.5	2	2891	0.06		
"Netherlands"	31093	-39370	0.5	24	1	8	2.8	5	3706	0.07		
"Jamaica"	20976	20789	0.4	3	49	137	0.02	-2	6759	0.22		
"United Kingdom"	19684	-869	0.3	2	92	7	3.2	1	3930	0.06		
"Belize"	19625	19056	0.3	3	64	179	0	1	5006	0.18		
"Haiti"	18862	18764	0.3	23	56	140	0.02	0	6340	0.18		
"Germany"	17911	-126562	0.3	-9	30	3	6.5	3	3376	0.05		
"Canada"	16494	-114121	0.3	-12	0	14	2.2	1	5042	0.26		
"Peru"	13920	-37947	0.2	22	16	54	0.2	3	10420	0.13		
"Japan"	12951	-186534	0.2	1	-3	4	3.5	1	6256	0.09		
"Belgium"	10597	-17588	0.2	5	35	12	2.4	3	2709	0.08		
"Chile"	10125	-91133	0.2	7	113	43	0.4	6	11582	0.13		
"Ecuador"	8932	-58659	0.2	3	2	69	0.1	3	9174	0.12		
"Colombia"	8437	-183498	0.1	-5	-44	51	0.3	4	8915	0.13		
"Brazil"	7423	-116184	0.1	15	49	26	1	6	10879	0.09		
"France"	7146	-35077	0.1	-2	19	6	3.2	1	3195	0.06		
"Trinidad and Tobago"	6384	4019	0.1	9	139	128	0.03	-1	6663	0.26		
"Cuba"	5940	5702	0.1	-24	5	145	0.02	-13	7148	0.09		
"Australia"	5854	-13489	0.1	2	52	24	1.1	1	10262	0.1		
"Saudi Arabia"	4705	-16995	0.1	67	40	32	0.7	3	5816	0.07		
"Malaysia"	4038	-27139	0.1	14	176	25	1.1	3	5172	0.09		
"Guyana"	3957	3813	0.1	21	95	144	0.02	13	11175	0.21		
"Norway"	3755	2854	0.1	0	1906	39	0.5	3	3470	0.06		
"Thailand"	3729	-64096	0.1	55	213	23	1.2	2	4905	0.09		
"India"	2910	-155553	0.1	-2	-1	10	2.6	2	5793	0.05		
"Greece"	2746	812	0	65	26	45	0.3	4	2847	0.05		
"Venezuela, Bolivarian Republic of"	2598	2417	0	-40	173	117	0.03	-11	8121	0.16		
"Hong Kong, China"	2054	-93912	0	-17	-6	5	3.3	3	2841	0.22		
"Portugal"	1743	-8539	0	-5	102	40	0.4	2	2788	0.14		
"Finland"	1674	-24670	0	5	6	44	0.4	3	2842	0.07		
"Viet Nam"	1360	-104366	0	-59	24	19	1.5	8	3535	0.19		
"South Africa"	1035	-1867	0	-36	-31	41	0.4	-1	9230	0.07		
"Mali"	1001	994	0	59	12	141	0.02	9	5008	0.1		
"Ireland"	902	-10805	0	79	50	36	0.5	4	3265	0.1		
"Singapore"	902	-184074	0	11	324	16	1.9	3	5773	0.07		
"Denmark"	878	-13408	0	31	65	35	0.6	5	2182	0.08		
"Austria"	852	-15084	0	-1	2	27	1	3	1514	0.18		
"Bangladesh"	827	-3656	0	359	-54	49	0.3	6	4172	0.15		
"Turkey"	761	-60874	0	9	76	22	1.2	3	4285	0.05		
"Israel"	756	-7559	0	71	341	42	0.4	4	5483	0.07		
"Bolivia, Plurinational State of"	688	268	0	14	47	106	0.04	-3	7978	0.11		
"Switzerland"	626	-29715	0	-3	249	20	1.5	4	3384	0.07		
"Suriname"	622	621	0	6	28	173	0	1	9050	0.14		
"Tunisia"	540	129	0	194	91	78	0.10	-1	3411	0.06		
"Paraguay"	517	-109	0	24	224	92	0.06	0	7311	0.15		
"Saint Lucia"	490	490	0	139	572	171	0	-10	5321	0.23		
"Ukraine"	484	-1000	0	43	-9	48	0.3	7	3255	0.06		
"Curaçao"	483	-3560	0	4	24	163	0	-12		0.24		
"United Arab Emirates"	483	-14766	0	69	-26	29	0.9	-2	5715	0.08		
