Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Equatorial Guinea's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Equatorial Guinea (%)	
"Total"	4875944	4040315	100	-8	57		100	3				
"China"	1078165	963197	22.1	-12	-7	2	11.1	5	6416	0.04		
"India"	854830	840984	17.5	1	139	10	2.6	2	5793	0.05		
"Spain"	803300	610521	16.5	24	95	15	1.9	3	3890	0.05		
"Korea, Republic of"	365578	350792	7.5	-12	150	9	2.8	4	5699	0.09		
"United States of America"	281973	230549	5.8	-18	94	1	13.4	3	7938	0.08		
"Netherlands"	212752	176781	4.4	-5	155	8	2.8	5	3706	0.07		
"Japan"	161428	160751	3.3	-49	330711	4	3.5	1	6256	0.09		
"Singapore"	149824	146547	3.1	-25	129	16	1.9	3	5773	0.07		
"Indonesia"	149203	133870	3.1	992	246	30	0.9	2	5872	0.11		
"Portugal"	131625	124181	2.7	-25	-66	40	0.4	2	2788	0.14		
"France"	125791	105088	2.6	-37	54990	6	3.2	1	3195	0.06		
"Italy"	121913	96640	2.5	-16	109	11	2.5	2	2891	0.06		
"Chile"	121684	121013	2.5	38	27	43	0.4	6	11582	0.13		
"Lithuania"	77795	77299	1.6			59	0.2	7	1630	0.07		
"Thailand"	72207	65449	1.5	-3	104	23	1.2	2	4905	0.09		
"Brunei Darussalam"	47581	47581	1		235	109	0.04	26	5185	0.11		
"Germany"	33427	12568	0.7	-33	96	3	6.5	3	3376	0.05		
"Nigeria"	27410	-89175	0.6	83	308	53	0.2	17	7792	0.1		
"Canada"	13306	4460	0.3	60	348	14	2.2	1	5042	0.26		
"Norway"	10272	8677	0.2	458	-76	39	0.5	3	3470	0.06		
"Taipei, Chinese"	10096	9853	0.2	130	331	17	1.7	8	5007	0.1		
"Croatia"	9035	8868	0.2			63	0.2	6	1362	0.07		
"Benin"	4822	4460	0.1	454	295	149	0.01	-2	6481	0.07		
"Dominican Republic"	3778	3778	0.1	133		67	0.1	5	6446	0.22		
"Philippines"	2028	2026	0	-47	46	34	0.6	2	4354	0.09		
"South Africa"	1452	-150	0	-80	19711	41	0.4	-1	9230	0.07		
"Poland"	1041	-10431	0			18	1.5	8	3121	0.08		
"Congo"	997	839	0	-35	-22	154	0.01	-18	6851	0.07		
"Belgium"	742	-18774	0	-1	186	12	2.4	3	2709	0.08		
