Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Eritrea's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Eritrea (%)	
"Total"	464818	254067	100	10	28		100	3				
"China"	353118	287467	76	15	22	2	11.1	5	6416	0.04		
"Korea, Republic of"	101845	100949	21.9	3	100	9	2.8	4	5699	0.09		
"Italy"	2007	-9797	0.4	-7	24	11	2.5	2	2891	0.06		
"Croatia"	1848	1770	0.4		363	63	0.2	6	1362	0.07		
"Guyana"	1563	1563	0.3			144	0.02	13	11175	0.21		
"France"	933	-1585	0.2	84	1974	6	3.2	1	3195	0.06		
"United States of America"	483	-18870	0.1	11	67	1	13.4	3	7938	0.08		
"Australia"	427	-2818	0.1	40	13078	24	1.1	1	10262	0.1		
"Poland"	337	225	0.1	251	69	18	1.5	8	3121	0.08		
"Germany"	329	-4445	0.1	92	28	3	6.5	3	3376	0.05		
"Singapore"	197	197	0	69	8	16	1.9	3	5773	0.07		
"South Africa"	172	-12412	0	7	127	41	0.4	-1	9230	0.07		
"Brunei Darussalam"	167	167	0			109	0.04	26	5185	0.11		
"Russian Federation"	131	-9058	0	226	521	21	1.3	5	4187	0.09		
"United Kingdom"	127	-2807	0	63	165	7	3.2	1	3930	0.06		
"India"	123	-8694	0	-46		10	2.6	2	5793	0.05		
"Switzerland"	121	-344	0	83	143	20	1.5	4	3384	0.07		
"Slovakia"	99	99	0	-3	607	38	0.5	4	2664	0.07		
"Sweden"	90	-2140	0	56	463	31	0.9	3	2128	0.07		
"Israel"	72	72	0	24	1340	42	0.4	4	5483	0.07		
"New Zealand"	70	67	0	77	1518	56	0.2	3	11141	0.09		
"Turkey"	65	-23601	0		1450	22	1.2	3	4285	0.05		
"Czech Republic"	60	60	0	140	757	28	1	4	2987	0.1		
"Japan"	57	-988	0	32	13	4	3.5	1	6256	0.09		
"Ukraine"	56	-11454	0		428	48	0.3	7	3255	0.06		
"Colombia"	54	54	0	141		51	0.3	4	8915	0.13		
"Belgium"	36	-2031	0	235		12	2.4	3	2709	0.08		
"Egypt"	28	-3514	0	-60	-95	46	0.3	-1	5219	0.05		
