Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Eswatini's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Eswatini (%)	
"Total"	2245566	483185	100	4	29		100	3				
"South Africa"	1384248	-133106	61.6	1	26	41	0.4	-1	9230	0.07		
"India"	284138	260308	12.7	53	4875	10	2.6	2	5793	0.05		
"Kenya"	112791	111357	5	0	39	80	0.09	2	6680	0.08		
"Nigeria"	87963	87963	3.9	9	-59	53	0.2	17	7792	0.1		
"Mozambique"	56784	31509	2.5	5	18	108	0.04	8	6196	0.1		
"United Kingdom"	46519	37740	2.1	47	-12	7	3.2	1	3930	0.06		
"Spain"	42240	40874	1.9	22	912	15	1.9	3	3890	0.05		
"Tanzania, United Republic of"	39581	39435	1.8	-3	51	102	0.05	7	6633	0.1		
"United States of America"	24131	-12979	1.1	7	21	1	13.4	3	7938	0.08		
"Zambia"	22323	19798	1	5	60	119	0.03	-9	5447	0.14		
"France"	12208	7815	0.5	4	36	6	3.2	1	3195	0.06		
"Pakistan"	10238	9752	0.5	-16	26	47	0.3	2	4850	0.11		
"Poland"	9686	9613	0.4	68	1137	18	1.5	8	3121	0.08		
"Netherlands"	8814	3461	0.4	-1	-8	8	2.8	5	3706	0.07		
"Mexico"	8624	8624	0.4	-10	-36	13	2.3	2	7039	0.24		
"Thailand"	7953	6461	0.4	7	66	23	1.2	2	4905	0.09		
"Madagascar"	7019	7019	0.3	-14	16	138	0.02	2	7339	0.08		
"Taipei, Chinese"	6665	-4705	0.3	147	155	17	1.7	8	5007	0.1		
"Angola"	6300	6300	0.3	-36	27	100	0.05	-11	7692	0.06		
"Egypt"	5875	1314	0.3	116	3182	46	0.3	-1	5219	0.05		
"Mauritania"	5624	5618	0.3		156	146	0.02	1	5817	0.07		
"Germany"	5277	-4787	0.2	3	-16	3	6.5	3	3376	0.05		
"Switzerland"	5107	1819	0.2	32	70	20	1.5	4	3384	0.07		
"Morocco"	4779	4302	0.2	54	1029	52	0.3	4	4316	0.07		
"Norway"	3935	3862	0.2	20	62	39	0.5	3	3470	0.06		
"Guyana"	3159	3159	0.1	39	-5	144	0.02	13	11175	0.21		
