Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Ethiopia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Ethiopia (%)	
"World"	3057629	-12232351	100	1	21		100	3				
"Somalia"	360838	360418	11.8	9	23	150	0.01	9	5305	0.16		
"United States of America"	330215	-838130	10.8	7	28	1	13.4	3	7938	0.08		
"Germany"	243943	66104	8	3	76	3	6.5	3	3376	0.05		
"Netherlands"	229347	90211	7.5	4	21	8	2.8	5	3706	0.07		
"Saudi Arabia"	215538	-141858	7	1	15	32	0.7	3	5816	0.07		
"United Arab Emirates"	189768	-323471	6.2	12	12	29	0.9	-2	5715	0.08		
"Belgium"	131004	-66905	4.3	9	58	12	2.4	3	2709	0.08		
"Japan"	106172	-252117	3.5	1	12	4	3.5	1	6256	0.09		
"Israel"	105942	87561	3.5	5	7	42	0.4	4	5483	0.07		
"Djibouti"	102899	-84906	3.4	0	-5	130	0.02	5	6387	0.22		
"India"	101188	-2302762	3.3	15	101	10	2.6	2	5793	0.05		
"Korea, Republic of"	85686	-169525	2.8	13	40	9	2.8	4	5699	0.09		
"China"	84470	-3950587	2.8	-27	-7	2	11.1	5	6416	0.04		
"Viet Nam"	67499	34515	2.2	-3	-4	19	1.5	8	3535	0.19		
"Italy"	61108	-213592	2	-2	25	11	2.5	2	2891	0.06		
"Singapore"	48076	6020	1.6	57	-15	16	1.9	3	5773	0.07		
"Turkey"	41201	-723366	1.3	-3	6	22	1.2	3	4285	0.05		
"United Kingdom"	37289	-168778	1.2	-11	31	7	3.2	1	3930	0.06		
"Sudan"	36377	31939	1.2	-10	-20	122	0.03	-2		0.13		
"France"	35101	-135655	1.1	-2	47	6	3.2	1	3195	0.06		
"Indonesia"	32838	-202785	1.1	-2	15	30	0.9	2	5872	0.11		
"Yemen"	30997	28339	1	-5	-6	107	0.04	11	5706	0.11		
"Australia"	29573	4511	1	4	79	24	1.1	1	10262	0.1		
"Taipei, Chinese"	26416	-31888	0.9	21	16	17	1.7	8	5007	0.1		
"Jordan"	26331	22794	0.9	5	27	84	0.08	0	5167	0.07		
"Hong Kong, China"	25768	17944	0.8	6	43	5	3.3	3	2841	0.22		
"Russian Federation"	20204	-179574	0.7	0	64	21	1.3	5	4187	0.09		
"Canada"	19613	-8651	0.6	5	23	14	2.2	1	5042	0.26		
"Spain"	17719	-61912	0.6	5	5	15	1.9	3	3890	0.05		
"Malaysia"	16286	-614918	0.5	153	-41	25	1.1	3	5172	0.09		
"Kenya"	15288	-55062	0.5	-32	28	80	0.09	2	6680	0.08		
"Qatar"	11750	7473	0.4	47	581	70	0.1	0	5745	0.06		
"Pakistan"	11526	-42072	0.4	-10	-50	47	0.3	2	4850	0.11		
"South Africa"	11259	-115145	0.4	-1	23	41	0.4	-1	9230	0.07		
"Sweden"	9791	-8523	0.3	-4	59	31	0.9	3	2128	0.07		
"Greece"	9148	1728	0.3	-9	106	45	0.3	4	2847	0.05		
"Seychelles"	7957	7957	0.3	250	2680	187	0	-7	6627	0.06		
"Egypt"	7360	-234577	0.2	-6	12	46	0.3	-1	5219	0.05		
"Norway"	7302	3118	0.2	1	15	39	0.5	3	3470	0.06		
"Nigeria"	6502	5869	0.2	-24	-44	53	0.2	17	7792	0.1		
"Togo"	6154	6152	0.2	-13	-27	153	0.01	10	7318	0.08		
"Kuwait"	5819	-505320	0.2	15	145	76	0.1	-3	5837	0.07		
"Ukraine"	5695	-573142	0.2	39	247	48	0.3	7	3255	0.06		
"Libya, State of"	5001	5001	0.2	34	60	89	0.07	12	3475	0.08		
"Portugal"	4873	-6229	0.2	-9	-20	40	0.4	2	2788	0.14		
"New Zealand"	4812	278	0.2	2	26	56	0.2	3	11141	0.09		
"Finland"	3767	-5852	0.1	-8	8	44	0.4	3	2842	0.07		
"Oman"	3763	-43622	0.1	24	858	83	0.08	-6	5977	0.08		
"Switzerland"	3654	-39713	0.1	-46	19	20	1.5	4	3384	0.07		
"Bulgaria"	3270	-27222	0.1	7	8	57	0.2	6	2237	0.05		
"Latvia"	3188	-1263	0.1	30	26	77	0.1	7	1575	0.08		
"Andorra"	2982	2697	0.1	382	215	166	0	2	610	0.52		
"Equatorial Guinea"	2772	2772	0.1	296	28283	182	0	2	6008	0.11		
"Algeria"	2461	1391	0.1	27	163	64	0.2	-8	4584	0.07		
"Tanzania, United Republic of"	2200	1554	0.1	80	-56	102	0.05	7	6633	0.1		
"Madagascar"	2004	1987	0.1	43	1223	138	0.02	2	7339	0.08		
"Zimbabwe"	1932	1161	0.1	77	124	134	0.02	7	3754	0.39		
"Mexico"	1886	-8336	0.1	-12	-13	13	2.3	2	7039	0.24		
"Morocco"	1807	-362956	0.1	43	-3	52	0.3	4	4316	0.07		
"Brazil"	1742	-31301	0.1	46	11561	26	1	6	10879	0.09		
"Iran, Islamic Republic of"	1534	-223	0.1	-46	-39	72	0.1	-18	5612	0.13		
"Slovenia"	1511	318	0	5	169	55	0.2	10	2404	0.07		
"Sierra Leone"	1416	1406	0	16	18445	170	0	10	8820	0.13		
"Lebanon"	1405	303	0	-17	49	97	0.06	-12	3592	0.06		
"Bangladesh"	1308	-2394	0	-29	205	49	0.3	6	4172	0.15		
"Uganda"	1222	-1317	0	35	-21	132	0.02	11	5788	0.09		
"Poland"	1147	-25604	0	17	62	18	1.5	8	3121	0.08		
"Croatia"	1101	954	0	55	0	63	0.2	6	1362	0.07		
"Thailand"	1063	-136621	0	-38	23	23	1.2	2	4905	0.09		
"Lithuania"	1036	-961	0	-9	4290	59	0.2	7	1630	0.07		
"Philippines"	1027	-5379	0	61	-46	34	0.6	2	4354	0.09		
"Mali"	958	837	0	10	13293	141	0.02	9	5008	0.1		
"Venezuela, Bolivarian Republic of"	929	929	0	47		117	0.03	-11	8121	0.16		
"Ghana"	915	27	0	52	8	82	0.08	8	8888	0.18		
"Romania"	871	-86136	0	1	56	37	0.5	6	1891	0.07		
"Denmark"	830	-36309	0	-8	-26	35	0.6	5	2182	0.08		
"Hungary"	820	-12775	0	7	23	33	0.6	6	2180	0.09		
"Angola"	753	703	0	5	5	100	0.05	-11	7692	0.06		
"Rwanda"	741	-19543	0	-40	-54	159	0.01	17	5437	0.08		
"Guinea"	697	672	0	223	1071	135	0.02	7	9140	0.19		
"Tunisia"	653	-2270	0	-5	55	78	0.10	-1	3411	0.06		
"Bahrain"	650	-16991	0	-50	52	101	0.05	1	6359	0.08		
"Estonia"	548	-1399	0	43	90	73	0.1	6	2314	0.06		
"Iraq"	531	-4558	0	-4	-90	62	0.2	3	4107	0.18		
"Côte d'Ivoire"	481	118	0	68	-1	93	0.06	9	6793	0.08		
"Korea, Democratic People's Republic of"	461	-1225	0	-42	5684	200	0	-49	1470	0.87		
"Dominican Republic"	432	400	0		359	67	0.1	5	6446	0.22		
"Cameroon"	391	361	0	-9	-71	116	0.03	8	7279	0.14		
"Sri Lanka"	376	-3048	0	-14	-48	85	0.08	-3	4351	0.16		
"Eswatini"	320	-1600	0	-8	-57	160	0	1	1597	0.74		
"Mozambique"	285	260	0	9	-50	108	0.04	8	6196	0.1		
"Georgia"	283	-232	0	-31	180	113	0.04	-2	2513	0.09		
"Malawi"	269	247	0	11	239	168	0	0	5169	0.15		
"Czech Republic"	268	-24983	0	-17	121	28	1	4	2987	0.1		
"Pitcairn"	248	248	0			227	0	-5		0.23		
"Ireland"	237	-38477	0	-26	15	36	0.5	4	3265	0.1		
"Argentina"	204	-2693	0		6	50	0.3	-5	10631	0.1		
"Burkina Faso"	192	192	0	-17	-67	136	0.02	5	6109	0.05		
"Curaçao"	192	-158	0		296	163	0	-12		0.24		
"Austria"	179	-26615	0	-45	237	27	1	3	1514	0.18		
"Chile"	155	-1233	0	11	10	43	0.4	6	11582	0.13		
"Senegal"	146	-38	0	-38	-95	110	0.04	4	6632	0.05		
"Zambia"	128	-34	0	-27	-96	119	0.03	-9	5447	0.14		
"Gabon"	119	107	0	103	-65	158	0.01	-2	7114	0.11		
"Mauritius"	99	14	0	143	-62	133	0.02	-2	7320	0.08		
"Belarus"	94	-573	0	27	428	61	0.2	2	2268	0.23		
"Myanmar"	91	-24	0	-33	-15	79	0.10	-1	2536	0.25		
"Congo"	88	79	0	41	-21	154	0.01	-18	6851	0.07		
"Haiti"	84	84	0	-4		140	0.02	0	6340	0.18		
"Mauritania"	83	83	0			146	0.02	1	5817	0.07		
"Guatemala"	78	-168	0	-5	-81	68	0.1	7	5828	0.15		
"Palestine, State of"	69	62	0	-18		176	0	8	3026	0.1		
"Benin"	69	51	0		-79	149	0.01	-2	6481	0.07		
"Central African Republic"	66	66	0	49	181	199	0	7	6606	0.08		
"Slovakia"	62	-2171	0	-30	63	38	0.5	4	2664	0.07		
"Niger"	61	-157	0	-8	-89	162	0	13	5715	0.09		
"Chad"	57	43	0	-27	-95	184	0	13	6931	0.16		
"Paraguay"	51	51	0			92	0.06	0	7311	0.15		
"Peru"	51	-666	0	-51	15	54	0.2	3	10420	0.13		
"Macao, China"	48	48	0		-49	81	0.09	15		0.17		
"Cuba"	46	16	0			145	0.02	-13	7148	0.09		
"Gambia"	41	38	0	-10	288	167	0	7	8260	0.14		
"Congo, Democratic Republic of the"	38	-18	0	-11	-91	111	0.04	13	6479	0.14		
"Mongolia"	36	36	0			125	0.03	8	3267	0.22		
"Lesotho"	34	33	0	297	-79	164	0	-2	1590	0.78		
"Comoros"	28	28	0	226	-91	192	0	18	5731	0.22		
"Cambodia"	26	-195	0	-43	-97	66	0.1	16	2651	0.18		
"Cyprus"	25	-12052	0	-37	-95	105	0.05	-1	3118	0.09		
"Panama"	22	-48	0	-4	-8	60	0.2	1	8657	0.12		
"Eritrea"	17	1	0			203	0	-8	6303	0.14		
"Macedonia, North"	10	4	0			103	0.05	8	1348	0.09		
"Afghanistan"	9	9	0			147	0.02	-8	2990	0.12		
"Namibia"	8	-1	0	153	-97	126	0.03	-1	3757	0.37		
"Bosnia and Herzegovina"	8	-89	0	17	-91	94	0.06	3	2228	0.07		
"Barbados"	7	7	0			161	0	0	4992	0.21		
"Nepal"	6	-9	0	-46	96	96	0.06	8	1856	0.56		
"Liberia"	6	-67	0	119	-76	87	0.07	17	11608	0.19		
"Botswana"	5	0	0	5	-100	124	0.03	2	2968	0.52		
"Uruguay"	2	-317	0			95	0.06	0	9836	0.11		
"Burundi"	1	1	0	-75		188	0	13	4755	0.14		
"Colombia"	1	-1793	0			51	0.3	4	8915	0.13		
"Gibraltar"		-1				114	0.03	-5	2572	0.09		
"Nauru"		-1				211	0	18	6014	0.27		
"Turks and Caicos Islands"		-2				193	0	-3	3491	0.74		
"Cook Islands"		-2				206	0	-4	9417	0.22		
"Brunei Darussalam"		-3				109	0.04	26	5185	0.11		
"Jamaica"		-3				137	0.02	-2	6759	0.22		
"Armenia"		-4				131	0.02	6	3323	0.15		
"Antigua and Barbuda"		-4				174	0	1	6334	0.27		
"Suriname"		-5				173	0	1	9050	0.14		
"Bahamas"		-6				115	0.03	-8	6248	0.19		
"Cocos (Keeling) Islands"		-6				225	0	8		0.74		
"Saint Kitts and Nevis"		-7				201	0	-12	5440	0.41		
"United States Minor Outlying Islands"		-9				177	0	0		0.21		
"Faroe Islands"		-15				172	0	7	1404	0.27		
"El Salvador"		-21				88	0.07	9	4914	0.15		
"Saint Helena"		-26				217	0	6	7699	0.31		
"Marshall Islands"		-29				91	0.06	-1	7455	0.18		
"Honduras"		-33				99	0.05	4	6104	0.16		
"Cayman Islands"		-51				123	0.03	5	7522	0.35		
"Syrian Arab Republic"		-65				139	0.02	-3	2496	0.27		
"Ecuador"		-73				69	0.1	3	9174	0.12		
"Uzbekistan"		-92				74	0.1	16	3412	0.12		
"Costa Rica"		-129				86	0.08	3	6987	0.22		
"Belize"		-152				179	0	1	5006	0.18		
"Tokelau"		-159				226	0	-33	11566	0.22		
"New Caledonia"		-179				155	0.01	-1	11471	0.2		
"Turkmenistan"		-192				148	0.02	4	3495	0.15		
"Iceland"		-598				112	0.04	-1	4251	0.05		
"Malta"		-899				120	0.03	1	3249	0.08		
"Lao People's Democratic Republic"		-1234				129	0.02	-1	2572	0.28		
"Moldova, Republic of"		-2676				118	0.03	8	2317	0.08		
"Albania"		-3034				121	0.03	6	1886	0.13		
"Luxembourg"		-3184				71	0.1	3	1488	0.14		
"Kazakhstan"		-3692				58	0.2	6	3017	0.25		
"Serbia"		-21214				65	0.2	9	2497	0.06		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Nicaragua"						104	0.05	4	5888	0.1		
"Bolivia, Plurinational State of"						106	0.04	-3	7978	0.11		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Tajikistan"						142	0.02	9	2803	0.17		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Guyana"						144	0.02	13	11175	0.21		
"Maldives"						151	0.01	-3	4478	0.08		
"Montenegro"						152	0.01	0	2382	0.08		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"French Polynesia"						165	0	1	13300	0.24		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Aruba"						175	0	-3	4917	0.3		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Cabo Verde"						181	0	4	5196	0.21		
"Timor-Leste"						183	0	12	3988	0.22		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"South Sudan"						194	0	12		0.25		
"Guinea-Bissau"						195	0	2	5802	0.16		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Tonga"						202	0	4	5771	0.16		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
