Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Fiji's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Fiji (%)	
"World"	815336	-1300314	100	-6	-1		100	3				
"United States of America"	167226	-56214	20.5	-3	0	1	13.4	3	7938	0.08		
"Australia"	134577	-222997	16.5	-3	9	24	1.1	1	10262	0.1		
"New Zealand"	67124	-245594	8.2	-1	16	56	0.2	3	11141	0.09		
"Tonga"	47127	47079	5.8	-1	17	202	0	4	5771	0.16		
"China"	46199	-271992	5.7	-4	13	2	11.1	5	6416	0.04		
"Japan"	32536	-33054	4	-7	32	4	3.5	1	6256	0.09		
"Area Nes"	29242	28681	3.6	30	816							
"Vanuatu"	29225	23215	3.6	-2	3	198	0	-2	6248	0.13		
"Samoa"	28140	27987	3.5	4	10	197	0	-1	6816	0.13		
"Kiribati"	25620	24021	3.1	2	31	205	0	10	5936	0.13		
"Tuvalu"	17195	17129	2.1	5	32	204	0	17	6386	0.21		
"United States Minor Outlying Islands"	16048	15998	2	8	-32	177	0	0		0.21		
"Viet Nam"	14276	-7072	1.8	25	-16	19	1.5	8	3535	0.19		
"Korea, Republic of"	13790	-18749	1.7	29	278	9	2.8	4	5699	0.09		
"United Kingdom"	13464	5584	1.7	-2	-72	7	3.2	1	3930	0.06		
"Ship stores and bunkers"	11725	11725	1.4	-40	-83	75	0.1	-11		0.16		
"Papua New Guinea"	11683	6215	1.4	0	-23	143	0.02	-1	4973	0.17		
"Solomon Islands"	11246	10147	1.4	-3	-5	190	0	0	6301	0.17		
"Wallis and Futuna Islands"	10294	10293	1.3	0	2	218	0	7	10103	0.24		
"Cook Islands"	8318	8314	1	-14	0	206	0	-4	9417	0.22		
"Canada"	6326	3184	0.8	-9	61	14	2.2	1	5042	0.26		
"Marshall Islands"	5954	5528	0.7	44	52	91	0.06	-1	7455	0.18		
"French Polynesia"	5926	5924	0.7	-9	9	165	0	1	13300	0.24		
"New Caledonia"	5902	5097	0.7	-17	7	155	0.01	-1	11471	0.2		
"Nauru"	5868	5860	0.7	6	0	211	0	18	6014	0.27		
"Thailand"	5066	-51802	0.6	-20	8	23	1.2	2	4905	0.09		
"Jamaica"	4886	4833	0.6			137	0.02	-2	6759	0.22		
"Taipei, Chinese"	4753	-39844	0.6	-31	7	17	1.7	8	5007	0.1		
"Hong Kong, China"	4481	-32730	0.5	-17	49	5	3.3	3	2841	0.22		
"Dominican Republic"	3665	3649	0.4	44	227	67	0.1	5	6446	0.22		
"Singapore"	3401	-357803	0.4	-21	16	16	1.9	3	5773	0.07		
