Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Georgia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Georgia (%)	
"World"	3291376	-4405927	100	7	29		100	3				
"China"	598582	-227258	18.2	38	25	2	11.1	5	6416	0.04		
"Russian Federation"	566971	-423633	17.2	9	38	21	1.3	5	4187	0.09		
"Turkey"	309193	-1310287	9.4	6	73	22	1.2	3	4285	0.05		
"Bulgaria"	252264	81447	7.7	10	-19	57	0.2	6	2237	0.05		
"Ukraine"	202366	-195239	6.1	19	56	48	0.3	7	3255	0.06		
"United States of America"	190665	101254	5.8	2	144	1	13.4	3	7938	0.08		
"Armenia"	146171	83805	4.4	-1	48	131	0.02	6	3323	0.15		
"Azerbaijan"	112760	-479322	3.4	-9	34	98	0.05	5	3712	0.09		
"Spain"	89216	-19587	2.7	13	-7	15	1.9	3	3890	0.05		
"Switzerland"	73225	-10647	2.2	7	-24	20	1.5	4	3384	0.07		
"Kazakhstan"	68528	50042	2.1	16	89	58	0.2	6	3017	0.25		
"Germany"	65258	-272002	2	12	9	3	6.5	3	3376	0.05		
"Italy"	58364	-152530	1.8	-5	68	11	2.5	2	2891	0.06		
"Lithuania"	47300	9738	1.4	6	39	59	0.2	7	1630	0.07		
"Uzbekistan"	45900	19004	1.4	-9	7	74	0.1	16	3412	0.12		
"Belarus"	38617	-5460	1.2	0	8	61	0.2	2	2268	0.23		
"Romania"	32219	-136570	1	-24	58	37	0.5	6	1891	0.07		
"France"	32166	-138959	1	1	0	6	3.2	1	3195	0.06		
"Poland"	32145	-106297	1	18	23	18	1.5	8	3121	0.08		
"Georgia"	27301	20546	0.8	-10	144	113	0.04	-2	2513	0.09		
"Saudi Arabia"	27043	26486	0.8	74	44	32	0.7	3	5816	0.07		
"Netherlands"	16846	-101299	0.5	-21	31	8	2.8	5	3706	0.07		
"Japan"	16824	2046	0.5	22	7	4	3.5	1	6256	0.09		
"Iran, Islamic Republic of"	15749	-120772	0.5	-32	-14	72	0.1	-18	5612	0.13		
"Iraq"	15637	12410	0.5	-13	0	62	0.2	3	4107	0.18		
"Canada"	15470	4150	0.5	43	133	14	2.2	1	5042	0.26		
"United Kingdom"	13821	-48352	0.4	5	22	7	3.2	1	3930	0.06		
"Israel"	13096	3453	0.4	29	54	42	0.4	4	5483	0.07		
"Peru"	12560	12101	0.4	33	-17	54	0.2	3	10420	0.13		
"Moldova, Republic of"	9817	3240	0.3	38	16	118	0.03	8	2317	0.08		
"Latvia"	9322	-21965	0.3	5	9	77	0.1	7	1575	0.08		
"United Arab Emirates"	7434	-121728	0.2	-20	25	29	0.9	-2	5715	0.08		
"Tunisia"	7176	6987	0.2	33	107	78	0.10	-1	3411	0.06		
"Brazil"	6961	-51749	0.2	469	482	26	1	6	10879	0.09		
"Kyrgyzstan"	6923	4561	0.2	-12	72	127	0.03	1	2892	0.2		
"Korea, Republic of"	6576	-39572	0.2	-28	54	9	2.8	4	5699	0.09		
"Czech Republic"	6458	-82583	0.2	-2	-22	28	1	4	2987	0.1		
"Chile"	6195	4974	0.2	64	81	43	0.4	6	11582	0.13		
"Greece"	5329	-36671	0.2	15	24	45	0.3	4	2847	0.05		
"Belgium"	5295	-51993	0.2	-22	35	12	2.4	3	2709	0.08		
"Colombia"	5074	5004	0.2	50	27	51	0.3	4	8915	0.13		
"Turkmenistan"	4582	-193663	0.1	-37	-25	148	0.02	4	3495	0.15		
"Tanzania, United Republic of"	4078	4060	0.1	44	-33	102	0.05	7	6633	0.1		
"Egypt"	3790	-499	0.1	-41	7955	46	0.3	-1	5219	0.05		
"Tajikistan"	3503	3465	0.1	2	37	142	0.02	9	2803	0.17		
"Morocco"	3450	3377	0.1	12	-1	52	0.3	4	4316	0.07		
"Estonia"	3263	-4183	0.1	-5	-9	73	0.1	6	2314	0.06		
"Zimbabwe"	2785	2785	0.1	-10	17	134	0.02	7	3754	0.39		
"Libya, State of"	2620	2620	0.1	18	1086	89	0.07	12	3475	0.08		
"Taipei, Chinese"	2586	-7922	0.1	26	-29	17	1.7	8	5007	0.1		
"Mongolia"	2441	2416	0.1	19	88	125	0.03	8	3267	0.22		
"Kuwait"	2165	2111	0.1	8	4	76	0.1	-3	5837	0.07		
"Philippines"	1857	1650	0.1	41	795	34	0.6	2	4354	0.09		
"India"	1854	-60517	0.1	-33	-10	10	2.6	2	5793	0.05		
"Qatar"	1794	162	0.1	9	88	70	0.1	0	5745	0.06		
"Hong Kong, China"	1780	-88378	0.1	45	-18	5	3.3	3	2841	0.22		
"Denmark"	1650	-16177	0.1	-1	80	35	0.6	5	2182	0.08		
"Uruguay"	1602	-2060	0	100	182	95	0.06	0	9836	0.11		
"Burkina Faso"	1540	1540	0		124	136	0.02	5	6109	0.05		
"Australia"	1536	739	0	43	-76	24	1.1	1	10262	0.1		
"Singapore"	1511	-24772	0	-2	59	16	1.9	3	5773	0.07		
"Austria"	1453	-53634	0	-37	48	27	1	3	1514	0.18		
"Jordan"	1364	1065	0	116	16	84	0.08	0	5167	0.07		
"Hungary"	1281	-49650	0	10	-4	33	0.6	6	2180	0.09		
"Mexico"	1122	-3695	0	-27	44	13	2.3	2	7039	0.24		
"Lebanon"	1088	-678	0	7	493	97	0.06	-12	3592	0.06		
"Area Nes"	1075	-1517	0	131	-34							
