Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Ghana's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Ghana (%)	
"Total"	12751965	-5748889	100	0	7		100	3				
"Switzerland"	2451468	2417914	19.2	12	-20	20	1.5	4	3384	0.07		
"United States of America"	1779083	795868	14	20	134	1	13.4	3	7938	0.08		
"India"	1588943	489769	12.5	-20	32	10	2.6	2	5793	0.05		
"China"	1236512	-6128968	9.7	-11	-29	2	11.1	5	6416	0.04		
"Netherlands"	790316	-253377	6.2	-7	4	8	2.8	5	3706	0.07		
"South Africa"	546520	131335	4.3	49	15	41	0.4	-1	9230	0.07		
"Malaysia"	465615	-104693	3.7	15	127	25	1.1	3	5172	0.09		
"Italy"	340277	56943	2.7	13	109	11	2.5	2	2891	0.06		
"Germany"	336871	-84204	2.6	3	-1	3	6.5	3	3376	0.05		
"France"	324449	84512	2.5	-6	-6	6	3.2	1	3195	0.06		
"Spain"	295798	4450	2.3	5	45	15	1.9	3	3890	0.05		
"Belgium"	281309	-404826	2.2	17	19	12	2.4	3	2709	0.08		
"Burkina Faso"	276329	226023	2.2	12	5	136	0.02	5	6109	0.05		
"Thailand"	274882	129703	2.2	159	84	23	1.2	2	4905	0.09		
"Australia"	195860	102410	1.5	198	5	24	1.1	1	10262	0.1		
"United Kingdom"	182307	-369525	1.4	-14	-12	7	3.2	1	3930	0.06		
"Japan"	132050	-49150	1	-7	1	4	3.5	1	6256	0.09		
"Ukraine"	129941	-7048	1	-2	-3	48	0.3	7	3255	0.06		
"Turkey"	119283	-342568	0.9	12	-59	22	1.2	3	4285	0.05		
"Brazil"	119155	-199680	0.9	-15	84	26	1	6	10879	0.09		
"Singapore"	108078	29326	0.8	1	-13	16	1.9	3	5773	0.07		
"Canada"	81858	-215640	0.6	13	5	14	2.2	1	5042	0.26		
"Russian Federation"	80560	-85831	0.6	-1	9	21	1.3	5	4187	0.09		
"Senegal"	73801	49817	0.6	11	-32	110	0.04	4	6632	0.05		
"Togo"	72732	-21176	0.6	6	-40	153	0.01	10	7318	0.08		
"Poland"	57893	-86159	0.5	25	1	18	1.5	8	3121	0.08		
"Nigeria"	50761	-309557	0.4	2	-8	53	0.2	17	7792	0.1		
"Indonesia"	49290	-149303	0.4	31	157	30	0.9	2	5872	0.11		
"Hong Kong, China"	46062	-38069	0.4	72	-48	5	3.3	3	2841	0.22		
"Korea, Republic of"	37134	-260766	0.3	1	3	9	2.8	4	5699	0.09		
"Benin"	33671	31339	0.3	12	-11	149	0.01	-2	6481	0.07		
"Estonia"	23576	22793	0.2	-33	45	73	0.1	6	2314	0.06		
"Dominican Republic"	17970	17866	0.1	145	527	67	0.1	5	6446	0.22		
"Egypt"	15929	-112658	0.1	4	26	46	0.3	-1	5219	0.05		
"Tunisia"	10899	-11932	0.1	-2	-38	78	0.10	-1	3411	0.06		
"New Zealand"	9859	-12059	0.1	14	-8	56	0.2	3	11141	0.09		
"Ireland"	8652	-69251	0.1	25	90	36	0.5	4	3265	0.1		
"Belarus"	7288	5577	0.1	-26	71	61	0.2	2	2268	0.23		
"Israel"	7263	-16002	0.1	24	168	42	0.4	4	5483	0.07		
"Serbia"	6305	4187	0	-12	-4	65	0.2	9	2497	0.06		
"Bulgaria"	5913	3340	0	-26	-4	57	0.2	6	2237	0.05		
"Morocco"	5871	-126969	0	6	19	52	0.3	4	4316	0.07		
"Portugal"	5593	-23634	0	-28	-26	40	0.4	2	2788	0.14		
"Greece"	5128	-5181	0	-11	-32	45	0.3	4	2847	0.05		
"Kenya"	4452	-5845	0	20	107	80	0.09	2	6680	0.08		
"Angola"	4364	-1473	0	32	36	100	0.05	-11	7692	0.06		
