Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Grenada's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Grenada (%)	
"World"	35163	-411513	100	-1	43		100	3				
"Area Nes"	20171	19702	57.4	8	67							
"United States of America"	5899	-168637	16.8	-2	37	1	13.4	3	7938	0.08		
"Saint Vincent and the Grenadines"	1727	-1222	4.9	2	14	196	0	3	6798	0.14		
"Trinidad and Tobago"	1319	-75553	3.8	-13	-32	128	0.03	-1	6663	0.26		
"Saint Lucia"	819	-1847	2.3	-17	31	171	0	-10	5321	0.23		
"Panama"	751	-4776	2.1			60	0.2	1	8657	0.12		
"Barbados"	575	-10679	1.6	-12	-3	161	0	0	4992	0.21		
"Guyana"	551	-4369	1.6	2	15	144	0.02	13	11175	0.21		
"Canada"	504	-10041	1.4	82	65	14	2.2	1	5042	0.26		
"Antigua and Barbuda"	484	119	1.4	11	-38	174	0	1	6334	0.27		
"United Kingdom"	345	-17796	1	-27	14	7	3.2	1	3930	0.06		
"France"	235	-2554	0.7	-28	67	6	3.2	1	3195	0.06		
"China"	228	-11312	0.6	29	11300	2	11.1	5	6416	0.04		
"Dominica"	227	-1368	0.6	-20	54	185	0	8	4908	0.65		
"Italy"	201	-672	0.6	110	-26	11	2.5	2	2891	0.06		
"United Arab Emirates"	191	-1606	0.5		40	29	0.9	-2	5715	0.08		
"Ireland"	186	-811	0.5	93		36	0.5	4	3265	0.1		
"Jamaica"	113	-7699	0.3	-7	59	137	0.02	-2	6759	0.22		
"Gabon"	95	89	0.3			158	0.01	-2	7114	0.11		
"Belgium"	91	-1068	0.3	-52	-46	12	2.4	3	2709	0.08		
"Suriname"	75	-42	0.2	-4	56	173	0	1	9050	0.14		
"Colombia"	68	-2546	0.2		518	51	0.3	4	8915	0.13		
"Eswatini"	62	-405	0.2		107	160	0	1	1597	0.74		
"Saint Kitts and Nevis"	59	12	0.2	18	-78	201	0	-12	5440	0.41		
"Hong Kong, China"	34	-1264	0.1			5	3.3	3	2841	0.22		
"Belize"	28	-1011	0.1			179	0	1	5006	0.18		
"Japan"	20	-7449	0.1	7	233	4	3.5	1	6256	0.09		
"Cuba"	19	19	0.1			145	0.02	-13	7148	0.09		
"Bahamas"	17	-5	0	-23		115	0.03	-8	6248	0.19		
"Germany"	16	-2600	0	-54	-92	3	6.5	3	3376	0.05		
"Montserrat"	12	12	0	4		224	0	-7		0.49		
"Anguilla"	7	-718	0	-17		212	0	-5	4397	0.58		
"Denmark"	7	-913	0			35	0.6	5	2182	0.08		
"Russian Federation"	6	6	0			21	1.3	5	4187	0.09		
"Dominican Republic"	6	-5213	0	0	-93	67	0.1	5	6446	0.22		
"Australia"	5	-131	0	-35	150	24	1.1	1	10262	0.1		
"Netherlands"	5	-6711	0	-61	-86	8	2.8	5	3706	0.07		
"Switzerland"	3	-435	0		-57	20	1.5	4	3384	0.07		
"Ecuador"	1	-2	0			69	0.1	3	9174	0.12		
"South Africa"	1	-459	0			41	0.4	-1	9230	0.07		
"Oman"		-1				83	0.08	-6	5977	0.08		
"Poland"		-2				18	1.5	8	3121	0.08		
"Côte d'Ivoire"		-2				93	0.06	9	6793	0.08		
"Mauritius"		-2				133	0.02	-2	7320	0.08		
"Kenya"		-3				80	0.09	2	6680	0.08		
