Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Guatemala's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Guatemala (%)	
"World"	13594246	-13011715	100	5	19		100	3				
"United States of America"	4318604	-4739543	31.8	2	22	1	13.4	3	7938	0.08		
"El Salvador"	1730869	387429	12.7	7	32	88	0.07	9	4914	0.15		
"Honduras"	1399024	662424	10.3	9	37	99	0.05	4	6104	0.16		
"Nicaragua"	843901	659344	6.2	11	27	104	0.05	4	5888	0.1		
"Mexico"	592590	-2210672	4.4	2	28	13	2.3	2	7039	0.24		
"Costa Rica"	540914	-284116	4	5	21	86	0.08	3	6987	0.22		
"Netherlands"	403180	240186	3	2	17	8	2.8	5	3706	0.07		
"China"	333716	-3368469	2.5	67	40	2	11.1	5	6416	0.04		
"Panama"	296188	-405367	2.2	0	30	60	0.2	1	8657	0.12		
"Italy"	292159	108943	2.1	16	45	11	2.5	2	2891	0.06		
"Spain"	266328	-84841	2	29	35	15	1.9	3	3890	0.05		
"Dominican Republic"	198855	168238	1.5	6	24	67	0.1	5	6446	0.22		
"Canada"	182029	-64062	1.3	-2	-9	14	2.2	1	5042	0.26		
"Saudi Arabia"	157422	66424	1.2	18	-51	32	0.7	3	5816	0.07		
"Japan"	135130	-238011	1	1	-18	4	3.5	1	6256	0.09		
"Germany"	126702	-210240	0.9	-2	8	3	6.5	3	3376	0.05		
"Belize"	120664	106964	0.9	10	53	179	0	1	5006	0.18		
"Belgium"	107083	-152162	0.8	2	64	12	2.4	3	2709	0.08		
"United Kingdom"	94317	37724	0.7	-1	18	7	3.2	1	3930	0.06		
"Korea, Republic of"	90358	-320502	0.7	0	6	9	2.8	4	5699	0.09		
"Chile"	90084	-81443	0.7	-3	-5	43	0.4	6	11582	0.13		
"United Arab Emirates"	85244	57414	0.6	8	-52	29	0.9	-2	5715	0.08		
"Ecuador"	73640	-29009	0.5	10	57	69	0.1	3	9174	0.12		
"Taipei, Chinese"	68003	-163579	0.5	-1	4	17	1.7	8	5007	0.1		
"Ukraine"	67564	33221	0.5	14	38	48	0.3	7	3255	0.06		
"Côte d'Ivoire"	59286	59286	0.4	-15	146	93	0.06	9	6793	0.08		
"Colombia"	57859	-448693	0.4	0	34	51	0.3	4	8915	0.13		
"Peru"	51499	-49832	0.4	-11	10	54	0.2	3	10420	0.13		
"Brazil"	50095	-369413	0.4	5	24	26	1	6	10879	0.09		
"Finland"	42916	-11234	0.3	39	540	44	0.4	3	2842	0.07		
"Jamaica"	42625	41952	0.3	3	25	137	0.02	-2	6759	0.22		
"Haiti"	33858	33328	0.2	-2	-12	140	0.02	0	6340	0.18		
"Bangladesh"	31000	28997	0.2	10	-67	49	0.3	6	4172	0.15		
"Egypt"	27768	1589	0.2	35	-76	46	0.3	-1	5219	0.05		
"Malaysia"	27348	-56937	0.2	-9	-18	25	1.1	3	5172	0.09		
"Jordan"	26873	26083	0.2	13	93	84	0.08	0	5167	0.07		
"France"	24985	-55386	0.2	-4	-17	6	3.2	1	3195	0.06		
"Libya, State of"	24350	24349	0.2	-38	10626	89	0.07	12	3475	0.08		
"Poland"	23046	7239	0.2	18	90	18	1.5	8	3121	0.08		
"Israel"	21991	-19036	0.2	28	17	42	0.4	4	5483	0.07		
"Australia"	21120	16296	0.2	13	61	24	1.1	1	10262	0.1		
"Pakistan"	20353	11837	0.1	-2	-29	47	0.3	2	4850	0.11		
"Switzerland"	19205	-11328	0.1	51	267	20	1.5	4	3384	0.07		
"Trinidad and Tobago"	18532	13338	0.1	-5	-6	128	0.03	-1	6663	0.26		
"Russian Federation"	18523	-220518	0.1	7	-34	21	1.3	5	4187	0.09		
"Singapore"	17668	-60917	0.1	14	-5	16	1.9	3	5773	0.07		
"Hong Kong, China"	17534	-307237	0.1	-3	-9	5	3.3	3	2841	0.22		
"India"	17359	-523819	0.1	4	-11	10	2.6	2	5793	0.05		
"Turkey"	17346	-116260	0.1	54	-58	22	1.2	3	4285	0.05		
"United States Minor Outlying Islands"	16569	16567	0.1	11	1	177	0	0		0.21		
"Ghana"	15728	15374	0.1	-3	2	82	0.08	8	8888	0.18		
"Greece"	14515	2121	0.1	6	247	45	0.3	4	2847	0.05		
"Syrian Arab Republic"	14022	14022	0.1	8	82	139	0.02	-3	2496	0.27		
"Venezuela, Bolivarian Republic of"	13290	-110654	0.1	-13	8	117	0.03	-11	8121	0.16		
"New Zealand"	11813	-17830	0.1	-9	-44	56	0.2	3	11141	0.09		
"Sweden"	11635	-11526	0.1	11	66	31	0.9	3	2128	0.07		
"Thailand"	10080	-142513	0.1	23	318	23	1.2	2	4905	0.09		
"Kuwait"	9373	9373	0.1	2	-44	76	0.1	-3	5837	0.07		
"Guyana"	9056	8670	0.1	10	44	144	0.02	13	11175	0.21		
"Norway"	8833	-15124	0.1	-5	0	39	0.5	3	3470	0.06		
"Bahamas"	8469	-4912	0.1	-4	80	115	0.03	-8	6248	0.19		
"Congo, Democratic Republic of the"	8062	8062	0.1	-6	25	111	0.04	13	6479	0.14		
"Morocco"	7925	7371	0.1	11	5	52	0.3	4	4316	0.07		
"Mauritania"	7575	7575	0.1	1	-53	146	0.02	1	5817	0.07		
"Cuba"	7254	6911	0.1	-38	-17	145	0.02	-13	7148	0.09		
"Bolivia, Plurinational State of"	6521	6119	0	32	11	106	0.04	-3	7978	0.11		
"Qatar"	5867	841	0	20	-42	70	0.1	0	5745	0.06		
"South Africa"	5663	-6775	0	-26	15	41	0.4	-1	9230	0.07		
"Suriname"	4657	4657	0	-3	-12	173	0	1	9050	0.14		
"Philippines"	4506	1965	0	32	-21	34	0.6	2	4354	0.09		
"Iraq"	4303	4303	0	-18	-44	62	0.2	3	4107	0.18		
"Argentina"	3945	-263224	0	-3	123	50	0.3	-5	10631	0.1		
"Togo"	3792	3792	0	-28	9	153	0.01	10	7318	0.08		
"Slovenia"	3539	2470	0	212	103	55	0.2	10	2404	0.07		
"Romania"	3242	-5777	0	4	-4	37	0.5	6	1891	0.07		
"Uruguay"	2731	-111488	0	29	142	95	0.06	0	9836	0.11		
"Lebanon"	2646	2612	0	0	-48	97	0.06	-12	3592	0.06		
"Oman"	2632	-4671	0	37	-3	83	0.08	-6	5977	0.08		
"Barbados"	2544	2540	0	7	-47	161	0	0	4992	0.21		
"Portugal"	2425	-26476	0	19	-67	40	0.4	2	2788	0.14		
