Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Guinea's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Guinea (%)	
"Total"	7286055	2384256	100	23	39		100	3				
"India"	3446687	2850681	47.3	61	242	10	2.6	2	5793	0.05		
"China"	2589998	599025	35.5	12	5	2	11.1	5	6416	0.04		
"Switzerland"	240505	234723	3.3	93	-13	20	1.5	4	3384	0.07		
"Spain"	191908	123877	2.6	10	-3	15	1.9	3	3890	0.05		
"Ukraine"	140426	121255	1.9	10	-3	48	0.3	7	3255	0.06		
"Ireland"	115473	96250	1.6	-5	-17	36	0.5	4	3265	0.1		
"Germany"	111931	-23804	1.5	6	-25	3	6.5	3	3376	0.05		
"Russian Federation"	102491	48099	1.4	303	5	21	1.3	5	4187	0.09		
"Canada"	62756	35143	0.9	9	37	14	2.2	1	5042	0.26		
"Korea, Republic of"	59040	6422	0.8	3	-23	9	2.8	4	5699	0.09		
"France"	50487	-126295	0.7	-17	-11	6	3.2	1	3195	0.06		
"Netherlands"	45223	-82113	0.6	82	134	8	2.8	5	3706	0.07		
"Malaysia"	16525	-18893	0.2	14	-26	25	1.1	3	5172	0.09		
"Belgium"	14497	-229496	0.2	15	-94	12	2.4	3	2709	0.08		
"Turkey"	12503	-211246	0.2	2	-92	22	1.2	3	4285	0.05		
"Nigeria"	11174	2876	0.2	37	-73	53	0.2	17	7792	0.1		
"United States of America"	11138	-140696	0.2	-10	5	1	13.4	3	7938	0.08		
"Greece"	8002	6769	0.1	302	35	45	0.3	4	2847	0.05		
"Poland"	6620	-34126	0.1	2	107	18	1.5	8	3121	0.08		
"Morocco"	5995	-91064	0.1	-22	-24	52	0.3	4	4316	0.07		
"Japan"	5963	-2652	0.1	28	424	4	3.5	1	6256	0.09		
"Italy"	5652	-82882	0.1	9	50	11	2.5	2	2891	0.06		
"Indonesia"	4851	-81368	0.1	25	882	30	0.9	2	5872	0.11		
"Hong Kong, China"	4089	-48573	0.1	-6	234	5	3.3	3	2841	0.22		
"Sweden"	3640	-6977	0	181	121233	31	0.9	3	2128	0.07		
"Senegal"	2870	-132203	0	-23	25	110	0.04	4	6632	0.05		
"Thailand"	2757	-15751	0	-26	789	23	1.2	2	4905	0.09		
"United Kingdom"	1846	-27133	0	34	581	7	3.2	1	3930	0.06		
"Brazil"	1839	-81711	0	-15	-85	26	1	6	10879	0.09		
"Norway"	1299	-589	0	213	61	39	0.5	3	3470	0.06		
"South Africa"	1286	-44684	0	-33	108	41	0.4	-1	9230	0.07		
"Romania"	856	538	0	8	27	37	0.5	6	1891	0.07		
"Tunisia"	855	-29010	0	80	-65	78	0.10	-1	3411	0.06		
"Burkina Faso"	659	-6537	0	27	440	136	0.02	5	6109	0.05		
"Angola"	642	-620	0	72	149	100	0.05	-11	7692	0.06		
"Belarus"	471	201	0	-82	1863	61	0.2	2	2268	0.23		
"Bulgaria"	425	-338	0		84	57	0.2	6	2237	0.05		
"Benin"	289	244	0	-23	-42	149	0.01	-2	6481	0.07		
"Singapore"	270	-15641	0	-13	-39	16	1.9	3	5773	0.07		
"Egypt"	267	-22340	0	-61	64	46	0.3	-1	5219	0.05		
"New Zealand"	262	-463	0	15	-13	56	0.2	3	11141	0.09		
"Mauritania"	180	-2808	0	-15	-85	146	0.02	1	5817	0.07		
"Taipei, Chinese"	157	-16458	0	-34	-41	17	1.7	8	5007	0.1		
"Congo"	148	133	0	-5	4	154	0.01	-18	6851	0.07		
"Saudi Arabia"	136	-38838	0		53	32	0.7	3	5816	0.07		
"Czech Republic"	121	-3050	0	15	-86	28	1	4	2987	0.1		
"Australia"	117	-4830	0	3	29	24	1.1	1	10262	0.1		
"Estonia"	90	59	0			73	0.1	6	2314	0.06		
"Cyprus"	81	-668	0			105	0.05	-1	3118	0.09		
"Bosnia and Herzegovina"	73	73	0	154	-62	94	0.06	3	2228	0.07		
"Mauritius"	72	72	0	-2	165	133	0.02	-2	7320	0.08		
"Pakistan"	56	-24015	0	-70	-87	47	0.3	2	4850	0.11		
"Luxembourg"	52	-3552	0	74	643	71	0.1	3	1488	0.14		
"Israel"	42	-12	0	1	250	42	0.4	4	5483	0.07		
"Portugal"	39	-19980	0	-34	-91	40	0.4	2	2788	0.14		
"Mozambique"	35	35	0	57	11	108	0.04	8	6196	0.1		
"Kenya"	25	-524	0	-41	1189	80	0.09	2	6680	0.08		
"Ethiopia"	25	-672	0	123	231	90	0.07	1	6305	0.11		
"Denmark"	21	-13499	0	47	-67	35	0.6	5	2182	0.08		
"Serbia"	19	4	0	-16	-13	65	0.2	9	2497	0.06		
"Slovakia"	15	-2141	0	66	114	38	0.5	4	2664	0.07		
