Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Guyana's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Guyana (%)	
"World"	4243572	97187	100	27	51		100	3				
"United States of America"	1780744	958659	42	64	124	1	13.4	3	7938	0.08		
"Singapore"	698153	-965383	16.5	372	456	16	1.9	3	5773	0.07		
"United Arab Emirates"	292687	286800	6.9	48	65	29	0.9	-2	5715	0.08		
"United Kingdom"	292475	217568	6.9	25	246	7	3.2	1	3930	0.06		
"Canada"	281739	255463	6.6	-7	-33	14	2.2	1	5042	0.26		
"Barbados"	280215	249054	6.6	126	105	161	0	0	4992	0.21		
"India"	148350	90900	3.5	186	3220	10	2.6	2	5793	0.05		
"Trinidad and Tobago"	101047	-231237	2.4	2	-64	128	0.03	-1	6663	0.26		
"Venezuela, Bolivarian Republic of"	64793	50630	1.5	85	-31	117	0.03	-11	8121	0.16		
"Jamaica"	47658	33772	1.1	0	-77	137	0.02	-2	6759	0.22		
"Colombia"	42627	20099	1	236	35	51	0.3	4	8915	0.13		
"Portugal"	32391	31351	0.8	26	15	40	0.4	2	2788	0.14		
"Germany"	26244	9421	0.6	-11	2	3	6.5	3	3376	0.05		
"Netherlands"	20425	-28291	0.5	12	-17	8	2.8	5	3706	0.07		
"Italy"	14110	-17119	0.3	39	-76	11	2.5	2	2891	0.06		
"Saint Vincent and the Grenadines"	11200	10984	0.3	2	211	196	0	3	6798	0.14		
"China"	9986	-268324	0.2	-1	-92	2	11.1	5	6416	0.04		
"Suriname"	8580	-65193	0.2	-10	21	173	0	1	9050	0.14		
"France"	7667	-6681	0.2	-8	-51	6	3.2	1	3195	0.06		
"Dominica"	7660	6592	0.2	26	295	185	0	8	4908	0.65		
"Poland"	7534	-2854	0.2	337	-24	18	1.5	8	3121	0.08		
"Saint Lucia"	7456	-939	0.2	3	88	171	0	-10	5321	0.23		
"Spain"	7155	-12942	0.2	-25	-4	15	1.9	3	3890	0.05		
"Dominican Republic"	6463	-18318	0.2	-13	9	67	0.1	5	6446	0.22		
"Mexico"	5516	-28597	0.1	-45	49	13	2.3	2	7039	0.24		
"Austria"	4748	4348	0.1	875	207	27	1	3	1514	0.18		
"Belgium"	3276	-7832	0.1	-49	-77	12	2.4	3	2709	0.08		
"Grenada"	2900	2320	0.1	-10	-8	191	0	-1	4157	0.2		
"Turkey"	2320	-59163	0.1			22	1.2	3	4285	0.05		
"Antigua and Barbuda"	2202	-5696	0.1	-19	9	174	0	1	6334	0.27		
"Honduras"	1871	1779	0	18	71	99	0.05	4	6104	0.16		
"Japan"	1802	-105209	0	-25	9	4	3.5	1	6256	0.09		
"New Zealand"	1693	-17349	0	3	51	56	0.2	3	11141	0.09		
"Haiti"	1533	1532	0	-21	-65	140	0.02	0	6340	0.18		
"Slovenia"	1499	1466	0			55	0.2	10	2404	0.07		
"Hong Kong, China"	1403	-27106	0	-37	-54	5	3.3	3	2841	0.22		
"Brazil"	1195	-44154	0	11	-94	26	1	6	10879	0.09		
"Saint Kitts and Nevis"	1149	985	0	-13	4	201	0	-12	5440	0.41		
"Mauritius"	1038	1038	0	48	642	133	0.02	-2	7320	0.08		
"Czech Republic"	886	182	0	189	100	28	1	4	2987	0.1		
"Belize"	790	-1357	0	-21	113	179	0	1	5006	0.18		
"Croatia"	631	622	0	1346		63	0.2	6	1362	0.07		
"Thailand"	615	-11784	0	3	42	23	1.2	2	4905	0.09		
"Panama"	556	-33239	0	-73	-98	60	0.2	1	8657	0.12		
"British Virgin Islands"	532	429	0	-19	-33	156	0.01	8	7242	0.27		
"Costa Rica"	493	-15936	0	14	177	86	0.08	3	6987	0.22		
"Saudi Arabia"	488	174	0	-13	468	32	0.7	3	5816	0.07		
"Ghana"	486	148	0			82	0.08	8	8888	0.18		
"Slovakia"	438	248	0			38	0.5	4	2664	0.07		
"Romania"	432	387	0		61	37	0.5	6	1891	0.07		
"Bangladesh"	407	267	0	12	99	49	0.3	6	4172	0.15		
"Ecuador"	331	133	0	-6	-16	69	0.1	3	9174	0.12		
"Greece"	330	-1912	0	-32	-74	45	0.3	4	2847	0.05		
"Peru"	321	-7439	0	48	-77	54	0.2	3	10420	0.13		
"Viet Nam"	315	-2176	0	-51	22	19	1.5	8	3535	0.19		
"Philippines"	289	236	0	10	9	34	0.6	2	4354	0.09		
"Sint Maarten (Dutch part)"	285	195	0		79	213	0	-7		0.43		
"Australia"	279	-4177	0	-7	-23	24	1.1	1	10262	0.1		
"French Polynesia"	249	249	0	-5	485	165	0	1	13300	0.24		
"Guatemala"	241	-11554	0	-4	-52	68	0.1	7	5828	0.15		
"Anguilla"	238	238	0	-2	278	212	0	-5	4397	0.58		
"French Southern and Antarctic Territories"	226	225	0	46		214	0	14		0.12		
"Korea, Republic of"	200	-26825	0	-37	-21	9	2.8	4	5699	0.09		
"Hungary"	195	-220	0		223	33	0.6	6	2180	0.09		
"Cayman Islands"	175	171	0	-34	37	123	0.03	5	7522	0.35		
"Jordan"	170	138	0	29	660	84	0.08	0	5167	0.07		
"Latvia"	164	154	0			77	0.1	7	1575	0.08		
"Cuba"	141	-227	0	-73	416	145	0.02	-13	7148	0.09		
"United States Minor Outlying Islands"	120	-25	0	15	-67	177	0	0		0.21		
"Lithuania"	119	-3004	0		-57	59	0.2	7	1630	0.07		
"Bahamas"	115	-523	0	39	-100	115	0.03	-8	6248	0.19		
"Norway"	107	-3964	0	201	-12	39	0.5	3	3470	0.06		
"Curaçao"	94	-8763	0	-58	214	163	0	-12		0.24		
"El Salvador"	85	-4917	0		-58	88	0.07	9	4914	0.15		
"Pakistan"	76	-997	0	-42	1050	47	0.3	2	4850	0.11		
"Taipei, Chinese"	71	-4000	0	-10	-74	17	1.7	8	5007	0.1		
"Senegal"	56	-163	0		174	110	0.04	4	6632	0.05		
"Denmark"	55	-4916	0	37	-58	35	0.6	5	2182	0.08		
"Montserrat"	44	44	0	-4	-17	224	0	-7		0.49		
"Ireland"	40	-3680	0	-72	-14	36	0.5	4	3265	0.1		
"Estonia"	32	-82	0		-16	73	0.1	6	2314	0.06		
"Sri Lanka"	27	-213	0	170		85	0.08	-3	4351	0.16		
"Korea, Democratic People's Republic of"	17	5	0		-75	200	0	-49	1470	0.87		
"Russian Federation"	16	-1778	0	160	-100	21	1.3	5	4187	0.09		
"Lebanon"	13	13	0	-52	-84	97	0.06	-12	3592	0.06		
"Qatar"	13	-1304	0			70	0.1	0	5745	0.06		
"Indonesia"	12	-3265	0	164	-100	30	0.9	2	5872	0.11		
"Malaysia"	11	-6927	0	-50	292	25	1.1	3	5172	0.09		
"Kuwait"	9	-5766	0	24	-84	76	0.1	-3	5837	0.07		
"Oman"	7	-78	0		-72	83	0.08	-6	5977	0.08		
"Finland"	6	-4307	0			44	0.4	3	2842	0.07		
"Morocco"	4	-94	0		66	52	0.3	4	4316	0.07		
"Namibia"	3	-34	0			126	0.03	-1	3757	0.37		
"Argentina"	3	-2703	0	-12	-54	50	0.3	-5	10631	0.1		
"Guinea"	2	-2	0		-100	135	0.02	7	9140	0.19		
"Nigeria"	2	-36	0	174	-94	53	0.2	17	7792	0.1		
"Bolivia, Plurinational State of"	2	-147	0		-96	106	0.04	-3	7978	0.11		
"South Africa"	1	-274	0	-70		41	0.4	-1	9230	0.07		
"Albania"		-1				121	0.03	6	1886	0.13		
"New Caledonia"		-1				155	0.01	-1	11471	0.2		
"Niger"		-1				162	0	13	5715	0.09		
"Pitcairn"		-1				227	0	-5		0.23		
"Mozambique"		-2				108	0.04	8	6196	0.1		
"Andorra"		-3				166	0	2	610	0.52		
"British Indian Ocean Territory"		-6				219	0	-9		0.67		
"Tokelau"		-7				226	0	-33	11566	0.22		
"Bosnia and Herzegovina"		-8				94	0.06	3	2228	0.07		
"Madagascar"		-9				138	0.02	2	7339	0.08		
"Bermuda"		-10				169	0	-3	8006	0.28		
"Macedonia, North"		-16				103	0.05	8	1348	0.09		
"Turks and Caicos Islands"		-18				193	0	-3	3491	0.74		
"Serbia"		-20				65	0.2	9	2497	0.06		
"Cameroon"		-21				116	0.03	8	7279	0.14		
"Côte d'Ivoire"		-22				93	0.06	9	6793	0.08		
"Cambodia"		-28				66	0.1	16	2651	0.18		
"Iran, Islamic Republic of"		-37				72	0.1	-18	5612	0.13		
"Gibraltar"		-37				114	0.03	-5	2572	0.09		
"Samoa"		-43				197	0	-1	6816	0.13		
"Gabon"		-47				158	0.01	-2	7114	0.11		
"Syrian Arab Republic"		-50				139	0.02	-3	2496	0.27		
"Malta"		-72				120	0.03	1	3249	0.08		
"Georgia"		-84				113	0.04	-2	2513	0.09		
"Iceland"		-120				112	0.04	-1	4251	0.05		
"Belarus"		-145				61	0.2	2	2268	0.23		
"Tunisia"		-155				78	0.10	-1	3411	0.06		
