Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Haiti's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Haiti (%)	
"Total"	1383144	-2972896	100	2	32		100	3				
"United States of America"	1144188	-207557	82.7	2	33	1	13.4	3	7938	0.08		
"Canada"	57608	-6968	4.2	13	5	14	2.2	1	5042	0.26		
"Mexico"	47785	22279	3.5	20	88	13	2.3	2	7039	0.24		
"India"	20373	-83660	1.5	27	66	10	2.6	2	5793	0.05		
"Thailand"	16607	7598	1.2	23	90	23	1.2	2	4905	0.09		
"France"	14451	-35083	1	-13	9	6	3.2	1	3195	0.06		
"Hong Kong, China"	14318	-35670	1	39	1273	5	3.3	3	2841	0.22		
"United Kingdom"	8156	-4598	0.6	-6	22	7	3.2	1	3930	0.06		
"Spain"	5461	-14432	0.4	-7	1	15	1.9	3	3890	0.05		
"Belgium"	4856	-19001	0.4	-20	-8	12	2.4	3	2709	0.08		
"Japan"	4428	-23573	0.3	5	48	4	3.5	1	6256	0.09		
"Dominican Republic"	4327	-953656	0.3	-43	-20	67	0.1	5	6446	0.22		
"Poland"	4302	-5216	0.3	72	2106	18	1.5	8	3121	0.08		
"China"	4145	-710737	0.3	-19	37	2	11.1	5	6416	0.04		
"Taipei, Chinese"	4141	-46932	0.3	-4	-10	17	1.7	8	5007	0.1		
"Korea, Republic of"	3750	-81285	0.3	14	10	9	2.8	4	5699	0.09		
"Netherlands"	3250	-40636	0.2	18	-12	8	2.8	5	3706	0.07		
"Germany"	3167	-46325	0.2	-4	6	3	6.5	3	3376	0.05		
"Switzerland"	2923	-15486	0.2	-19	-22	20	1.5	4	3384	0.07		
"Australia"	1764	1570	0.1	-5	8	24	1.1	1	10262	0.1		
"Italy"	1602	-11330	0.1	0	6	11	2.5	2	2891	0.06		
"Chile"	1476	-4539	0.1	14	3	43	0.4	6	11582	0.13		
"Nicaragua"	1144	-9995	0.1	48	240	104	0.05	4	5888	0.1		
"Turkey"	1004	-138932	0.1	40	42	22	1.2	3	4285	0.05		
"Brazil"	974	-65437	0.1	-5	-12	26	1	6	10879	0.09		
"Singapore"	954	561	0.1	5	8	16	1.9	3	5773	0.07		
"New Zealand"	823	658	0.1	9	52	56	0.2	3	11141	0.09		
"Guatemala"	530	-33328	0	-23	318	68	0.1	7	5828	0.15		
"Malaysia"	513	-7951	0	17	-63	25	1.1	3	5172	0.09		
"Slovakia"	477	473	0	13	-30	38	0.5	4	2664	0.07		
"Colombia"	386	-60938	0	1	-90	51	0.3	4	8915	0.13		
"Russian Federation"	325	-21942	0	13	60	21	1.3	5	4187	0.09		
"Austria"	253	-1874	0	4	47	27	1	3	1514	0.18		
"Saudi Arabia"	194	-1895	0	-13	8	32	0.7	3	5816	0.07		
"Lao People's Democratic Republic"	179	179	0	9	231	129	0.02	-1	2572	0.28		
"Czech Republic"	168	-8	0	7	8	28	1	4	2987	0.1		
"Ukraine"	161	-36428	0	60	102	48	0.3	7	3255	0.06		
"Finland"	156	-1099	0	-1	-6	44	0.4	3	2842	0.07		
"Indonesia"	140	-129154	0	-15	39	30	0.9	2	5872	0.11		
"Senegal"	133	-2701	0	-17	-95	110	0.04	4	6632	0.05		
"Denmark"	128	-2297	0	5	205	35	0.6	5	2182	0.08		
"Argentina"	126	-10535	0	-10	-15	50	0.3	-5	10631	0.1		
"Norway"	98	-5718	0	26	-11	39	0.5	3	3470	0.06		
"El Salvador"	98	-18764	0	39	-58	88	0.07	9	4914	0.15		
"Peru"	96	-58543	0	-12	115	54	0.2	3	10420	0.13		
"Slovenia"	94	-617	0	-15	276	55	0.2	10	2404	0.07		
"Cambodia"	90	-113	0	94		66	0.1	16	2651	0.18		
"Portugal"	88	-2418	0	38	14	40	0.4	2	2788	0.14		
"Ireland"	67	-2798	0	49	56	36	0.5	4	3265	0.1		
"Israel"	64	-534	0	8		42	0.4	4	5483	0.07		
"South Africa"	59	-827	0	2	-59	41	0.4	-1	9230	0.07		
"Ecuador"	59	-1069	0	27	121	69	0.1	3	9174	0.12		
"Sweden"	51	-636	0	-17	-39	31	0.9	3	2128	0.07		
"Iceland"	46	46	0	-18	-31	112	0.04	-1	4251	0.05		
"Serbia"	39	39	0	-14	18	65	0.2	9	2497	0.06		
"Paraguay"	38	-121	0		294	92	0.06	0	7311	0.15		
"Honduras"	38	-16731	0	-20	-6	99	0.05	4	6104	0.16		
"Mauritius"	37	37	0	66	148	133	0.02	-2	7320	0.08		
"Greece"	35	15	0		-44	45	0.3	4	2847	0.05		
"Barbados"	32	-850	0	-20	72	161	0	0	4992	0.21		
"Romania"	27	-20	0	31	12	37	0.5	6	1891	0.07		
"Lithuania"	18	-9639	0	76	157	59	0.2	7	1630	0.07		
"Luxembourg"	16	-157	0	26	220	71	0.1	3	1488	0.14		
"Bosnia and Herzegovina"	15	15	0	-26	-42	94	0.06	3	2228	0.07		
"Zambia"	14	11	0	311		119	0.03	-9	5447	0.14		
"Pakistan"	14	-5632	0	-48	-57	47	0.3	2	4850	0.11		
"Belarus"	12	12	0	10	0	61	0.2	2	2268	0.23		
"Egypt"	9	-4546	0	56	-96	46	0.3	-1	5219	0.05		
"Estonia"	7	-39	0	-37	75	73	0.1	6	2314	0.06		
"Azerbaijan"	6	6	0			98	0.05	5	3712	0.09		
"Mauritania"	5	5	0			146	0.02	1	5817	0.07		
"Bolivia, Plurinational State of"	4	-45	0	-38	-71	106	0.04	-3	7978	0.11		
"Philippines"	4	-264	0	-58		34	0.6	2	4354	0.09		
"Mozambique"	3	3	0		-85	108	0.04	8	6196	0.1		
"Armenia"	3	3	0	25		131	0.02	6	3323	0.15		
"Nigeria"	2	2	0			53	0.2	17	7792	0.1		
"Latvia"	2	-39	0		0	77	0.1	7	1575	0.08		
"Angola"	1	1	0	-52		100	0.05	-11	7692	0.06		
"Montenegro"	1	1	0	7		152	0.01	0	2382	0.08		
"Tunisia"	1	-36	0	-26		78	0.10	-1	3411	0.06		
"Cyprus"	1	-58	0			105	0.05	-1	3118	0.09		
"Croatia"	1	-139	0	-56		63	0.2	6	1362	0.07		
"Kenya"	1	-199	0	-51		80	0.09	2	6680	0.08		
"Belize"	1	-466	0			179	0	1	5006	0.18		
"Morocco"	1	-1307	0	-35		52	0.3	4	4316	0.07		
"Guyana"	1	-1532	0	-68		144	0.02	13	11175	0.21		
"Malta"		-3				120	0.03	1	3249	0.08		
"Burkina Faso"		-8				136	0.02	5	6109	0.05		
"Togo"		-53				153	0.01	10	7318	0.08		
"Ethiopia"		-84				90	0.07	1	6305	0.11		
"Bulgaria"		-125				57	0.2	6	2237	0.05		
"Hungary"		-1080				33	0.6	6	2180	0.09		
"Viet Nam"						19	1.5	8	3535	0.19		
"United Arab Emirates"						29	0.9	-2	5715	0.08		
"Bangladesh"						49	0.3	6	4172	0.15		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Panama"						60	0.2	1	8657	0.12		
"Iraq"						62	0.2	3	4107	0.18		
"Algeria"						64	0.2	-8	4584	0.07		
"Qatar"						70	0.1	0	5745	0.06		
"Iran, Islamic Republic of"						72	0.1	-18	5612	0.13		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Kuwait"						76	0.1	-3	5837	0.07		
"Myanmar"						79	0.10	-1	2536	0.25		
"Macao, China"						81	0.09	15		0.17		
"Ghana"						82	0.08	8	8888	0.18		
"Oman"						83	0.08	-6	5977	0.08		
"Jordan"						84	0.08	0	5167	0.07		
"Sri Lanka"						85	0.08	-3	4351	0.16		
"Costa Rica"						86	0.08	3	6987	0.22		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Côte d'Ivoire"						93	0.06	9	6793	0.08		
"Uruguay"						95	0.06	0	9836	0.11		
"Nepal"						96	0.06	8	1856	0.56		
"Lebanon"						97	0.06	-12	3592	0.06		
"Bahrain"						101	0.05	1	6359	0.08		
"Tanzania, United Republic of"						102	0.05	7	6633	0.1		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Yemen"						107	0.04	11	5706	0.11		
"Brunei Darussalam"						109	0.04	26	5185	0.11		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Georgia"						113	0.04	-2	2513	0.09		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Venezuela, Bolivarian Republic of"						117	0.03	-11	8121	0.16		
"Moldova, Republic of"						118	0.03	8	2317	0.08		
"Albania"						121	0.03	6	1886	0.13		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Mongolia"						125	0.03	8	3267	0.22		
"Namibia"						126	0.03	-1	3757	0.37		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Trinidad and Tobago"						128	0.03	-1	6663	0.26		
"Djibouti"						130	0.02	5	6387	0.22		
"Uganda"						132	0.02	11	5788	0.09		
"Zimbabwe"						134	0.02	7	3754	0.39		
"Guinea"						135	0.02	7	9140	0.19		
"Jamaica"						137	0.02	-2	6759	0.22		
"Madagascar"						138	0.02	2	7339	0.08		
"Syrian Arab Republic"						139	0.02	-3	2496	0.27		
"Mali"						141	0.02	9	5008	0.1		
"Tajikistan"						142	0.02	9	2803	0.17		
