Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Honduras's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Honduras (%)	
"World"	4975949	-6655054	100	-1	7		100	3				
"United States of America"	2155135	-1839643	43.3	0	10	1	13.4	3	7938	0.08		
"Germany"	331782	144904	6.7	-4	18	3	6.5	3	3376	0.05		
"El Salvador"	295852	-219701	5.9	2	-15	88	0.07	9	4914	0.15		
"Guatemala"	226343	-423937	4.5	2	-11	68	0.1	7	5828	0.15		
"Nicaragua"	215641	122525	4.3	3	-14	104	0.05	4	5888	0.1		
"Honduras"	205732	118087	4.1	-69		99	0.05	4	6104	0.16		
"Belgium"	187983	153356	3.8	-18	56	12	2.4	3	2709	0.08		
"Netherlands"	171196	134422	3.4	-6	-28	8	2.8	5	3706	0.07		
"United Kingdom"	133366	101892	2.7	12	18	7	3.2	1	3930	0.06		
"Mexico"	129754	-749158	2.6	18	33	13	2.3	2	7039	0.24		
"Costa Rica"	120584	-296727	2.4	7	13	86	0.08	3	6987	0.22		
"France"	83112	16439	1.7	10	27	6	3.2	1	3195	0.06		
"Taipei, Chinese"	74011	-10653	1.5	19	-25	17	1.7	8	5007	0.1		
"Italy"	65255	-20576	1.3	1	-44	11	2.5	2	2891	0.06		
"Canada"	61713	-7390	1.2	14	21	14	2.2	1	5042	0.26		
"Korea, Republic of"	56851	-50048	1.1	19	210	9	2.8	4	5699	0.09		
"Dominican Republic"	45374	27979	0.9	10	-56	67	0.1	5	6446	0.22		
"Switzerland"	45264	16038	0.9	60	215	20	1.5	4	3384	0.07		
"Spain"	44889	-86831	0.9	-14	-29	15	1.9	3	3890	0.05		
"Japan"	40158	-166077	0.8	17	34	4	3.5	1	6256	0.09		
"Sweden"	32676	4655	0.7	-2	8	31	0.9	3	2128	0.07		
"Colombia"	32000	-137952	0.6	19	59	51	0.3	4	8915	0.13		
"Panama"	27256	-16417	0.5	-7	22	60	0.2	1	8657	0.12		
"Finland"	26156	21477	0.5	10	19	44	0.4	3	2842	0.07		
"Australia"	25270	22871	0.5	0	-6	24	1.1	1	10262	0.1		
"Haiti"	16769	16731	0.3	19	-34	140	0.02	0	6340	0.18		
"Russian Federation"	10660	-203304	0.2	-13	3	21	1.3	5	4187	0.09		
