Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Indonesia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Indonesia (%)	
"World"	228231164	32518755	100	5	40		100	3				
"China"	53713561	-2512359	23.5	20	69	2	11.1	5	6416	0.04		
"United States of America"	25665933	14360087	11.2	8	37	1	13.4	3	7938	0.08		
"Japan"	17736773	3479811	7.8	-4	30	4	3.5	1	6256	0.09		
"India"	13263613	5605074	5.8	-4	27	10	2.6	2	5793	0.05		
"Malaysia"	11909374	2458500	5.2	5	46	25	1.1	3	5172	0.09		
"Singapore"	11176000	-4237410	4.9	-4	4	16	1.9	3	5773	0.07		
"Philippines"	8555012	7281747	3.7	4	45	34	0.6	2	4354	0.09		
"Korea, Republic of"	8408928	-1018266	3.7	-3	29	9	2.8	4	5699	0.09		
"Thailand"	6937495	-2181105	3	-1	36	23	1.2	2	4905	0.09		
"Taipei, Chinese"	6856873	2506910	3	9	67	17	1.7	8	5007	0.1		
"Viet Nam"	6663373	2450397	2.9	14	35	19	1.5	8	3535	0.19		
"Netherlands"	4619756	3773640	2	0	48	8	2.8	5	3706	0.07		
"Pakistan"	3811373	3625869	1.7	9	60	47	0.3	2	4850	0.11		
"Australia"	3023536	-6391545	1.3	3	21	24	1.1	1	10262	0.1		
"Bangladesh"	2920373	2812203	1.3	12	73	49	0.3	6	4172	0.15		
"Germany"	2799691	-387850	1.2	0	14	3	6.5	3	3376	0.05		
"Italy"	2791746	1063462	1.2	7	60	11	2.5	2	2891	0.06		
"Spain"	2340322	1656226	1	-1	54	15	1.9	3	3890	0.05		
"Hong Kong, China"	1934964	-943263	0.8	-6	-5	5	3.3	3	2841	0.22		
"United Arab Emirates"	1805430	-337559	0.8	0	45	29	0.9	-2	5715	0.08		
"Egypt"	1634391	1422204	0.7	6	55	46	0.3	-1	5219	0.05		
"Belgium"	1612938	845187	0.7	5	30	12	2.4	3	2709	0.08		
"Turkey"	1544293	1143654	0.7	4	47	22	1.2	3	4285	0.05		
"Saudi Arabia"	1537819	-2429245	0.7	3	15	32	0.7	3	5816	0.07		
"United Kingdom"	1472630	381859	0.6	0	15	7	3.2	1	3930	0.06		
"Russian Federation"	1453228	199433	0.6	3	49	21	1.3	5	4187	0.09		
"Brazil"	1336006	-1285505	0.6	0	32	26	1	6	10879	0.09		
"Switzerland"	1312297	629426	0.6	15	-45	20	1.5	4	3384	0.07		
"Mexico"	1254023	946712	0.5	5	34	13	2.3	2	7039	0.24		
"Myanmar"	1119341	953435	0.5	8	8	79	0.10	-1	2536	0.25		
"Canada"	1057831	-996105	0.5	4	34	14	2.2	1	5042	0.26		
"France"	1025147	-251834	0.4	-1	8	6	3.2	1	3195	0.06		
"South Africa"	940504	-894619	0.4	5	64	41	0.4	-1	9230	0.07		
"New Zealand"	686788	-272577	0.3	9	43	56	0.2	3	11141	0.09		
"Poland"	614150	421381	0.3	9	39	18	1.5	8	3121	0.08		
"Kenya"	531371	511951	0.2	16	37	80	0.09	2	6680	0.08		
"Cambodia"	526901	477645	0.2	1	-3	66	0.1	16	2651	0.18		
"Nigeria"	441351	-1606051	0.2	4	19	53	0.2	17	7792	0.1		
"Ukraine"	416994	-623890	0.2	7	86	48	0.3	7	3255	0.06		
"Sri Lanka"	373526	320180	0.2	3	40	85	0.08	-3	4351	0.16		
"Tanzania, United Republic of"	361176	301527	0.2	5	48	102	0.05	7	6633	0.1		
"Colombia"	326354	289483	0.1	20	160	51	0.3	4	8915	0.13		
"Estonia"	322010	263407	0.1	42	77	73	0.1	6	2314	0.06		
"Peru"	318158	233909	0.1	11	84	54	0.2	3	10420	0.13		
"Djibouti"	311245	311231	0.1	8	59	130	0.02	5	6387	0.22		
"Jordan"	309630	90677	0.1	23	216	84	0.08	0	5167	0.07		
"Georgia"	273866	273440	0.1	34	504	113	0.04	-2	2513	0.09		
"Argentina"	260328	-1778816	0.1	-4	64	50	0.3	-5	10631	0.1		
"Togo"	258842	252392	0.1	13	96	153	0.01	10	7318	0.08		
"Chile"	258291	93082	0.1	9	78	43	0.4	6	11582	0.13		
"Oman"	249411	-348248	0.1	-6	35	83	0.08	-6	5977	0.08		
"Benin"	248799	236504	0.1	-1	75	149	0.01	-2	6481	0.07		
"Timor-Leste"	247152	244870	0.1	3	12	183	0	12	3988	0.22		
"Sweden"	238958	-320290	0.1	11	39	31	0.9	3	2128	0.07		
"Algeria"	235776	-64485	0.1	0	53	64	0.2	-8	4584	0.07		
"Greece"	226818	162388	0.1	4	8	45	0.3	4	2847	0.05		
"Mauritania"	217499	217043	0.1	18	166	146	0.02	1	5817	0.07		
"Iraq"	213761	213663	0.1	15	14	62	0.2	3	4107	0.18		
"Brunei Darussalam"	210723	47879	0.1	37	63	109	0.04	26	5185	0.11		
"Qatar"	208358	-467421	0.1	32	13	70	0.1	0	5745	0.06		
"Denmark"	201807	-3522	0.1	-1	23	35	0.6	5	2182	0.08		
"Ghana"	198593	149303	0.1	14	47	82	0.08	8	8888	0.18		
"Papua New Guinea"	196015	70218	0.1	-2	41	143	0.02	-1	4973	0.17		
"Iran, Islamic Republic of"	187067	165436	0.1	-13	-6	72	0.1	-18	5612	0.13		
"Angola"	168320	-295146	0.1	14	68	100	0.05	-11	7692	0.06		
"Senegal"	158064	157800	0.1	13	134	110	0.04	4	6632	0.05		
"Honduras"	154356	153873	0.1	57	341	99	0.05	4	6104	0.16		
"Israel"	132228	105724	0.1	3	-16	42	0.4	4	5483	0.07		
"Yemen"	129600	128924	0.1	1	0	107	0.04	11	5706	0.11		
"Haiti"	129294	129154	0.1	3	-8	140	0.02	0	6340	0.18		
"Kuwait"	128300	-138491	0.1	1	-14	76	0.1	-3	5837	0.07		
"Portugal"	124104	89005	0.1	-9	17	40	0.4	2	2788	0.14		
"Côte d'Ivoire"	122810	-113737	0.1	32	57	93	0.06	9	6793	0.08		
"Slovenia"	122619	98590	0.1	0	52	55	0.2	10	2404	0.07		
"Sudan"	119517	103332	0.1	17	6	122	0.03	-2		0.13		
"Ecuador"	113154	-52696	0	9	137	69	0.1	3	9174	0.12		
"Mozambique"	111881	101028	0	15	90	108	0.04	8	6196	0.1		
"Romania"	105422	65325	0	-3	-3	37	0.5	6	1891	0.07		
