Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Jamaica's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Jamaica (%)	
"Total"	1023144	-3568977	100	-5	7		100	3				
"United States of America"	521802	-1439934	51	8	32	1	13.4	3	7938	0.08		
"United Kingdom"	64720	7919	6.3	4	19	7	3.2	1	3930	0.06		
"Russian Federation"	61358	60660	6	-7	-21	21	1.3	5	4187	0.09		
"Canada"	55730	-52971	5.4	-20	-12	14	2.2	1	5042	0.26		
"Iceland"	38969	38968	3.8	-7	-60	112	0.04	-1	4251	0.05		
"Azerbaijan"	37358	37358	3.7	256	14	98	0.05	5	3712	0.09		
"Germany"	33621	-20319	3.3	-34	-25	3	6.5	3	3376	0.05		
"Netherlands"	28496	-81446	2.8	17	18	8	2.8	5	3706	0.07		
"Barbados"	23872	-3168	2.3	15	43	161	0	0	4992	0.21		
"Slovakia"	22352	20497	2.2	-8	333	38	0.5	4	2664	0.07		
"France"	15894	-11156	1.6	-27	37	6	3.2	1	3195	0.06		
"Thailand"	15235	-53410	1.5	29	216	23	1.2	2	4905	0.09		
"Guyana"	13886	-33772	1.4	11	22	144	0.02	13	11175	0.21		
"Japan"	9679	-180336	0.9	-10	-28	4	3.5	1	6256	0.09		
"Taipei, Chinese"	8347	-739	0.8	-6	42	17	1.7	8	5007	0.1		
"Grenada"	7812	7699	0.8	10	24	191	0	-1	4157	0.2		
"China"	5835	-719233	0.6	-40	-82	2	11.1	5	6416	0.04		
"New Zealand"	5814	-18158	0.6	2	3	56	0.2	3	11141	0.09		
"Italy"	5677	-32632	0.6	4	81	11	2.5	2	2891	0.06		
"Switzerland"	4990	-7926	0.5	20	66	20	1.5	4	3384	0.07		
"Belize"	4127	-8348	0.4	-9	-12	179	0	1	5006	0.18		
"Belgium"	3403	-52639	0.3	10	-9	12	2.4	3	2709	0.08		
