Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Kenya's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Kenya (%)	
"World"	6751366	-12842752	100	3	12		100	3				
"Uganda"	831917	526753	12.3	8	23	132	0.02	11	5788	0.09		
"Netherlands"	562452	135452	8.3	6	23	8	2.8	5	3706	0.07		
"United States of America"	543268	-258532	8	3	17	1	13.4	3	7938	0.08		
"Pakistan"	484987	311768	7.2	-6	-6	47	0.3	2	4850	0.11		
"United Kingdom"	450577	148232	6.7	6	-4	7	3.2	1	3930	0.06		
"Tanzania, United Republic of"	409758	-80080	6.1	8	39	102	0.05	7	6633	0.1		
"United Arab Emirates"	315209	-1313195	4.7	4	-3	29	0.9	-2	5715	0.08		
"Rwanda"	278369	248600	4.1	14	17	159	0.01	17	5437	0.08		
"Congo, Democratic Republic of the"	223050	190066	3.3	3	66	111	0.04	13	6479	0.14		
"China"	199625	-3826037	3	18	44	2	11.1	5	6416	0.04		
"Egypt"	193140	-252771	2.9	0	8	46	0.3	-1	5219	0.05		
"South Sudan"	155439	154805	2.3	5	-28	194	0	12		0.25		
"Germany"	130138	-262010	1.9	5	-5	3	6.5	3	3376	0.05		
"Somalia"	122526	121631	1.8	-11	15	150	0.01	9	5305	0.16		
"Ethiopia"	106113	98028	1.6	11	43	90	0.07	1	6305	0.11		
"Russian Federation"	95455	-248040	1.4	3	27	21	1.3	5	4187	0.09		
"India"	94931	-2011791	1.4	8	31	10	2.6	2	5793	0.05		
"France"	90937	-114262	1.3	4	4	6	3.2	1	3195	0.06		
"Zambia"	73099	17073	1.1	12	75	119	0.03	-9	5447	0.14		
"Belgium"	72261	-147432	1.1	5	12	12	2.4	3	2709	0.08		
"Saudi Arabia"	70227	-975753	1	-4	-8	32	0.7	3	5816	0.07		
"Burundi"	68689	64141	1	-2	24	188	0	13	4755	0.14		
"Sudan"	65978	62113	1	2	-15	122	0.03	-2		0.13		
"Japan"	61264	-831009	0.9	6	36	4	3.5	1	6256	0.09		
"Spain"	57124	-71887	0.8	16	13	15	1.9	3	3890	0.05		
"Malawi"	48857	33199	0.7	13	26	168	0	0	5169	0.15		
"Yemen"	45471	45397	0.7	-7	3	107	0.04	11	5706	0.11		
"Switzerland"	43972	-29284	0.7	4	74	20	1.5	4	3384	0.07		
