Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Kuwait's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Kuwait (%)	
"Total"	55577818	32583930	100	-4	43		100	3				
"China"	16326993	12424572	29.4	9	52	2	11.1	5	6416	0.04		
"India"	9482188	8251869	17.1	6	59	10	2.6	2	5793	0.05		
"Korea, Republic of"	8260131	7910995	14.9	-10	42	9	2.8	4	5699	0.09		
"Japan"	6629203	5153799	11.9	-2	45	4	3.5	1	6256	0.09		
"Taipei, Chinese"	4540196	4408200	8.2	-2	79	17	1.7	8	5007	0.1		
"Pakistan"	2278534	2156071	4.1	7	103	47	0.3	2	4850	0.11		
"Egypt"	1216009	967132	2.2	-4	-39	46	0.3	-1	5219	0.05		
"United States of America"	1087528	-1974091	2	-27	47	1	13.4	3	7938	0.08		
"Thailand"	687832	389523	1.2	-1	21	23	1.2	2	4905	0.09		
"United Kingdom"	649046	-59642	1.2	-15	120	7	3.2	1	3930	0.06		
"Saudi Arabia"	562718	-1002495	1	5	36	32	0.7	3	5816	0.07		
"Singapore"	560997	354302	1	-36	-63	16	1.9	3	5773	0.07		
"Ethiopia"	511139	505320	0.9	-9	-13	90	0.07	1	6305	0.11		
"France"	466393	-176578	0.8	-7	176	6	3.2	1	3195	0.06		
"Belgium"	402374	40039	0.7	67	500	12	2.4	3	2709	0.08		
"Netherlands"	272351	-378009	0.5	-37	-34	8	2.8	5	3706	0.07		
"Indonesia"	266791	138491	0.5	-3	-9	30	0.9	2	5872	0.11		
"Malaysia"	227460	43872	0.4	-11	21	25	1.1	3	5172	0.09		
"Kenya"	190835	180691	0.3	259	391	80	0.09	2	6680	0.08		
"Turkey"	109172	-582224	0.2	-17	104	22	1.2	3	4285	0.05		
"South Africa"	86414	-9488	0.2	177	105	41	0.4	-1	9230	0.07		
"Nigeria"	65100	-159215	0.1	209	553	53	0.2	17	7792	0.1		
"Spain"	63972	-405889	0.1	-10	2	15	1.9	3	3890	0.05		
"Portugal"	57041	25026	0.1	-23	312	40	0.4	2	2788	0.14		
"New Zealand"	53648	4231	0.1	12	779	56	0.2	3	11141	0.09		
"Brazil"	50550	-143113	0.1	-45	1315	26	1	6	10879	0.09		
"Philippines"	50350	27080	0.1	-51	-90	34	0.6	2	4354	0.09		
