Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Lao People's Democratic Republic's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Lao People's Democratic Republic (%)	
"World"	5485850	65509	100	1	2		100	3				
"Thailand"	1901700	-617694	34.7	-5	-27	23	1.2	2	4905	0.09		
"China"	1741452	509354	31.7	6	22	2	11.1	5	6416	0.04		
"Viet Nam"	654942	232049	11.9	-9	50	19	1.5	8	3535	0.19		
"Australia"	323858	232461	5.9	338	265	24	1.1	1	10262	0.1		
"Cambodia"	115178	109528	2.1	93	27	66	0.1	16	2651	0.18		
"Switzerland"	103992	-150338	1.9	40	195	20	1.5	4	3384	0.07		
"Hong Kong, China"	87554	62654	1.6	37	75	5	3.3	3	2841	0.22		
"India"	74953	37541	1.4	-16	-31	10	2.6	2	5793	0.05		
"Japan"	72070	-92018	1.3	0	-15	4	3.5	1	6256	0.09		
"Germany"	68663	52472	1.3	3	-10	3	6.5	3	3376	0.05		
"United States of America"	57507	-187318	1	22	83	1	13.4	3	7938	0.08		
"Singapore"	42371	-16694	0.8	28	14	16	1.9	3	5773	0.07		
"Netherlands"	32223	23041	0.6	51	50	8	2.8	5	3706	0.07		
"Belgium"	28380	14372	0.5	28	-19	12	2.4	3	2709	0.08		
"Sweden"	22513	17192	0.4	-1	5	31	0.9	3	2128	0.07		
"United Kingdom"	20595	-10010	0.4	1	-12	7	3.2	1	3930	0.06		
"Bangladesh"	20148	19463	0.4	273	55227	49	0.3	6	4172	0.15		
"Indonesia"	18163	-15	0.3	167	-60	30	0.9	2	5872	0.11		
"Portugal"	13654	13484	0.2	7	-3	40	0.4	2	2788	0.14		
"Korea, Republic of"	9898	-48038	0.2	10	-12	9	2.8	4	5699	0.09		
