Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Lesotho's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Lesotho (%)	
"Total"	1007041	-604368	100	-4	9		100	3				
"United States of America"	344407	341162	34.2	-2	10	1	13.4	3	7938	0.08		
"South Africa"	323588	-1092328	32.1	-1	32	41	0.4	-1	9230	0.07		
"Belgium"	252272	246197	25.1	-6	-15	12	2.4	3	2709	0.08		
"Switzerland"	30861	30753	3.1		3	20	1.5	4	3384	0.07		
"China"	23229	-55612	2.3	-10	89	2	11.1	5	6416	0.04		
"Canada"	8250	7767	0.8	1	28	14	2.2	1	5042	0.26		
"Mexico"	5480	5480	0.5	10	81	13	2.3	2	7039	0.24		
"Germany"	4423	101	0.4	16	30	3	6.5	3	3376	0.05		
"Mozambique"	3926	-2960	0.4	72	1967	108	0.04	8	6196	0.1		
"Slovakia"	1268	1268	0.1	-13	-51	38	0.5	4	2664	0.07		
"Mauritius"	1251	-208	0.1	-20	645	133	0.02	-2	7320	0.08		
"Netherlands"	1186	-1093	0.1	-15	-82	8	2.8	5	3706	0.07		
"Japan"	738	-7441	0.1	1	185	4	3.5	1	6256	0.09		
"United Kingdom"	686	-2303	0.1	-15	-13	7	3.2	1	3930	0.06		
"Taipei, Chinese"	641	-47134	0.1	32	175	17	1.7	8	5007	0.1		
"Israel"	595	595	0.1		108	42	0.4	4	5483	0.07		
"Tanzania, United Republic of"	499	469	0	13	-25	102	0.05	7	6633	0.1		
"Australia"	382	356	0	-18	-50	24	1.1	1	10262	0.1		
"Saudi Arabia"	340	340	0	-1	35	32	0.7	3	5816	0.07		
"Serbia"	296	251	0	30	2	65	0.2	9	2497	0.06		
"Zambia"	284	-322	0	0	187	119	0.03	-9	5447	0.14		
"Kenya"	274	-648	0	87	1156	80	0.09	2	6680	0.08		
"Chile"	252	252	0	-5	5813	43	0.4	6	11582	0.13		
"Egypt"	208	206	0	92		46	0.3	-1	5219	0.05		
"Turkey"	174	-102	0	44	1251	22	1.2	3	4285	0.05		
"Poland"	172	141	0	12	-11	18	1.5	8	3121	0.08		
"Korea, Republic of"	154	-1614	0	96	-4	9	2.8	4	5699	0.09		
"Madagascar"	125	125	0	-42	23	138	0.02	2	7339	0.08		
"Ireland"	119	90	0	75		36	0.5	4	3265	0.1		
"Czech Republic"	117	117	0	39	631	28	1	4	2987	0.1		
"France"	115	-274	0	21	-92	6	3.2	1	3195	0.06		
"Singapore"	108	7	0	4	-44	16	1.9	3	5773	0.07		
"India"	95	-15866	0	-85	27	10	2.6	2	5793	0.05		
"Colombia"	87	87	0	189	238	51	0.3	4	8915	0.13		
"Russian Federation"	72	64	0	-20	509	21	1.3	5	4187	0.09		
"New Zealand"	49	49	0	-32	-88	56	0.2	3	11141	0.09		
"Romania"	43	43	0			37	0.5	6	1891	0.07		
"Argentina"	43	43	0	77	203	50	0.3	-5	10631	0.1		
"Spain"	41	-1207	0	6	925	15	1.9	3	3890	0.05		
"Estonia"	23	23	0	-12	109	73	0.1	6	2314	0.06		
"Hungary"	21	7	0	104	-16	33	0.6	6	2180	0.09		
"Bolivia, Plurinational State of"	19	19	0	69	1438	106	0.04	-3	7978	0.11		
"Sweden"	18	-158	0	-32	80	31	0.9	3	2128	0.07		
"Nicaragua"	15	15	0	11	-75	104	0.05	4	5888	0.1		
"Honduras"	14	14	0	-2	-53	99	0.05	4	6104	0.16		
"Dominican Republic"	12	12	0	203	-81	67	0.1	5	6446	0.22		
"Portugal"	10	-421	0			40	0.4	2	2788	0.14		
