Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Liberia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Liberia (%)	
"Total"	1629614	-14228006	100	3	61		100	3				
"Switzerland"	342628	341049	21	3	238	20	1.5	4	3384	0.07		
"Poland"	229170	44574	14.1	46	199	18	1.5	8	3121	0.08		
"France"	188184	99011	11.5	73	29	6	3.2	1	3195	0.06		
"Germany"	171097	-555470	10.5	-22	66	3	6.5	3	3376	0.05		
"Thailand"	124427	112996	7.6	118	2017	23	1.2	2	4905	0.09		
"Denmark"	97335	70953	6	335	10824	35	0.6	5	2182	0.08		
"United States of America"	80521	-62896	4.9	-6	67	1	13.4	3	7938	0.08		
"Cyprus"	76938	-88036	4.7	49	-21	105	0.05	-1	3118	0.09		
"Spain"	63708	46278	3.9	56	90	15	1.9	3	3890	0.05		
"Malaysia"	47054	31453	2.9	33	175	25	1.1	3	5172	0.09		
"Belgium"	30183	-109245	1.9	3	105	12	2.4	3	2709	0.08		
"United Kingdom"	25383	13501	1.6	35	570	7	3.2	1	3930	0.06		
"Netherlands"	25128	-30978	1.5	-5	0	8	2.8	5	3706	0.07		
"China"	23697	-5136185	1.5	-4	-73	2	11.1	5	6416	0.04		
"Canada"	22625	3067	1.4	-7	24	14	2.2	1	5042	0.26		
"India"	14078	-234627	0.9	-39	111	10	2.6	2	5793	0.05		
"Nigeria"	8945	-11503	0.5	22	523	53	0.2	17	7792	0.1		
"Korea, Republic of"	8300	-1983897	0.5	8	-12	9	2.8	4	5699	0.09		
"Czech Republic"	5917	4721	0.4	-19	-24	28	1	4	2987	0.1		
"Russian Federation"	5185	-1894	0.3	-2	56	21	1.3	5	4187	0.09		
"Congo"	4468	4468	0.3	185	515	154	0.01	-18	6851	0.07		
"Bulgaria"	4435	2315	0.3	862	42	57	0.2	6	2237	0.05		
"Turkey"	4050	-264984	0.2	5	-96	22	1.2	3	4285	0.05		
"Italy"	3343	-31451	0.2	22	-77	11	2.5	2	2891	0.06		
"Morocco"	3258	-8830	0.2	201	320	52	0.3	4	4316	0.07		
"Indonesia"	3171	-33692	0.2	-20	-91	30	0.9	2	5872	0.11		
"Senegal"	2874	-514	0.2		-50	110	0.04	4	6632	0.05		
"Japan"	2511	-2402170	0.2	-32	1949	4	3.5	1	6256	0.09		
"Romania"	1799	1321	0.1		49	37	0.5	6	1891	0.07		
"South Africa"	945	-12229	0.1	29	116	41	0.4	-1	9230	0.07		
"Singapore"	928	-3352731	0.1	53	29	16	1.9	3	5773	0.07		
"Angola"	857	803	0.1	-48	-97	100	0.05	-11	7692	0.06		
"Guyana"	820	820	0.1	49	-3	144	0.02	13	11175	0.21		
"Hong Kong, China"	782	-543	0	-14	144	5	3.3	3	2841	0.22		
"Mauritius"	692	561	0	14	948	133	0.02	-2	7320	0.08		
"Mozambique"	673	659	0	-78	29510	108	0.04	8	6196	0.1		
"Israel"	642	642	0	63		42	0.4	4	5483	0.07		
"Estonia"	632	271	0		2241	73	0.1	6	2314	0.06		
"Portugal"	383	-2369	0	37	-3	40	0.4	2	2788	0.14		
"Belarus"	285	137	0	-54		61	0.2	2	2268	0.23		
"Pakistan"	235	-3397	0	-40		47	0.3	2	4850	0.11		
"Greece"	197	-191317	0	-75	73	45	0.3	4	2847	0.05		
"Tanzania, United Republic of"	192	39	0	-62	494	102	0.05	7	6633	0.1		
"Colombia"	160	-786	0	14	783	51	0.3	4	8915	0.13		
"Mauritania"	110	-3608	0	-18	-82	146	0.02	1	5817	0.07		
"Dominican Republic"	83	59	0	46		67	0.1	5	6446	0.22		
"Ethiopia"	73	67	0		65	90	0.07	1	6305	0.11		
"Norway"	69	-19447	0	-3	-71	39	0.5	3	3470	0.06		
"Burkina Faso"	62	-9398	0		2750	136	0.02	5	6109	0.05		
"Slovakia"	43	-2557	0	37	-84	38	0.5	4	2664	0.07		
"Ecuador"	39	25	0	321	313	69	0.1	3	9174	0.12		
"Taipei, Chinese"	34	-4920	0	28	54	17	1.7	8	5007	0.1		
"Sweden"	33	-11406	0	-43	-85	31	0.9	3	2128	0.07		
"Ukraine"	30	-9536	0	-61	-9	48	0.3	7	3255	0.06		
"Ireland"	29	-7410	0	-2	383	36	0.5	4	3265	0.1		
"Australia"	28	-1234	0	-49	136	24	1.1	1	10262	0.1		
"Nicaragua"	22	-133	0		888	104	0.05	4	5888	0.1		
"Grenada"	21	21	0		-68	191	0	-1	4157	0.2		
"Benin"	20	-904	0	-60	-83	149	0.01	-2	6481	0.07		
"Togo"	18	-1054	0	126	-99	153	0.01	10	7318	0.08		
"Serbia"	11	-258	0	-62		65	0.2	9	2497	0.06		
"Egypt"	11	-14866	0		-100	46	0.3	-1	5219	0.05		
"Austria"	10	-3222	0	10	0	27	1	3	1514	0.18		
"Kenya"	8	-150	0	-30	-96	80	0.09	2	6680	0.08		
"Zambia"	5	-4	0			119	0.03	-9	5447	0.14		
"Saudi Arabia"	5	-14818	0		-94	32	0.7	3	5816	0.07		
"Barbados"	3	3	0			161	0	0	4992	0.21		
"Iceland"	3	-89	0	61	113	112	0.04	-1	4251	0.05		
"Bolivia, Plurinational State of"	2	2	0	239		106	0.04	-3	7978	0.11		
"New Zealand"	2	-1374	0	-87	14	56	0.2	3	11141	0.09		
"Hungary"	2	-1911	0	-6	-60	33	0.6	6	2180	0.09		
