Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Macao, China's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Macao, China (%)	
"World"	1392425	-17954230	100	6	36		100	3				
"Hong Kong, China"	1102498	390787	79.2	5	37	5	3.3	3	2841	0.22		
"China"	180345	-5966881	13	0	46	2	11.1	5	6416	0.04		
"United States of America"	69466	-1245885	5	203	40	1	13.4	3	7938	0.08		
"Viet Nam"	14196	-68093	1	14	41	19	1.5	8	3535	0.19		
"Singapore"	7119	-87743	0.5	-8	29	16	1.9	3	5773	0.07		
"Taipei, Chinese"	4350	-164810	0.3	32	127	17	1.7	8	5007	0.1		
"Canada"	1790	-41465	0.1	55	103	14	2.2	1	5042	0.26		
"Germany"	1576	-217465	0.1	-38	196	3	6.5	3	3376	0.05		
"Philippines"	1440	-12583	0.1	34	-69	34	0.6	2	4354	0.09		
"Thailand"	1180	-177614	0.1	54	-75	23	1.2	2	4905	0.09		
"Japan"	1128	-1644742	0.1	-30	-14	4	3.5	1	6256	0.09		
"France"	1117	-3499112	0.1	-31	56	6	3.2	1	3195	0.06		
"Cambodia"	1046	-4057	0.1	-29	170	66	0.1	16	2651	0.18		
"Netherlands"	756	-76515	0.1	46	-61	8	2.8	5	3706	0.07		
"Switzerland"	603	-1516942	0	4	-76	20	1.5	4	3384	0.07		
"India"	532	-38303	0	114	-73	10	2.6	2	5793	0.05		
"Malaysia"	530	-93083	0	-21	-46	25	1.1	3	5172	0.09		
"Italy"	527	-2118964	0	34	-45	11	2.5	2	2891	0.06		
"Mexico"	519	-15214	0	28	-12	13	2.3	2	7039	0.24		
"Australia"	373	-130166	0	-23	-56	24	1.1	1	10262	0.1		
"Algeria"	274	274	0			64	0.2	-8	4584	0.07		
"Korea, Republic of"	260	-207335	0	-28	-88	9	2.8	4	5699	0.09		
"United Kingdom"	256	-345228	0	38	106	7	3.2	1	3930	0.06		
"United Arab Emirates"	174	-4892	0	-3	5700	29	0.9	-2	5715	0.08		
"Brazil"	125	-55566	0		140	26	1	6	10879	0.09		
"Russian Federation"	65	-12563	0			21	1.3	5	4187	0.09		
"Czech Republic"	50	-2185	0	-54	525	28	1	4	2987	0.1		
"Chile"	45	-3935	0			43	0.4	6	11582	0.13		
"Turkey"	13	-36865	0			22	1.2	3	4285	0.05		
"Solomon Islands"	11	11	0		-78	190	0	0	6301	0.17		
"Ukraine"	10	-997	0			48	0.3	7	3255	0.06		
"Saudi Arabia"	6	-46408	0			32	0.7	3	5816	0.07		
"Indonesia"	6	-52030	0	-70	-96	30	0.9	2	5872	0.11		
"Costa Rica"	5	-289	0		150	86	0.08	3	6987	0.22		
"South Africa"	5	-12025	0		-97	41	0.4	-1	9230	0.07		
"Uruguay"	4	-2	0			95	0.06	0	9836	0.11		
"Lithuania"	4	-535	0			59	0.2	7	1630	0.07		
"Colombia"	4	-999	0			51	0.3	4	8915	0.13		
"Peru"	4	-1230	0		-96	54	0.2	3	10420	0.13		
"Argentina"	4	-4492	0			50	0.3	-5	10631	0.1		
"New Zealand"	2	-45080	0	-48		56	0.2	3	11141	0.09		
"Spain"	2	-66726	0	-57	-75	15	1.9	3	3890	0.05		
"Papua New Guinea"	1	1	0			143	0.02	-1	4973	0.17		
"Croatia"	1	-98	0			63	0.2	6	1362	0.07		
"Belgium"	1	-28448	0	-80		12	2.4	3	2709	0.08		
"Ireland"	1	-50118	0			36	0.5	4	3265	0.1		
"Syrian Arab Republic"		-1				139	0.02	-3	2496	0.27		
"Maldives"		-1				151	0.01	-3	4478	0.08		
"Togo"		-1				153	0.01	10	7318	0.08		
"Eswatini"		-1				160	0	1	1597	0.74		
"Namibia"		-2				126	0.03	-1	3757	0.37		
"Guyana"		-2				144	0.02	13	11175	0.21		
"Kuwait"		-3				76	0.1	-3	5837	0.07		
"El Salvador"		-3				88	0.07	9	4914	0.15		
"Mali"		-3				141	0.02	9	5008	0.1		
"Suriname"		-3				173	0	1	9050	0.14		
"Nauru"		-4				211	0	18	6014	0.27		
"Trinidad and Tobago"		-5				128	0.03	-1	6663	0.26		
"Mauritania"		-5				146	0.02	1	5817	0.07		
"Macedonia, North"		-6				103	0.05	8	1348	0.09		
"Venezuela, Bolivarian Republic of"		-7				117	0.03	-11	8121	0.16		
"Afghanistan"		-7				147	0.02	-8	2990	0.12		
"Saint Helena"		-9				217	0	6	7699	0.31		
"Bolivia, Plurinational State of"		-11				106	0.04	-3	7978	0.11		
"Zambia"		-11				119	0.03	-9	5447	0.14		
"Barbados"		-13				161	0	0	4992	0.21		
"Faroe Islands"		-14				172	0	7	1404	0.27		
"Mozambique"		-16				108	0.04	8	6196	0.1		
"Ghana"		-21				82	0.08	8	8888	0.18		
"Angola"		-21				100	0.05	-11	7692	0.06		
"Belarus"		-24				61	0.2	2	2268	0.23		
"Panama"		-30				60	0.2	1	8657	0.12		
"Palestine, State of"		-32				176	0	8	3026	0.1		
"Guinea-Bissau"		-34				195	0	2	5802	0.16		
"Senegal"		-41				110	0.04	4	6632	0.05		
"Georgia"		-41				113	0.04	-2	2513	0.09		
"Bahrain"		-44				101	0.05	1	6359	0.08		
"New Caledonia"		-45				155	0.01	-1	11471	0.2		
"Seychelles"		-50				187	0	-7	6627	0.06		
"Estonia"		-51				73	0.1	6	2314	0.06		
"Mongolia"		-51				125	0.03	8	3267	0.22		
"Greenland"		-51				180	0	6	3482	0.44		
"Jordan"		-55				84	0.08	0	5167	0.07		
"Côte d'Ivoire"		-62				93	0.06	9	6793	0.08		
"Yemen"		-65				107	0.04	11	5706	0.11		
"Madagascar"		-72				138	0.02	2	7339	0.08		
"Jamaica"		-74				137	0.02	-2	6759	0.22		
"Malta"		-84				120	0.03	1	3249	0.08		
"Niger"		-86				162	0	13	5715	0.09		
"Latvia"		-94				77	0.1	7	1575	0.08		
"Congo"		-95				154	0.01	-18	6851	0.07		
"Lebanon"		-96				97	0.06	-12	3592	0.06		
"Nepal"		-104				96	0.06	8	1856	0.56		
"Guatemala"		-108				68	0.1	7	5828	0.15		
"Bosnia and Herzegovina"		-129				94	0.06	3	2228	0.07		
"Macao, China"		-130				81	0.09	15		0.17		
"Luxembourg"		-147				71	0.1	3	1488	0.14		
"Fiji"		-151				157	0.01	-7	7384	0.12		
"Ethiopia"		-162				90	0.07	1	6305	0.11		
"Brunei Darussalam"		-164				109	0.04	26	5185	0.11		
"Kenya"		-189				80	0.09	2	6680	0.08		
"Honduras"		-216				99	0.05	4	6104	0.16		
"Mauritius"		-222				133	0.02	-2	7320	0.08		
"Serbia"		-227				65	0.2	9	2497	0.06		
"Zimbabwe"		-259				134	0.02	7	3754	0.39		
"Iran, Islamic Republic of"		-270				72	0.1	-18	5612	0.13		
"Albania"		-285				121	0.03	6	1886	0.13		
"Lao People's Democratic Republic"		-359				129	0.02	-1	2572	0.28		
"Iceland"		-383				112	0.04	-1	4251	0.05		
"Cyprus"		-419				105	0.05	-1	3118	0.09		
"Moldova, Republic of"		-562				118	0.03	8	2317	0.08		
"Slovenia"		-668				55	0.2	10	2404	0.07		
"Nigeria"		-982				53	0.2	17	7792	0.1		
"Armenia"		-1210				131	0.02	6	3323	0.15		
"Nicaragua"		-1220				104	0.05	4	5888	0.1		
"Egypt"		-1399				46	0.3	-1	5219	0.05		
"Uganda"		-1427				132	0.02	11	5788	0.09		
"Morocco"		-1432				52	0.3	4	4316	0.07		
"Tunisia"		-1464				78	0.10	-1	3411	0.06		
"Ecuador"		-2400				69	0.1	3	9174	0.12		
"Pakistan"		-2807				47	0.3	2	4850	0.11		
"Finland"		-2908				44	0.4	3	2842	0.07		
"Dominican Republic"		-2989				67	0.1	5	6446	0.22		
"Greece"		-3032				45	0.3	4	2847	0.05		
"Myanmar"		-3267				79	0.10	-1	2536	0.25		
"Bulgaria"		-3322				57	0.2	6	2237	0.05		
"Slovakia"		-3481				38	0.5	4	2664	0.07		
"Tanzania, United Republic of"		-3632				102	0.05	7	6633	0.1		
"Qatar"		-3861				70	0.1	0	5745	0.06		
"Sri Lanka"		-5598				85	0.08	-3	4351	0.16		
"Hungary"		-6143				33	0.6	6	2180	0.09		
"Bangladesh"		-6218				49	0.3	6	4172	0.15		
"Norway"		-9573				39	0.5	3	3470	0.06		
"Israel"		-14793				42	0.4	4	5483	0.07		
"Poland"		-16130				18	1.5	8	3121	0.08		
"Denmark"		-16386				35	0.6	5	2182	0.08		
"Romania"		-17317				37	0.5	6	1891	0.07		
"Cuba"		-19002				145	0.02	-13	7148	0.09		
"Austria"		-22140				27	1	3	1514	0.18		
"Sweden"		-32140				31	0.9	3	2128	0.07		
"Portugal"		-34753				40	0.4	2	2788	0.14		
"Kazakhstan"						58	0.2	6	3017	0.25		
"Iraq"						62	0.2	3	4107	0.18		
"Uzbekistan"						74	0.1	16	3412	0.12		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Oman"						83	0.08	-6	5977	0.08		
"Liberia"						87	0.07	17	11608	0.19		
"Libya, State of"						89	0.07	12	3475	0.08		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Paraguay"						92	0.06	0	7311	0.15		
"Azerbaijan"						98	0.05	5	3712	0.09		
"Congo, Democratic Republic of the"						111	0.04	13	6479	0.14		
"Gibraltar"						114	0.03	-5	2572	0.09		
"Bahamas"						115	0.03	-8	6248	0.19		
"Cameroon"						116	0.03	8	7279	0.14		
"Sudan"						122	0.03	-2		0.13		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Botswana"						124	0.03	2	2968	0.52		
"Kyrgyzstan"						127	0.03	1	2892	0.2		
"Djibouti"						130	0.02	5	6387	0.22		
"Guinea"						135	0.02	7	9140	0.19		
"Burkina Faso"						136	0.02	5	6109	0.05		
"Haiti"						140	0.02	0	6340	0.18		
"Tajikistan"						142	0.02	9	2803	0.17		
"Turkmenistan"						148	0.02	4	3495	0.15		
"Benin"						149	0.01	-2	6481	0.07		
"Somalia"						150	0.01	9	5305	0.16		
"Montenegro"						152	0.01	0	2382	0.08		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Gabon"						158	0.01	-2	7114	0.11		
"Rwanda"						159	0.01	17	5437	0.08		
"Curaçao"						163	0	-12		0.24		
"Lesotho"						164	0	-2	1590	0.78		
"French Polynesia"						165	0	1	13300	0.24		
"Andorra"						166	0	2	610	0.52		
"Gambia"						167	0	7	8260	0.14		
"Malawi"						168	0	0	5169	0.15		
"Bermuda"						169	0	-3	8006	0.28		
"Sierra Leone"						170	0	10	8820	0.13		
"Saint Lucia"						171	0	-10	5321	0.23		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Aruba"						175	0	-3	4917	0.3		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Bhutan"						178	0	15	1733	0.63		
"Belize"						179	0	1	5006	0.18		
"Cabo Verde"						181	0	4	5196	0.21		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Timor-Leste"						183	0	12	3988	0.22		
"Chad"						184	0	13	6931	0.16		
"Dominica"						185	0	8	4908	0.65		
"Free Zones"						186	0	-34		0.92		
"Burundi"						188	0	13	4755	0.14		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"Turks and Caicos Islands"						193	0	-3	3491	0.74		
"South Sudan"						194	0	12		0.25		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Central African Republic"						199	0	7	6606	0.08		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
