Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Malaysia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Malaysia (%)	
"World"	299288393	60967286	100	6	28		100	3				
"China"	46360706	-8924456	15.5	11	23	2	11.1	5	6416	0.04		
"Singapore"	41855577	19230966	14	6	24	16	1.9	3	5773	0.07		
"United States of America"	34372619	16289429	11.5	12	33	1	13.4	3	7938	0.08		
"Hong Kong, China"	18497623	14241270	6.2	9	14	5	3.3	3	2841	0.22		
"Japan"	18170240	376140	6.1	-1	24	4	3.5	1	6256	0.09		
"Thailand"	12648581	1646768	4.2	-1	17	23	1.2	2	4905	0.09		
"Viet Nam"	10984226	5247738	3.7	10	49	19	1.5	8	3535	0.19		
"India"	10907378	4985701	3.6	4	51	10	2.6	2	5793	0.05		
"Taipei, Chinese"	9786118	-8367883	3.3	12	21	17	1.7	8	5007	0.1		
"Indonesia"	9466977	-4023595	3.2	2	34	30	0.9	2	5872	0.11		
"Korea, Republic of"	9089059	-3000443	3	6	10	9	2.8	4	5699	0.09		
"Australia"	8483997	3037495	2.8	-1	47	24	1.1	1	10262	0.1		
"Netherlands"	7525790	6357995	2.5	2	35	8	2.8	5	3706	0.07		
"Germany"	6869521	716206	2.3	0	17	3	6.5	3	3376	0.05		
"Philippines"	5460880	3069190	1.8	7	30	34	0.6	2	4354	0.09		
"Turkey"	3409770	2723004	1.1	6	88	22	1.2	3	4285	0.05		
"Mexico"	2797722	2241539	0.9	4	40	13	2.3	2	7039	0.24		
"United Arab Emirates"	2555755	-270182	0.9	-5	26	29	0.9	-2	5715	0.08		
"United Kingdom"	2361247	576165	0.8	2	0	7	3.2	1	3930	0.06		
"Bangladesh"	2259103	1945271	0.8	3	84	49	0.3	6	4172	0.15		
"Italy"	1724552	-126560	0.6	9	33	11	2.5	2	2891	0.06		
"Belgium"	1546263	520201	0.5	6	44	12	2.4	3	2709	0.08		
"Canada"	1534553	673488	0.5	14	63	14	2.2	1	5042	0.26		
"Pakistan"	1446974	988441	0.5	3	28	47	0.3	2	4850	0.11		
