Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mali's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mali (%)	
"Total"	2066174	-2249507	100	19	-4		100	3				
"Switzerland"	1356598	1347657	65.7	21	-10	20	1.5	4	3384	0.07		
"Australia"	332116	325885	16.1	574	18	24	1.1	1	10262	0.1		
"China"	108647	-435019	5.3	17	-36	2	11.1	5	6416	0.04		
"Turkey"	54809	-32056	2.7	-5	1340	22	1.2	3	4285	0.05		
"Burkina Faso"	29310	-49222	1.4	-12	-35	136	0.02	5	6109	0.05		
"Malaysia"	26043	22129	1.3	509	24	25	1.1	3	5172	0.09		
"Mauritania"	21893	-1156	1.1	78	11	146	0.02	1	5817	0.07		
"Indonesia"	20327	10999	1	-16	546	30	0.9	2	5872	0.11		
"India"	17286	-200757	0.8	-33	-7	10	2.6	2	5793	0.05		
"Thailand"	11084	-9937	0.5	-31	150	23	1.2	2	4905	0.09		
"France"	9290	-472284	0.4	-3	-17	6	3.2	1	3195	0.06		
"Germany"	6850	-96944	0.3	-4	87	3	6.5	3	3376	0.05		
"Ukraine"	6604	-21611	0.3	160	413	48	0.3	7	3255	0.06		
"United Kingdom"	6483	-31997	0.3	105	25	7	3.2	1	3930	0.06		
"Netherlands"	6260	-139171	0.3	-4	-37	8	2.8	5	3706	0.07		
"Belgium"	6216	-191127	0.3	28	106	12	2.4	3	2709	0.08		
"Japan"	4603	-4373	0.2	54	16	4	3.5	1	6256	0.09		
"Morocco"	4100	-108074	0.2	-6	46	52	0.3	4	4316	0.07		
"Canada"	4035	-36015	0.2	22	76	14	2.2	1	5042	0.26		
"United States of America"	3470	-93189	0.2	-5	51	1	13.4	3	7938	0.08		
"South Africa"	3405	-87299	0.2	19	4072	41	0.4	-1	9230	0.07		
"Korea, Republic of"	3145	-24188	0.2	82	161	9	2.8	4	5699	0.09		
"Senegal"	2693	-1024580	0.1	-15	-2	110	0.04	4	6632	0.05		
"Portugal"	2304	-6796	0.1	-29	21	40	0.4	2	2788	0.14		
"Spain"	2189	-96573	0.1	23	-23	15	1.9	3	3890	0.05		
"Mexico"	2108	2108	0.1	-19	2	13	2.3	2	7039	0.24		
"Poland"	1493	-21818	0.1	1	16	18	1.5	8	3121	0.08		
"Italy"	1474	-74781	0.1	-35	37	11	2.5	2	2891	0.06		
"Slovakia"	1342	-1095	0.1	-27	3341	38	0.5	4	2664	0.07		
"Mauritius"	1239	1238	0.1	9	5845	133	0.02	-2	7320	0.08		
"Finland"	924	-6330	0	32	104	44	0.4	3	2842	0.07		
"Tanzania, United Republic of"	768	609	0	242	96	102	0.05	7	6633	0.1		
"Russian Federation"	654	-88003	0	-16	39	21	1.3	5	4187	0.09		
"Hong Kong, China"	632	-104555	0	17	-88	5	3.3	3	2841	0.22		
"Singapore"	620	-5606	0	10	94	16	1.9	3	5773	0.07		
"Norway"	588	78	0	15	105	39	0.5	3	3470	0.06		
"Brazil"	488	-8380	0	235	52	26	1	6	10879	0.09		
"Tunisia"	445	-12443	0	206	117	78	0.10	-1	3411	0.06		
"Benin"	431	-5680	0	-9	-55	149	0.01	-2	6481	0.07		
"Pakistan"	416	58	0	36	24	47	0.3	2	4850	0.11		
"New Zealand"	325	-60	0	40	335	56	0.2	3	11141	0.09		
"Slovenia"	306	-344	0	23	1077	55	0.2	10	2404	0.07		
"Togo"	205	-118670	0	-21	-29	153	0.01	10	7318	0.08		
"Kenya"	187	-1853	0	37	45	80	0.09	2	6680	0.08		
"Nigeria"	180	-4857	0	78	1839	53	0.2	17	7792	0.1		
"Sweden"	155	-12589	0	-4	-75	31	0.9	3	2128	0.07		
"Serbia"	151	-5168	0	28	160	65	0.2	9	2497	0.06		
"Bulgaria"	136	-1927	0	147		57	0.2	6	2237	0.05		
"Lao People's Democratic Republic"	127	-187	0		467	129	0.02	-1	2572	0.28		
"Ethiopia"	121	-837	0	-18	166	90	0.07	1	6305	0.11		
"Czech Republic"	115	-11973	0	17	-59	28	1	4	2987	0.1		
"Taipei, Chinese"	113	-621	0	-60	-37	17	1.7	8	5007	0.1		
"Congo"	104	72	0	-23	139	154	0.01	-18	6851	0.07		
"Israel"	86	70	0	-4	2767	42	0.4	4	5483	0.07		
"Angola"	64	18	0	52	-21	100	0.05	-11	7692	0.06		
"Madagascar"	56	54	0	-17	24	138	0.02	2	7339	0.08		
"Ireland"	47	-57475	0	-7	76	36	0.5	4	3265	0.1		
"Hungary"	42	-959	0	61	-90	33	0.6	6	2180	0.09		
"Egypt"	39	-10853	0	196	-72	46	0.3	-1	5219	0.05		
"Zambia"	27	-49	0	79	-95	119	0.03	-9	5447	0.14		
"Cambodia"	21	-65	0	-39		66	0.1	16	2651	0.18		
"Iceland"	17	17	0	-22	-1	112	0.04	-1	4251	0.05		
"Latvia"	16	-205	0	36	-43	77	0.1	7	1575	0.08		
"Luxembourg"	16	-3999	0	-30	33	71	0.1	3	1488	0.14		
"Austria"	16	-195191	0	12		27	1	3	1514	0.18		
"Malta"	13	-2106	0	116	-18	120	0.03	1	3249	0.08		
"Bosnia and Herzegovina"	12	-235	0	12	922	94	0.06	3	2228	0.07		
"Colombia"	11	-292	0	4	-92	51	0.3	4	8915	0.13		
"Maldives"	10	10	0		235	151	0.01	-3	4478	0.08		
"Georgia"	10	-562	0	-32		113	0.04	-2	2513	0.09		
"Denmark"	8	-11263	0	-54	-100	35	0.6	5	2182	0.08		
"Argentina"	8	-14296	0	-21		50	0.3	-5	10631	0.1		
"Peru"	7	7	0	-25	3	54	0.2	3	10420	0.13		
"Brunei Darussalam"	7	7	0	-22	494	109	0.04	26	5185	0.11		
"El Salvador"	7	-994	0	-7	6	88	0.07	9	4914	0.15		
"Belarus"	5	-3044	0	-3	-84	61	0.2	2	2268	0.23		
"Ecuador"	3	3	0	-41	11	69	0.1	3	9174	0.12		
"Macao, China"	3	3	0			81	0.09	15		0.17		
"Bolivia, Plurinational State of"	3	3	0	-45	-54	106	0.04	-3	7978	0.11		
"Estonia"	3	-76	0	-18	-73	73	0.1	6	2314	0.06		
"Paraguay"	2	2	0			92	0.06	0	7311	0.15		
