Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mauritania's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mauritania (%)	
"World"	3266989	-593476	100	13	11		100	3				
"China"	1354264	1130157	41.5	19	35	2	11.1	5	6416	0.04		
"Italy"	350790	337874	10.7	34	162	11	2.5	2	2891	0.06		
"Canada"	324021	295655	9.9	1538	10	14	2.2	1	5042	0.26		
"Spain"	312283	-264806	9.6	1	61	15	1.9	3	3890	0.05		
"Japan"	225312	99987	6.9	5	77	4	3.5	1	6256	0.09		
"Australia"	120698	110705	3.7		56	24	1.1	1	10262	0.1		
"Côte d'Ivoire"	105795	103761	3.2	9	40	93	0.06	9	6793	0.08		
"Germany"	101771	57703	3.1	4	9	3	6.5	3	3376	0.05		
"Russian Federation"	51168	-6896	1.6	-14	-49	21	1.3	5	4187	0.09		
"France"	49316	-390784	1.5	21	9	6	3.2	1	3195	0.06		
"Mali"	23049	1156	0.7	25	31	141	0.02	9	5008	0.1		
"Portugal"	22980	17767	0.7	-7	43	40	0.4	2	2788	0.14		
"Korea, Republic of"	22167	18312	0.7	0	25	9	2.8	4	5699	0.09		
"Ghana"	21076	20927	0.6	49	52	82	0.08	8	8888	0.18		
"Poland"	20881	9184	0.6	2098	31	18	1.5	8	3121	0.08		
"United Kingdom"	20236	2533	0.6	510	1046	7	3.2	1	3930	0.06		
"Benin"	18259	18258	0.6	66	-4	149	0.01	-2	6481	0.07		
"Nigeria"	16561	16377	0.5	-16	-52	53	0.2	17	7792	0.1		
"Cameroon"	16144	16081	0.5	41	0	116	0.03	8	7279	0.14		
"Turkey"	14624	-200575	0.4	-19	-36	22	1.2	3	4285	0.05		
"Greece"	9184	3914	0.3	-12	43	45	0.3	4	2847	0.05		
"Senegal"	7380	-29836	0.2	68	95	110	0.04	4	6632	0.05		
"Netherlands"	6819	-80667	0.2	49	-24	8	2.8	5	3706	0.07		
"Belgium"	5238	-255527	0.2	69	-70	12	2.4	3	2709	0.08		
"Denmark"	5161	-4996	0.2	-3	-37	35	0.6	5	2182	0.08		
"Panama"	4172	3694	0.1		483	60	0.2	1	8657	0.12		
"Liberia"	3718	3608	0.1	59	47	87	0.07	17	11608	0.19		
"Ukraine"	3574	-60800	0.1	6	-15	48	0.3	7	3255	0.06		
"Togo"	3255	-3616	0.1	2	-88	153	0.01	10	7318	0.08		
"Guinea"	2988	2808	0.1	29	177	135	0.02	7	9140	0.19		
"Viet Nam"	2251	1755	0.1	-48	-49	19	1.5	8	3535	0.19		
"Congo, Democratic Republic of the"	2163	2144	0.1	-5	-46	111	0.04	13	6479	0.14		
"United States of America"	1969	-84415	0.1	-45	-27	1	13.4	3	7938	0.08		
"India"	1835	-47788	0.1	35	42	10	2.6	2	5793	0.05		
"Equatorial Guinea"	1818	1818	0.1	4	16	182	0	2	6008	0.11		
"Zambia"	1608	1608	0		2109	119	0.03	-9	5447	0.14		
"Morocco"	1296	-204009	0	109	-66	52	0.3	4	4316	0.07		
"Burkina Faso"	984	905	0	119	64	136	0.02	5	6109	0.05		
"South Africa"	940	-25855	0	-43	157	41	0.4	-1	9230	0.07		
"Gambia"	833	484	0		238	167	0	7	8260	0.14		
"Congo"	800	800	0	0	-61	154	0.01	-18	6851	0.07		
"Norway"	758	-5102	0	-37	-68	39	0.5	3	3470	0.06		
"Malta"	596	443	0			120	0.03	1	3249	0.08		
