Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mauritius's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mauritius (%)	
"World"	1684826	-3494999	100	-7	9		100	3				
"South Africa"	233104	-180271	13.8	3	27	41	0.4	-1	9230	0.07		
"France"	226961	-119783	13.5	-11	29	6	3.2	1	3195	0.06		
"United Kingdom"	154879	74114	9.2	-12	0	7	3.2	1	3930	0.06		
"United States of America"	141322	21636	8.4	-14	-6	1	13.4	3	7938	0.08		
"Madagascar"	129676	101772	7.7	-3	23	138	0.02	2	7339	0.08		
"Spain"	83151	-26834	4.9	-7	-6	15	1.9	3	3890	0.05		
"Italy"	79773	-36928	4.7	-10	-21	11	2.5	2	2891	0.06		
"Netherlands"	69325	38906	4.1	-2	1	8	2.8	5	3706	0.07		
"Viet Nam"	66212	12664	3.9	-2	40	19	1.5	8	3535	0.19		
"Kenya"	50900	6751	3	-3	3	80	0.09	2	6680	0.08		
"India"	44572	-763383	2.6	27	38	10	2.6	2	5793	0.05		
"Belgium"	32497	-72786	1.9	6	6	12	2.4	3	2709	0.08		
"Germany"	29088	-111206	1.7	-11	-1	3	6.5	3	3376	0.05		
"Taipei, Chinese"	29061	-25318	1.7	7	19	17	1.7	8	5007	0.1		
"China"	25811	-891983	1.5	-5	8	2	11.1	5	6416	0.04		
"Switzerland"	25319	-11356	1.5	-5	19	20	1.5	4	3384	0.07		
"United Arab Emirates"	24389	-431475	1.4	-14	317	29	0.9	-2	5715	0.08		
"Seychelles"	24065	-41949	1.4	-6	1	187	0	-7	6627	0.06		
"Japan"	14335	-110915	0.9	-11	-29	4	3.5	1	6256	0.09		
"Thailand"	13289	-70629	0.8	-5	-25	23	1.2	2	4905	0.09		
"Singapore"	13205	-18231	0.8	-16	-40	16	1.9	3	5773	0.07		
"Australia"	10867	-51607	0.6	-3	29	24	1.1	1	10262	0.1		
"Portugal"	10273	-11232	0.6	-22	30	40	0.4	2	2788	0.14		
"Korea, Republic of"	9217	-36507	0.5	16	28	9	2.8	4	5699	0.09		
"Finland"	8182	5667	0.5	-7	-4	44	0.4	3	2842	0.07		
"Kuwait"	7404	6752	0.4	124	4715	76	0.1	-3	5837	0.07		
"Saudi Arabia"	7348	535	0.4	46	111	32	0.7	3	5816	0.07		
"Sweden"	7319	-1487	0.4	0	-9	31	0.9	3	2128	0.07		
"Bangladesh"	7009	-13106	0.4	-15	-55	49	0.3	6	4172	0.15		
"Denmark"	6848	-1653	0.4	-8	19	35	0.6	5	2182	0.08		
"Hong Kong, China"	6724	-11501	0.4	-9	94	5	3.3	3	2841	0.22		
"Comoros"	6698	6545	0.4	12	36	192	0	18	5731	0.22		
"Poland"	6146	-13646	0.4	4	32	18	1.5	8	3121	0.08		
"Guyana"	5728	5619	0.3			144	0.02	13	11175	0.21		
"Eswatini"	4908	4334	0.3	-10	-5	160	0	1	1597	0.74		
"Canada"	4572	-3885	0.3	-15	-16	14	2.2	1	5042	0.26		
"Mozambique"	3939	-1203	0.2	1	30	108	0.04	8	6196	0.1		
"Sri Lanka"	3822	-2398	0.2	-12	11292	85	0.08	-3	4351	0.16		
"Oman"	3402	-18318	0.2	44	318	83	0.08	-6	5977	0.08		
"Indonesia"	3341	-93610	0.2	9	23	30	0.9	2	5872	0.11		
"Czech Republic"	3205	-7723	0.2	-16	-44	28	1	4	2987	0.1		
"Israel"	3088	-1865	0.2	17	-25	42	0.4	4	5483	0.07		
"Greece"	2663	-2196	0.2	-32	-85	45	0.3	4	2847	0.05		
"Russian Federation"	2539	-132	0.2	11	-26	21	1.3	5	4187	0.09		
"Tanzania, United Republic of"	2449	2310	0.1	-4	96	102	0.05	7	6633	0.1		
"Zimbabwe"	2377	-2655	0.1	-18	-37	134	0.02	7	3754	0.39		
"Austria"	2254	-12799	0.1	8	-34	27	1	3	1514	0.18		
"Malta"	2171	1704	0.1	-13	2	120	0.03	1	3249	0.08		
"Ireland"	2116	-10100	0.1	-9	10	36	0.5	4	3265	0.1		
"Rwanda"	2098	2096	0.1	30	1505	159	0.01	17	5437	0.08		
"Peru"	1865	1541	0.1	356	4	54	0.2	3	10420	0.13		
"Belarus"	1587	1053	0.1	0	15	61	0.2	2	2268	0.23		
"Malaysia"	1585	-88859	0.1	-6	-32	25	1.1	3	5172	0.09		
"Lesotho"	1459	208	0.1	489	12	164	0	-2	1590	0.78		
"Angola"	1402	1144	0.1	35	-38	100	0.05	-11	7692	0.06		
"New Zealand"	1098	-61018	0.1	-20	-51	56	0.2	3	11141	0.09		
"Norway"	973	-3503	0.1	62	-17	39	0.5	3	3470	0.06		
"Mexico"	952	-5874	0.1	-23	-14	13	2.3	2	7039	0.24		
"Samoa"	916	916	0.1	57		197	0	-1	6816	0.13		
"Romania"	902	-1641	0.1	-12	-20	37	0.5	6	1891	0.07		
"Pakistan"	889	-21137	0.1	3	-50	47	0.3	2	4850	0.11		
"Ghana"	710	691	0	-11	69	82	0.08	8	8888	0.18		
"Cameroon"	671	-2382	0	-45	935	116	0.03	8	7279	0.14		
"Bulgaria"	625	-2747	0	9	-79	57	0.2	6	2237	0.05		
"Maldives"	560	-2703	0	-48	19	151	0.01	-3	4478	0.08		
"French Southern and Antarctic Territories"	528	528	0	72		214	0	14		0.12		
"Turkey"	521	-123439	0	-19	-55	22	1.2	3	4285	0.05		
"Lithuania"	504	-2823	0	2	31	59	0.2	7	1630	0.07		
"Panama"	473	-1883	0	-28	-70	60	0.2	1	8657	0.12		
"Côte d'Ivoire"	424	-271	0	2	-68	93	0.06	9	6793	0.08		
"Uganda"	402	-2604	0	-35	-27	132	0.02	11	5788	0.09		
"European Union Nes"	362	362	0									
"Namibia"	339	-439	0	3	-13	126	0.03	-1	3757	0.37		
"Botswana"	276	256	0	20	5	124	0.03	2	2968	0.52		
"Malawi"	275	-598	0	22	430	168	0	0	5169	0.15		
"Qatar"	270	-1607	0	-31	8717	70	0.1	0	5745	0.06		
"Congo"	268	144	0	-5	56	154	0.01	-18	6851	0.07		
"Croatia"	263	200	0	-11	26	63	0.2	6	1362	0.07		
"Hungary"	253	-11452	0	-24	-71	33	0.6	6	2180	0.09		
"Djibouti"	246	246	0	151	136	130	0.02	5	6387	0.22		
"Sudan"	236	236	0	21	61	122	0.03	-2		0.13		
"Chile"	216	-580	0	51	-54	43	0.4	6	11582	0.13		
"Bahrain"	215	-8588	0	1	16200	101	0.05	1	6359	0.08		
"Iran, Islamic Republic of"	201	-107	0	-32	2	72	0.1	-18	5612	0.13		
"Argentina"	184	-68034	0	-30	117	50	0.3	-5	10631	0.1		
"Brazil"	177	-67442	0	-28	-34	26	1	6	10879	0.09		
"Egypt"	168	-32720	0	-1	16	46	0.3	-1	5219	0.05		
"Nigeria"	164	130	0	-16	-20	53	0.2	17	7792	0.1		
"Slovakia"	159	-5332	0	-4	-31	38	0.5	4	2664	0.07		
"Cyprus"	145	-1526	0	8	347	105	0.05	-1	3118	0.09		
"Latvia"	138	-358	0	1	-12	77	0.1	7	1575	0.08		
"Liberia"	131	-561	0			87	0.07	17	11608	0.19		
"Somalia"	129	129	0	-38	84	150	0.01	9	5305	0.16		
"Albania"	126	-448	0	-3	35	121	0.03	6	1886	0.13		
"Burundi"	111	111	0	15	96	188	0	13	4755	0.14		
