Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mexico's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mexico (%)	
"World"	494595503	-11969956	100	3	19		100	3				
"United States of America"	386086718	164774982	78.1	3	17	1	13.4	3	7938	0.08		
"America not elsewhere specified"	13617760	13617760	2.8		56							
"Canada"	12895261	1670928	2.6	0	16	14	2.2	1	5042	0.26		
"China"	9078868	-91941911	1.8	7	17	2	11.1	5	6416	0.04		
"Taipei, Chinese"	7489937	-4286749	1.5	124	73	17	1.7	8	5007	0.1		
"Germany"	7427419	-9786946	1.5	1	13	3	6.5	3	3376	0.05		
"Area Nes"	5946359	2184697	1.2	159	314							
"Japan"	3977214	-13101753	0.8	1	10	4	3.5	1	6256	0.09		
"Brazil"	3472996	-5245419	0.7	-5	15	26	1	6	10879	0.09		
"Colombia"	3365581	1984915	0.7	-2	31	51	0.3	4	8915	0.13		
"Europe Othr. Nes"	3340916	3203841	0.7		60							
"Korea, Republic of"	3308495	-15654662	0.7	3	-4	9	2.8	4	5699	0.09		
"United Kingdom"	2991726	902264	0.6	7	14	7	3.2	1	3930	0.06		
"Guatemala"	2422926	1802909	0.5	7	27	68	0.1	7	5828	0.15		
"Netherlands"	2124849	-482227	0.4	0	4	8	2.8	5	3706	0.07		
"Chile"	1932220	-72491	0.4	-3	47	43	0.4	6	11582	0.13		
"Peru"	1516315	888567	0.3	-3	27	54	0.2	3	10420	0.13		
"Spain"	1426398	-3153653	0.3	-22	16	15	1.9	3	3890	0.05		
"El Salvador"	1394250	1106461	0.3	17	48	88	0.07	9	4914	0.15		
"Panama"	1328186	1300608	0.3	8	14	60	0.2	1	8657	0.12		
"France"	1313974	-2799511	0.3	-10	1	6	3.2	1	3195	0.06		
"Belgium"	1226666	-84555	0.2	-14	-11	12	2.4	3	2709	0.08		
"Switzerland"	1212806	-547091	0.2	12	24	20	1.5	4	3384	0.07		
"Honduras"	997007	432233	0.2	9	38	99	0.05	4	6104	0.16		
"Australia"	974376	657324	0.2	-6	1	24	1.1	1	10262	0.1		
"Costa Rica"	958078	145394	0.2	-2	23	86	0.08	3	6987	0.22		
"Nicaragua"	941283	167223	0.2	0	31	104	0.05	4	5888	0.1		
"Italy"	903814	-5199815	0.2	-12	-14	11	2.5	2	2891	0.06		
"Argentina"	877908	-32557	0.2	-15	24	50	0.3	-5	10631	0.1		
"Hong Kong, China"	814161	350907	0.2	5	-31	5	3.3	3	2841	0.22		
"Dominican Republic"	691523	489308	0.1	-1	26	67	0.1	5	6446	0.22		
"India"	675263	-5243014	0.1	-32	-12	10	2.6	2	5793	0.05		
"Singapore"	646963	-1291755	0.1	-11	-11	16	1.9	3	5773	0.07		
"Ecuador"	585324	435566	0.1	-5	25	69	0.1	3	9174	0.12		
