Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mongolia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mongolia (%)	
"Total"	7921971	1858196	100	4	29		100	3				
"China"	6579937	4481885	83.1	3	31	2	11.1	5	6416	0.04		
"Switzerland"	1057775	1041265	13.4	12	17	20	1.5	4	3384	0.07		
"Russian Federation"	43086	-1774382	0.5	0	12	21	1.3	5	4187	0.09		
"Italy"	39507	-5264	0.5	-9	39	11	2.5	2	2891	0.06		
"Thailand"	38916	23534	0.5	-1	48	23	1.2	2	4905	0.09		
"Japan"	35575	-464295	0.4	-9	145	4	3.5	1	6256	0.09		
"Korea, Republic of"	24949	-360037	0.3	9	21	9	2.8	4	5699	0.09		
"United States of America"	18839	-119087	0.2	16	59	1	13.4	3	7938	0.08		
"Taipei, Chinese"	14818	6936	0.2	-23	-21	17	1.7	8	5007	0.1		
"Germany"	13029	-162503	0.2	9	-18	3	6.5	3	3376	0.05		
"United Kingdom"	8625	-29351	0.1	1	13	7	3.2	1	3930	0.06		
"France"	7460	-29831	0.1	6	68	6	3.2	1	3195	0.06		
"Belgium"	7195	-22819	0.1	-3	1546	12	2.4	3	2709	0.08		
"Austria"	7073	-21107	0.1	12	115	27	1	3	1514	0.18		
"Singapore"	4243	-115518	0.1	31	220	16	1.9	3	5773	0.07		
"Turkey"	2933	-66754	0	3	39	22	1.2	3	4285	0.05		
"Poland"	2127	-79272	0	44	21	18	1.5	8	3121	0.08		
"Indonesia"	2098	-12416	0	-38	87	30	0.9	2	5872	0.11		
"Netherlands"	2073	-62724	0	32	23	8	2.8	5	3706	0.07		
"Canada"	1531	-9977	0	-13	47	14	2.2	1	5042	0.26		
"Spain"	1215	-7599	0	30	-13	15	1.9	3	3890	0.05		
"Brazil"	911	-224	0	61	267	26	1	6	10879	0.09		
"Sweden"	910	-18656	0	14	-29	31	0.9	3	2128	0.07		
"Estonia"	634	-16749	0	263	31600	73	0.1	6	2314	0.06		
"Saudi Arabia"	630	-546	0	-9	124	32	0.7	3	5816	0.07		
"Czech Republic"	605	-17384	0	-21	29	28	1	4	2987	0.1		
"India"	550	-26805	0	-21	-34	10	2.6	2	5793	0.05		
"Hong Kong, China"	546	-27142	0	-32	91	5	3.3	3	2841	0.22		
"Benin"	534	534	0	82	-91	149	0.01	-2	6481	0.07		
"Norway"	494	344	0	-15	35	39	0.5	3	3470	0.06		
"Australia"	419	-26877	0	-8	10	24	1.1	1	10262	0.1		
"Philippines"	380	-2016	0	115	53	34	0.6	2	4354	0.09		
"Ukraine"	330	-24779	0	-32	21	48	0.3	7	3255	0.06		
