Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mozambique's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mozambique (%)	
"World"	5111686	-3511011	100	-2	48		100	3				
"South Africa"	855242	-1397244	16.7	-3	17	41	0.4	-1	9230	0.07		
"India"	803155	63404	15.7	-23	90	10	2.6	2	5793	0.05		
"Netherlands"	561582	506878	11	-4	141	8	2.8	5	3706	0.07		
"China"	489427	-456936	9.6	12	92	2	11.1	5	6416	0.04		
"United Kingdom"	372258	224959	7.3	19	0	7	3.2	1	3930	0.06		
"Zimbabwe"	211106	184736	4.1	45	92	134	0.02	7	3754	0.39		
"Korea, Republic of"	193303	147944	3.8	101	141	9	2.8	4	5699	0.09		
"Singapore"	150535	-381898	2.9	-7	25	16	1.9	3	5773	0.07		
"Italy"	134883	66231	2.6	-11	-43	11	2.5	2	2891	0.06		
"Spain"	105625	69463	2.1	10	-1	15	1.9	3	3890	0.05		
"United States of America"	102338	-138500	2	10	70	1	13.4	3	7938	0.08		
"Poland"	100215	67655	2	21	55	18	1.5	8	3121	0.08		
"Japan"	91702	-138597	1.8	37	176	4	3.5	1	6256	0.09		
"Belgium"	80061	29572	1.6	3	-34	12	2.4	3	2709	0.08		
"Hong Kong, China"	74852	-7480	1.5	-29	1248	5	3.3	3	2841	0.22		
"United Arab Emirates"	73180	-643571	1.4	4	19	29	0.9	-2	5715	0.08		
"Zambia"	53772	29165	1.1	51	76	119	0.03	-9	5447	0.14		
"Malawi"	46231	12975	0.9	17	40	168	0	0	5169	0.15		
"Viet Nam"	45584	-25823	0.9	45	-34	19	1.5	8	3535	0.19		
"Pakistan"	43463	-62243	0.9	89	4412	47	0.3	2	4850	0.11		
"Thailand"	40859	-64704	0.8	12	597	23	1.2	2	4905	0.09		
"Canada"	38077	-17004	0.7	131	124	14	2.2	1	5042	0.26		
"Switzerland"	37135	15356	0.7	15	49	20	1.5	4	3384	0.07		
"Malaysia"	35646	-214602	0.7	194	244	25	1.1	3	5172	0.09		
"Croatia"	31808	31477	0.6	55	1821	63	0.2	6	1362	0.07		
"Slovenia"	29972	29720	0.6	79	-5	55	0.2	10	2404	0.07		
"Kenya"	27081	15731	0.5	0	293	80	0.09	2	6680	0.08		
"Portugal"	27004	-275876	0.5	1	21	40	0.4	2	2788	0.14		
"Eswatini"	25275	-31509	0.5	55	139	160	0	1	1597	0.74		
"Germany"	23838	-43426	0.5	19	52	3	6.5	3	3376	0.05		
"Bahrain"	21433	-35408	0.4	-51		101	0.05	1	6359	0.08		
"Mauritius"	21120	-18379	0.4	16	231	133	0.02	-2	7320	0.08		
"Mexico"	19476	9980	0.4	-10	24300	13	2.3	2	7039	0.24		
"Togo"	16518	16506	0.3		31465	153	0.01	10	7318	0.08		
"France"	13846	-192095	0.3	-24	-15	6	3.2	1	3195	0.06		
"Russian Federation"	13240	-39276	0.3	13	225	21	1.3	5	4187	0.09		
"Turkey"	10751	-66149	0.2	-32	67	22	1.2	3	4285	0.05		
"Lesotho"	6886	2960	0.1	89	-12	164	0	-2	1590	0.78		
"Botswana"	6856	5487	0.1	-6	39	124	0.03	2	2968	0.52		
"Congo, Democratic Republic of the"	5838	5832	0.1		1267	111	0.04	13	6479	0.14		
"Nigeria"	5728	-1217	0.1	41	320	53	0.2	17	7792	0.1		
"Ukraine"	5424	-8835	0.1	19	193	48	0.3	7	3255	0.06		
"Luxembourg"	5111	-9249	0.1	962	208	71	0.1	3	1488	0.14		
"Greece"	5092	4306	0.1	12	-54	45	0.3	4	2847	0.05		
"Indonesia"	4372	-66389	0.1	2	5	30	0.9	2	5872	0.11		
"Tanzania, United Republic of"	4249	-44256	0.1	-29	-16	102	0.05	7	6633	0.1		
"Kuwait"	4128	-30989	0.1	626	4608	76	0.1	-3	5837	0.07		
"Ghana"	2460	2218	0	9	3420	82	0.08	8	8888	0.18		
"Saudi Arabia"	2444	-96634	0	81	-31	32	0.7	3	5816	0.07		
"Oman"	2194	-73090	0	35	16	83	0.08	-6	5977	0.08		
"Hungary"	2039	1232	0	18	165	33	0.6	6	2180	0.09		
"Sweden"	1981	-5099	0	13	-47	31	0.9	3	2128	0.07		
"Senegal"	1893	1736	0	-23	10315	110	0.04	4	6632	0.05		
"Morocco"	1740	994	0	200	88	52	0.3	4	4316	0.07		
"Romania"	1673	-1128	0	-45	64	37	0.5	6	1891	0.07		
"Gabon"	1377	1283	0	287	113095	158	0.01	-2	7114	0.11		
"Brazil"	1307	-31010	0	14	-96	26	1	6	10879	0.09		
"Austria"	1231	-14056	0	233	1124	27	1	3	1514	0.18		
"Côte d'Ivoire"	1202	-498	0	-20		93	0.06	9	6793	0.08		
"Denmark"	1107	-18935	0	-13	684	35	0.6	5	2182	0.08		
"Qatar"	1053	-873	0	-19	938	70	0.1	0	5745	0.06		
"Rwanda"	990	187	0	-36	23595	159	0.01	17	5437	0.08		
"Angola"	952	570	0	-16	-81	100	0.05	-11	7692	0.06		
"Jordan"	927	291	0	-27	3379	84	0.08	0	5167	0.07		
"Australia"	908	-93597	0	-20	-92	24	1.1	1	10262	0.1		
"Bangladesh"	878	-267	0	88	-79	49	0.3	6	4172	0.15		
"Bulgaria"	859	-226	0	-48		57	0.2	6	2237	0.05		
"Congo"	854	334	0	0	177	154	0.01	-18	6851	0.07		
"Uzbekistan"	762	762	0	726	431	74	0.1	16	3412	0.12		
"Madagascar"	718	-10162	0	-25	32	138	0.02	2	7339	0.08		
"Philippines"	428	-3	0	-32	-66	34	0.6	2	4354	0.09		
"Cuba"	416	412	0	34	277	145	0.02	-13	7148	0.09		
"Uganda"	406	-939	0	-36	-59	132	0.02	11	5788	0.09		
"Nepal"	329	278	0	534	-45	96	0.06	8	1856	0.56		
"Latvia"	296	-279	0		250	77	0.1	7	1575	0.08		
"Lebanon"	275	-1876	0	-48	-70	97	0.06	-12	3592	0.06		
"Suriname"	247	246	0			173	0	1	9050	0.14		
"Cameroon"	230	-75	0	57	196	116	0.03	8	7279	0.14		
"Israel"	180	-2646	0	59	-13	42	0.4	4	5483	0.07		
"Belarus"	176	-3497	0		292	61	0.2	2	2268	0.23		
"Namibia"	172	-54274	0	12	-83	126	0.03	-1	3757	0.37		
"Taipei, Chinese"	161	-9460	0	43	-38	17	1.7	8	5007	0.1		
"Norway"	153	-42826	0	-6	-74	39	0.5	3	3470	0.06		
"Serbia"	142	44	0	-73	94	65	0.2	9	2497	0.06		
"Curaçao"	132	-3514	0	-42	-96	163	0	-12		0.24		
"Burundi"	123	122	0	-55	1111	188	0	13	4755	0.14		
"Georgia"	100	-1720	0			113	0.04	-2	2513	0.09		
"Finland"	90	-4783	0	132	58	44	0.4	3	2842	0.07		
"Cyprus"	89	-1425	0		784	105	0.05	-1	3118	0.09		
"Chile"	74	-743	0	-14	-50	43	0.4	6	11582	0.13		
"Dominican Republic"	63	-44	0	128	-89	67	0.1	5	6446	0.22		
"New Zealand"	62	-475	0	-7	19	56	0.2	3	11141	0.09		
"Marshall Islands"	61	-18	0	100	-90	91	0.06	-1	7455	0.18		
"Guyana"	45	45	0		1171	144	0.02	13	11175	0.21		
"South Sudan"	43	-41	0			194	0	12		0.25		
"Korea, Democratic People's Republic of"	43	-1014	0	-31	-88	200	0	-49	1470	0.87		
"Libya, State of"	41	41	0	-25		89	0.07	12	3475	0.08		
"Egypt"	35	-9486	0	34	-82	46	0.3	-1	5219	0.05		
"Mali"	25	23	0	-11	-78	141	0.02	9	5008	0.1		
"Panama"	22	-183	0	-19	-65	60	0.2	1	8657	0.12		
"Lao People's Democratic Republic"	18	18	0			129	0.02	-1	2572	0.28		
"Czech Republic"	18	-5357	0	-71	-99	28	1	4	2987	0.1		
"Sudan"	16	13	0	-54		122	0.03	-2		0.13		
"Mauritania"	16	-46	0	-63		146	0.02	1	5817	0.07		
"Tunisia"	14	-132	0	-24	-99	78	0.10	-1	3411	0.06		
"Liberia"	14	-659	0	-53	93	87	0.07	17	11608	0.19		
"Afghanistan"	14	-1083	0		-69	147	0.02	-8	2990	0.12		
"Ireland"	14	-14195	0		813	36	0.5	4	3265	0.1		
"Guatemala"	12	12	0			68	0.1	7	5828	0.15		
"Ethiopia"	12	-809	0	50	-93	90	0.07	1	6305	0.11		
"Ecuador"	9	9	0		-11	69	0.1	3	9174	0.12		
"Bahamas"	9	8	0	79	17	115	0.03	-8	6248	0.19		
"Saint Vincent and the Grenadines"	8	-6	0			196	0	3	6798	0.14		
"Sri Lanka"	8	-1427	0	-24	-28	85	0.08	-3	4351	0.16		
"Cook Islands"	4	4	0			206	0	-4	9417	0.22		
"Kiribati"	3	-38	0			205	0	10	5936	0.13		
"United States Minor Outlying Islands"	3	-1078	0		-99	177	0	0		0.21		
"Malta"	3	-8593	0	70	-97	120	0.03	1	3249	0.08		
"European Union Nes"	2	2	0	-56	-95							
"Argentina"	2	-91994	0	-63	-80	50	0.3	-5	10631	0.1		
"Vanuatu"	1	1	0			198	0	-2	6248	0.13		
"Niger"	1	-3	0			162	0	13	5715	0.09		
"Gibraltar"	1	-277	0			114	0.03	-5	2572	0.09		
"Kazakhstan"		-1				58	0.2	6	3017	0.25		
"Brunei Darussalam"		-1				109	0.04	26	5185	0.11		
"Moldova, Republic of"		-1				118	0.03	8	2317	0.08		
"Burkina Faso"		-1				136	0.02	5	6109	0.05		
"Gambia"		-1				167	0	7	8260	0.14		
"Greenland"		-1				180	0	6	3482	0.44		
"Timor-Leste"		-1				183	0	12	3988	0.22		
"Central African Republic"		-1				199	0	7	6606	0.08		
"Sint Maarten (Dutch part)"		-1				213	0	-7		0.43		
"Bosnia and Herzegovina"		-2				94	0.06	3	2228	0.07		
"Macedonia, North"		-2				103	0.05	8	1348	0.09		
"Azerbaijan"		-3				98	0.05	5	3712	0.09		
"Haiti"		-3				140	0.02	0	6340	0.18		
"Bonaire, Sint Eustatius and Saba"		-3				189	0	20		0.19		
"Samoa"		-3				197	0	-1	6816	0.13		
"Christmas Island"		-3				220	0	3		0.69		
"Kyrgyzstan"		-4				127	0.03	1	2892	0.2		
"Armenia"		-4				131	0.02	6	3323	0.15		
"Aruba"		-4				175	0	-3	4917	0.3		
"Belize"		-4				179	0	1	5006	0.18		
"Anguilla"		-4				212	0	-5	4397	0.58		
"Saint Pierre and Miquelon"		-4				215	0	10	3489	0.45		
"Tokelau"		-4				226	0	-33	11566	0.22		
"Barbados"		-5				161	0	0	4992	0.21		
"Saint Kitts and Nevis"		-5				201	0	-12	5440	0.41		
"Dominica"		-6				185	0	8	4908	0.65		
"Iceland"		-7				112	0.04	-1	4251	0.05		
"Bolivia, Plurinational State of"		-9				106	0.04	-3	7978	0.11		
"Sierra Leone"		-10				170	0	10	8820	0.13		
"Bhutan"		-10				178	0	15	1733	0.63		
"Syrian Arab Republic"		-11				139	0.02	-3	2496	0.27		
"Peru"		-12				54	0.2	3	10420	0.13		
"Iraq"		-12				62	0.2	3	4107	0.18		
"Venezuela, Bolivarian Republic of"		-12				117	0.03	-11	8121	0.16		
"Tajikistan"		-12				142	0.02	9	2803	0.17		
"Cabo Verde"		-12				181	0	4	5196	0.21		
"Guinea-Bissau"		-13				195	0	2	5802	0.16		
"Cambodia"		-15				66	0.1	16	2651	0.18		
"Andorra"		-17				166	0	2	610	0.52		
"Maldives"		-27				151	0.01	-3	4478	0.08		
"Turks and Caicos Islands"		-29				193	0	-3	3491	0.74		
"French Southern and Antarctic Territories"		-30				214	0	14		0.12		
"Neutral Zone"		-32										
"Guinea"		-35				135	0.02	7	9140	0.19		
"Turkmenistan"		-36				148	0.02	4	3495	0.15		
"Palau"		-37				209	0	1	6232	0.16		
"Comoros"		-45				192	0	18	5731	0.22		
"Fiji"		-47				157	0.01	-7	7384	0.12		
"Iran, Islamic Republic of"		-49				72	0.1	-18	5612	0.13		
"Nicaragua"		-49				104	0.05	4	5888	0.1		
"Western Sahara"		-52				221	0	-16	12469	0.9		
"Pitcairn"		-61				227	0	-5		0.23		
"Myanmar"		-68				79	0.10	-1	2536	0.25		
"British Virgin Islands"		-72				156	0.01	8	7242	0.27		
"Trinidad and Tobago"		-74				128	0.03	-1	6663	0.26		
"Albania"		-96				121	0.03	6	1886	0.13		
"Yemen"		-103				107	0.04	11	5706	0.11		
"Costa Rica"		-110				86	0.08	3	6987	0.22		
"Jamaica"		-111				137	0.02	-2	6759	0.22		
"Algeria"		-119				64	0.2	-8	4584	0.07		
"Djibouti"		-123				130	0.02	5	6387	0.22		
"Chad"		-146				184	0	13	6931	0.16		
"Honduras"		-220				99	0.05	4	6104	0.16		
"El Salvador"		-232				88	0.07	9	4914	0.15		
"Estonia"		-237				73	0.1	6	2314	0.06		
"Macao, China"		-247				81	0.09	15		0.17		
"Seychelles"		-293				187	0	-7	6627	0.06		
"Colombia"		-516				51	0.3	4	8915	0.13		
"Slovakia"		-838				38	0.5	4	2664	0.07		
"Somalia"		-858				150	0.01	9	5305	0.16		
"Paraguay"		-1208				92	0.06	0	7311	0.15		
"Lithuania"		-6574				59	0.2	7	1630	0.07		
"Uruguay"		-26985				95	0.06	0	9836	0.11		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Cayman Islands"						123	0.03	5	7522	0.35		
"Mongolia"						125	0.03	8	3267	0.22		
"Papua New Guinea"						143	0.02	-1	4973	0.17		
"Benin"						149	0.01	-2	6481	0.07		
"Montenegro"						152	0.01	0	2382	0.08		
"New Caledonia"						155	0.01	-1	11471	0.2		
"French Polynesia"						165	0	1	13300	0.24		
"Bermuda"						169	0	-3	8006	0.28		
"Saint Lucia"						171	0	-10	5321	0.23		
"Faroe Islands"						172	0	7	1404	0.27		
"Antigua and Barbuda"						174	0	1	6334	0.27		
"Palestine, State of"						176	0	8	3026	0.1		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Free Zones"						186	0	-34		0.92		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Tonga"						202	0	4	5771	0.16		
"Eritrea"						203	0	-8	6303	0.14		
"Tuvalu"						204	0	17	6386	0.21		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Micronesia, Federated States of"						208	0	-8	7109	0.19		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Nauru"						211	0	18	6014	0.27		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
