Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Myanmar's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Myanmar (%)	
"Total"	18883691	-2443043	100	10	0		100	3				
"China"	6697647	-2648924	35.5	11	6	2	11.1	5	6416	0.04		
"Thailand"	2815056	-1446087	14.9	2	0	23	1.2	2	4905	0.09		
"Germany"	1114586	1015073	5.9	15	-12	3	6.5	3	3376	0.05		
"United States of America"	997358	782330	5.3	31	-7	1	13.4	3	7938	0.08		
"Japan"	960675	624106	5.1	-2	-26	4	3.5	1	6256	0.09		
"India"	798775	-40262	4.2	4	39	10	2.6	2	5793	0.05		
"Spain"	648293	624083	3.4	33	-10	15	1.9	3	3890	0.05		
"Poland"	541157	532400	2.9	58	51	18	1.5	8	3121	0.08		
"Korea, Republic of"	445690	78062	2.4	-2	-4	9	2.8	4	5699	0.09		
"France"	403529	357108	2.1	12	-14	6	3.2	1	3195	0.06		
"United Kingdom"	370669	344342	2	4	-3	7	3.2	1	3930	0.06		
"Italy"	289955	245255	1.5	15	2	11	2.5	2	2891	0.06		
"Malaysia"	282155	-371976	1.5	1	27	25	1.1	3	5172	0.09		
"Netherlands"	265652	229680	1.4	20	9	8	2.8	5	3706	0.07		
"Philippines"	199454	147214	1.1	86	72	34	0.6	2	4354	0.09		
"Belgium"	166266	128045	0.9	4	-11	12	2.4	3	2709	0.08		
"Indonesia"	165906	-953435	0.9	5	-11	30	0.9	2	5872	0.11		
"Switzerland"	164988	147178	0.9	22	15	20	1.5	4	3384	0.07		
"Russian Federation"	147304	-137029	0.8	34	1	21	1.3	5	4187	0.09		
"Czech Republic"	130070	126150	0.7	26	7	28	1	4	2987	0.1		
"Denmark"	118047	110629	0.6	3	-10	35	0.6	5	2182	0.08		
"Canada"	110048	81924	0.6	6	-16	14	2.2	1	5042	0.26		
"Hong Kong, China"	109648	-77968	0.6	3	24	5	3.3	3	2841	0.22		
"Sweden"	100363	67295	0.5	35	12	31	0.9	3	2128	0.07		
"Singapore"	84402	-2534239	0.4	-10	-26	16	1.9	3	5773	0.07		
"Saudi Arabia"	69047	46324	0.4	15	-15	32	0.7	3	5816	0.07		
"Mexico"	66602	66602	0.4	33	5	13	2.3	2	7039	0.24		
"Austria"	64365	51703	0.3	5	0	27	1	3	1514	0.18		
"Taipei, Chinese"	62674	-109846	0.3	1	-1	17	1.7	8	5007	0.1		
"Slovakia"	54147	52695	0.3	30	6	38	0.5	4	2664	0.07		
"Norway"	47348	45724	0.3	17	4	39	0.5	3	3470	0.06		
