Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Nicaragua's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Nicaragua (%)	
"World"	6495086	-3668112	100	6	28		100	3				
"United States of America"	3663099	1220693	56.4	5	21	1	13.4	3	7938	0.08		
"Mexico"	768630	-99330	11.8	23	93	13	2.3	2	7039	0.24		
"El Salvador"	386385	12201	5.9	9	16	88	0.07	9	4914	0.15		
"Honduras"	336997	-346163	5.2	13	77	99	0.05	4	6104	0.16		
"Costa Rica"	189332	-331875	2.9	4	24	86	0.08	3	6987	0.22		
"Guatemala"	161612	-556823	2.5	8	28	68	0.1	7	5828	0.15		
"Taipei, Chinese"	122009	72665	1.9	2	-2	17	1.7	8	5007	0.1		
"Belgium"	85115	68436	1.3	11	28	12	2.4	3	2709	0.08		
"Germany"	67939	-52049	1	-3	18	3	6.5	3	3376	0.05		
"Panama"	65698	3012	1	10	65	60	0.2	1	8657	0.12		
"United Kingdom"	56800	42906	0.9	-8	-8	7	3.2	1	3930	0.06		
"Italy"	49788	4699	0.8	5	39	11	2.5	2	2891	0.06		
"Spain"	41203	-41495	0.6	-6	-17	15	1.9	3	3890	0.05		
"Netherlands"	40499	-683642	0.6	11	22	8	2.8	5	3706	0.07		
"Ecuador"	33857	-123104	0.5	59	24	69	0.1	3	9174	0.12		
"Canada"	33366	-24295	0.5	-9	-6	14	2.2	1	5042	0.26		
"France"	29917	-22007	0.5	-11	23	6	3.2	1	3195	0.06		
"Switzerland"	26888	4112	0.4	80	2274	20	1.5	4	3384	0.07		
"Korea, Republic of"	25415	-99852	0.4		-58	9	2.8	4	5699	0.09		
"Hong Kong, China"	24154	17128	0.4	-4	45	5	3.3	3	2841	0.22		
"Dominican Republic"	20947	-24336	0.3	4	15	67	0.1	5	6446	0.22		
"Colombia"	20575	-49392	0.3	21	270	51	0.3	4	8915	0.13		
"Japan"	19318	-127491	0.3	-7	8	4	3.5	1	6256	0.09		
"Sweden"	18644	1680	0.3	13	39	31	0.9	3	2128	0.07		
"China"	16489	-1206681	0.3	-17	32	2	11.1	5	6416	0.04		
"Venezuela, Bolivarian Republic of"	15865	15521	0.2	-43	298	117	0.03	-11	8121	0.16		
"Russian Federation"	13114	-117915	0.2	0	26	21	1.3	5	4187	0.09		
"Australia"	11846	-2130	0.2	-7	85	24	1.1	1	10262	0.1		
"Portugal"	11307	2103	0.2	16	3047	40	0.4	2	2788	0.14		
"Haiti"	11139	9995	0.2	-2	-2	140	0.02	0	6340	0.18		
"United States Minor Outlying Islands"	8173	8172	0.1	28	-18	177	0	0		0.21		
"Cuba"	7517	-3023	0.1	62	9	145	0.02	-13	7148	0.09		
"India"	7292	-354906	0.1	29	43	10	2.6	2	5793	0.05		
"Peru"	6851	-27513	0.1	-15	-5	54	0.2	3	10420	0.13		
"Brazil"	6850	-115466	0.1	16	208	26	1	6	10879	0.09		
"Jordan"	6739	6569	0.1	17	39	84	0.08	0	5167	0.07		
"United Arab Emirates"	6075	-1930	0.1	6	16	29	0.9	-2	5715	0.08		
"Thailand"	5305	-42492	0.1	13	31	23	1.2	2	4905	0.09		
"Ireland"	4736	-482	0.1	22	-8	36	0.5	4	3265	0.1		
"Finland"	4282	1799	0.1	-10	-34	44	0.4	3	2842	0.07		
"Mauritania"	4170	4170	0.1		-73	146	0.02	1	5817	0.07		
"Viet Nam"	4094	-45674	0.1	-24	198	19	1.5	8	3535	0.19		
"Austria"	3876	-7065	0.1	38	1592	27	1	3	1514	0.18		
"Chile"	3835	-23703	0.1	10	-13	43	0.4	6	11582	0.13		
"Poland"	3794	-345205	0.1	-21	103	18	1.5	8	3121	0.08		
"Malaysia"	3450	-14964	0.1	-13	-62	25	1.1	3	5172	0.09		
"Turkey"	3356	-22298	0.1	187	33	22	1.2	3	4285	0.05		
"Bulgaria"	3295	1147	0.1	-3	5	57	0.2	6	2237	0.05		
"Congo"	2780	2780	0			154	0.01	-18	6851	0.07		
"Slovakia"	2296	1665	0	107	77	38	0.5	4	2664	0.07		
"South Africa"	2080	-4564	0	-12	242	41	0.4	-1	9230	0.07		
"Jamaica"	2025	1699	0	40	386	137	0.02	-2	6759	0.22		
"Bolivia, Plurinational State of"	1617	1087	0	12	33	106	0.04	-3	7978	0.11		
"Ghana"	1542	1542	0	64	-24	82	0.08	8	8888	0.18		
"Norway"	1471	228	0	4	-8	39	0.5	3	3470	0.06		
"Greece"	1391	-245	0	26	-45	45	0.3	4	2847	0.05		
"New Zealand"	1297	511	0	-9	73	56	0.2	3	11141	0.09		
"Lebanon"	1215	1144	0	30	241	97	0.06	-12	3592	0.06		
"Romania"	1101	304	0	63	218	37	0.5	6	1891	0.07		
"Guyana"	974	938	0			144	0.02	13	11175	0.21		
"Hungary"	866	-3880	0	32	127	33	0.6	6	2180	0.09		
"Iceland"	846	831	0	11	23	112	0.04	-1	4251	0.05		
"Ukraine"	789	149	0	46	-80	48	0.3	7	3255	0.06		
"Czech Republic"	735	-5817	0	-13	39	28	1	4	2987	0.1		
"Lithuania"	724	-357	0	12	-59	59	0.2	7	1630	0.07		
"Belize"	722	574	0	14	-16	179	0	1	5006	0.18		
"Singapore"	677	-9204	0	32	40	16	1.9	3	5773	0.07		
"Denmark"	636	-7856	0	-18	-21	35	0.6	5	2182	0.08		
"Serbia"	583	241	0		-48	65	0.2	9	2497	0.06		
"Israel"	557	-5346	0	8	14	42	0.4	4	5483	0.07		
"Saudi Arabia"	514	-7525	0	47	-11	32	0.7	3	5816	0.07		
"Latvia"	456	-140	0	16	85	77	0.1	7	1575	0.08		
"Cyprus"	422	263	0	43	198	105	0.05	-1	3118	0.09		
"Tunisia"	412	-32	0		578	78	0.10	-1	3411	0.06		
"Oman"	337	-4582	0	25	47	83	0.08	-6	5977	0.08		
"Argentina"	302	-96514	0	-1	60	50	0.3	-5	10631	0.1		
"Côte d'Ivoire"	274	274	0	-85		93	0.06	9	6793	0.08		
"Suriname"	268	268	0	-17	7344	173	0	1	9050	0.14		
"Philippines"	262	-6225	0	-15	-80	34	0.6	2	4354	0.09		
"Togo"	252	252	0		-83	153	0.01	10	7318	0.08		
"Madagascar"	226	224	0			138	0.02	2	7339	0.08		
"Libya, State of"	218	218	0			89	0.07	12	3475	0.08		
"Curaçao"	218	-23113	0	-12	-69	163	0	-12		0.24		
"Kenya"	164	126	0	349	145	80	0.09	2	6680	0.08		
"Senegal"	163	163	0		36	110	0.04	4	6632	0.05		
"British Indian Ocean Territory"	157	157	0			219	0	-9		0.67		
"Cambodia"	157	-1233	0		-11	66	0.1	16	2651	0.18		
"Liberia"	155	133	0	172	38	87	0.07	17	11608	0.19		
"Sri Lanka"	154	-3132	0	-46		85	0.08	-3	4351	0.16		
"Syrian Arab Republic"	126	102	0	-17		139	0.02	-3	2496	0.27		
"Uruguay"	121	-16177	0	6	83	95	0.06	0	9836	0.11		
"Montenegro"	111	108	0			152	0.01	0	2382	0.08		
"Trinidad and Tobago"	104	-2504	0	-31	162	128	0.03	-1	6663	0.26		
"Pakistan"	90	-2409	0	-22	-88	47	0.3	2	4850	0.11		
"Cayman Islands"	87	87	0	0	13	123	0.03	5	7522	0.35		
"Morocco"	87	-1117	0			52	0.3	4	4316	0.07		
"Nigeria"	71	-976	0	103	1809	53	0.2	17	7792	0.1		
"Bahamas"	65	65	0	29	-99	115	0.03	-8	6248	0.19		
"Iran, Islamic Republic of"	61	11	0	-33		72	0.1	-18	5612	0.13		
"Aruba"	55	55	0	5	506	175	0	-3	4917	0.3		
"Anguilla"	38	38	0		583	212	0	-5	4397	0.58		
"Angola"	33	33	0	79	51	100	0.05	-11	7692	0.06		
"Kuwait"	32	32	0	108	135	76	0.1	-3	5837	0.07		
"Iraq"	31	31	0	-6	343	62	0.2	3	4107	0.18		
"Antigua and Barbuda"	31	31	0			174	0	1	6334	0.27		
"Bahrain"	31	12	0		138	101	0.05	1	6359	0.08		
"Marshall Islands"	27	27	0	57	82	91	0.06	-1	7455	0.18		
"Mozambique"	23	23	0		-32	108	0.04	8	6196	0.1		
"Croatia"	22	11	0	282	34	63	0.2	6	1362	0.07		
"Macedonia, North"	18	-108	0	38	93	103	0.05	8	1348	0.09		
"Malta"	16	-126	0	-27	280	120	0.03	1	3249	0.08		
"Indonesia"	16	-44308	0	-65		30	0.9	2	5872	0.11		
"Namibia"	15	-192	0		226	126	0.03	-1	3757	0.37		
"Andorra"	14	14	0	-17	60	166	0	2	610	0.52		
"Paraguay"	14	-1401	0	-42	-94	92	0.06	0	7311	0.15		
"Belarus"	14	-1555	0			61	0.2	2	2268	0.23		
"Albania"	13	9	0		-57	121	0.03	6	1886	0.13		
"Slovenia"	11	-506	0	-27		55	0.2	10	2404	0.07		
"Macao, China"	9	-50	0	-10	26	81	0.09	15		0.17		
"Zambia"	8	8	0			119	0.03	-9	5447	0.14		
"Bermuda"	6	6	0			169	0	-3	8006	0.28		
"Qatar"	6	-987	0		418	70	0.1	0	5745	0.06		
"Congo, Democratic Republic of the"	5	4	0	6	150	111	0.04	13	6479	0.14		
"Seychelles"	4	4	0			187	0	-7	6627	0.06		
"Benin"	1	1	0			149	0.01	-2	6481	0.07		
