Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Oman's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Oman (%)	
"Total"	52661665	34771053	100	11	70		100	3				
"China"	25705868	22432279	48.8	12	65	2	11.1	5	6416	0.04		
"India"	5827731	3334483	11.1	12	91	10	2.6	2	5793	0.05		
"Korea, Republic of"	2999022	2611235	5.7	3	38	9	2.8	4	5699	0.09		
"United States of America"	1988807	589317	3.8	7	124	1	13.4	3	7938	0.08		
"South Africa"	1875707	1821091	3.6	19	183	41	0.4	-1	9230	0.07		
"Saudi Arabia"	1787934	948878	3.4	6	8	32	0.7	3	5816	0.07		
"Taipei, Chinese"	1772280	1691123	3.4	-6	143	17	1.7	8	5007	0.1		
"Japan"	1420350	245050	2.7	-12	-3	4	3.5	1	6256	0.09		
"Thailand"	1324154	819540	2.5	72	135	23	1.2	2	4905	0.09		
"Turkey"	1051794	553615	2	90	219	22	1.2	3	4285	0.05		
"Malaysia"	783915	493201	1.5	22	21	25	1.1	3	5172	0.09		
"Brazil"	692641	-853258	1.3	41	343	26	1	6	10879	0.09		
"Indonesia"	597659	348248	1.1	18	75	30	0.9	2	5872	0.11		
"Singapore"	520930	283914	1	27	85	16	1.9	3	5773	0.07		
"Pakistan"	451266	274755	0.9	-9	-27	47	0.3	2	4850	0.11		
"Madagascar"	388952	388645	0.7	289	670	138	0.02	2	7339	0.08		
"Maldives"	337917	337889	0.6	183	119	151	0.01	-3	4478	0.08		
"Egypt"	269617	128708	0.5	11	-13	46	0.3	-1	5219	0.05		
"Philippines"	250081	242734	0.5	21	1132	34	0.6	2	4354	0.09		
"Tanzania, United Republic of"	221086	211748	0.4	83	138	102	0.05	7	6633	0.1		
"Kenya"	200834	181524	0.4	37	113	80	0.09	2	6680	0.08		
