Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Papua New Guinea's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Papua New Guinea (%)	
"Total"	11608160	7423074	100	1	17		100	3				
"Japan"	3034528	2849319	26.1	3	47	4	3.5	1	6256	0.09		
"China"	2712751	1764111	23.4	3	19	2	11.1	5	6416	0.04		
"Australia"	1689805	422768	14.6	-9	-29	24	1.1	1	10262	0.1		
"Taipei, Chinese"	788426	727458	6.8	-1	16	17	1.7	8	5007	0.1		
"Korea, Republic of"	689968	614091	5.9	35	29	9	2.8	4	5699	0.09		
"Netherlands"	464890	448776	4	6	21	8	2.8	5	3706	0.07		
"Singapore"	418482	-125750	3.6	14	47	16	1.9	3	5773	0.07		
"India"	325630	258932	2.8	12	290	10	2.6	2	5793	0.05		
"Germany"	247271	233254	2.1	-2	48	3	6.5	3	3376	0.05		
"Philippines"	212478	197146	1.8	-16	71	34	0.6	2	4354	0.09		
"Malaysia"	147015	-194379	1.3	-5	-25	25	1.1	3	5172	0.09		
"Indonesia"	125797	-70218	1.1	32	277	30	0.9	2	5872	0.11		
"United Kingdom"	125494	103988	1.1	-1	18	7	3.2	1	3930	0.06		
"Italy"	124823	98503	1.1	14	14	11	2.5	2	2891	0.06		
"Spain"	85019	80873	0.7	-16	23	15	1.9	3	3890	0.05		
"Bulgaria"	81920	81718	0.7	1395	-35	57	0.2	6	2237	0.05		
"United States of America"	80615	36301	0.7	-9	-10	1	13.4	3	7938	0.08		
"Hong Kong, China"	58363	32266	0.5	23	30	5	3.3	3	2841	0.22		
"Brunei Darussalam"	56405	56376	0.5	2415	88	109	0.04	26	5185	0.11		
"France"	35109	32026	0.3	4	30	6	3.2	1	3195	0.06		
"Belgium"	28933	15308	0.2	-16	-2	12	2.4	3	2709	0.08		
"Finland"	25951	24687	0.2	79	6453	44	0.4	3	2842	0.07		
"New Zealand"	12379	-81484	0.1	6	14	56	0.2	3	11141	0.09		
"Portugal"	7491	7458	0.1	47	131	40	0.4	2	2788	0.14		
"Fiji"	5468	-6215	0	0	-1	157	0.01	-7	7384	0.12		
"Russian Federation"	3137	2593	0	-8	-7	21	1.3	5	4187	0.09		
"Thailand"	3071	-132128	0	-65	-94	23	1.2	2	4905	0.09		
"Switzerland"	2820	1059	0	-16	-22	20	1.5	4	3384	0.07		
"Sweden"	2607	1264	0	-1	131	31	0.9	3	2128	0.07		
"Canada"	2557	-1643	0	-1	-49	14	2.2	1	5042	0.26		
"Poland"	1626	1440	0	-2	73	18	1.5	8	3121	0.08		
"Greece"	1271	1259	0	32	47	45	0.3	4	2847	0.05		
"Denmark"	799	-7696	0	11	-69	35	0.6	5	2182	0.08		
"Norway"	430	-36	0	60	106	39	0.5	3	3470	0.06		
"Austria"	426	-855	0	-18	-24	27	1	3	1514	0.18		
"Czech Republic"	418	-6184	0	15	-1	28	1	4	2987	0.1		
"Israel"	393	-337	0	19	327	42	0.4	4	5483	0.07		
"Serbia"	380	380	0	285	368	65	0.2	9	2497	0.06		
"Egypt"	309	277	0		-59	46	0.3	-1	5219	0.05		
"Congo"	295	295	0		4	154	0.01	-18	6851	0.07		
