Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Paraguay's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Paraguay (%)	
"World"	10547296	-3012433	100	3	24		100	3				
"Brazil"	3553810	238932	33.7	6	17	26	1	6	10879	0.09		
"Argentina"	2752067	233118	26.1	17	28	50	0.3	-5	10631	0.1		
"Chile"	989298	633639	9.4	12	29	43	0.4	6	11582	0.13		
"Russian Federation"	702659	638920	6.7	0	50	21	1.3	5	4187	0.09		
"United States of America"	216252	-1752329	2.1	17	25	1	13.4	3	7938	0.08		
"India"	212754	-55625	2	-6	29	10	2.6	2	5793	0.05		
"Uruguay"	171429	-216030	1.6	-12	50	95	0.06	0	9836	0.11		
"Peru"	170086	149519	1.6	5	71	54	0.2	3	10420	0.13		
"Taipei, Chinese"	158010	114717	1.5	49	30	17	1.7	8	5007	0.1		
"Israel"	157115	147767	1.5	6	26	42	0.4	4	5483	0.07		
"Poland"	128473	118981	1.2	-5	39	18	1.5	8	3121	0.08		
"United Kingdom"	101242	63356	1	6	-13	7	3.2	1	3930	0.06		
"Egypt"	90834	80587	0.9	17	116	46	0.3	-1	5219	0.05		
"Bangladesh"	82293	78407	0.8	-10	110	49	0.3	6	4172	0.15		
"Netherlands"	81964	-10433	0.8	-10	47	8	2.8	5	3706	0.07		
"Italy"	67079	-19740	0.6	-27	-13	11	2.5	2	2891	0.06		
"Bolivia, Plurinational State of"	58163	-15918	0.6	2	24	106	0.04	-3	7978	0.11		
"Pakistan"	54795	45731	0.5	30	242	47	0.3	2	4850	0.11		
"Thailand"	51615	16567	0.5	36	58	23	1.2	2	4905	0.09		
"Germany"	49008	-226386	0.5	-25	39	3	6.5	3	3376	0.05		
"Hong Kong, China"	46856	-102804	0.4	11	-14	5	3.3	3	2841	0.22		
"Japan"	43244	-58983	0.4	8	-28	4	3.5	1	6256	0.09		
"Spain"	37049	-103412	0.4	-30	-24	15	1.9	3	3890	0.05		
"Denmark"	34191	4290	0.3	2	90	35	0.6	5	2182	0.08		
"China"	30322	-2278042	0.3	-4	119	2	11.1	5	6416	0.04		
"Kuwait"	26658	26658	0.3	3	-3	76	0.1	-3	5837	0.07		
"Ireland"	24645	22537	0.2	81	87	36	0.5	4	3265	0.1		
"Korea, Republic of"	24441	-183896	0.2	-26	-1	9	2.8	4	5699	0.09		
"Mexico"	22973	-110239	0.2	-13	-59	13	2.3	2	7039	0.24		
"Viet Nam"	22435	-24462	0.2	-33	-5	19	1.5	8	3535	0.19		
"Malaysia"	19469	8001	0.2	43	1014	25	1.1	3	5172	0.09		
"Indonesia"	19056	351	0.2	-9	-10	30	0.9	2	5872	0.11		
"Colombia"	17523	-32556	0.2	31	-21	51	0.3	4	8915	0.13		
"Switzerland"	16148	-20547	0.2	-25	16	20	1.5	4	3384	0.07		
"Singapore"	15614	-7863	0.1	22	792	16	1.9	3	5773	0.07		
"France"	15343	-64710	0.1	7	-46	6	3.2	1	3195	0.06		
"Tunisia"	15193	12911	0.1	-44	1667	78	0.10	-1	3411	0.06		
"United Arab Emirates"	13929	-32004	0.1	-17	-7	29	0.9	-2	5715	0.08		
"Iran, Islamic Republic of"	13879	13879	0.1	-68		72	0.1	-18	5612	0.13		
"Ecuador"	13637	6910	0.1	-35	47	69	0.1	3	9174	0.12		
"Suriname"	12947	12947	0.1	238	-23	173	0	1	9050	0.14		
"Portugal"	12119	1153	0.1	-45	90	40	0.4	2	2788	0.14		
"Saudi Arabia"	11435	-21185	0.1	-18	-57	32	0.7	3	5816	0.07		
"Myanmar"	11398	11330	0.1	20	-65	79	0.10	-1	2536	0.25		
"Luxembourg"	11355	11074	0.1	850	143	71	0.1	3	1488	0.14		
"Lebanon"	10496	9772	0.1	-26	2	97	0.06	-12	3592	0.06		
"Aruba"	9781	9781	0.1	15	-11	175	0	-3	4917	0.3		
"Mozambique"	8935	8935	0.1	51	2546	108	0.04	8	6196	0.1		
"Panama"	8140	-54131	0.1	15	7	60	0.2	1	8657	0.12		
"Belgium"	7737	-51760	0.1	20	12	12	2.4	3	2709	0.08		
"Libya, State of"	6921	6921	0.1	152	30	89	0.07	12	3475	0.08		
"Gabon"	6834	6834	0.1	-4	-4	158	0.01	-2	7114	0.11		
"Mauritius"	6700	6657	0.1	28	-27	133	0.02	-2	7320	0.08		
"Palestine, State of"	6145	6145	0.1	112	157	176	0	8	3026	0.1		
