Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Peru's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Peru (%)	
"World"	56260115	5082372	100	3	45		100	3				
"China"	17994761	3383118	32	7	64	2	11.1	5	6416	0.04		
"United States of America"	7192891	-2369365	12.8	-2	15	1	13.4	3	7938	0.08		
"Korea, Republic of"	2799184	1827261	5	5	24	9	2.8	4	5699	0.09		
"Japan"	2780239	1755853	4.9	6	61	4	3.5	1	6256	0.09		
"Canada"	2740341	1759377	4.9	30	14	14	2.2	1	5042	0.26		
"India"	2509157	1397851	4.5	-3	128	10	2.6	2	5793	0.05		
"Switzerland"	1934651	1800652	3.4	-8	41	20	1.5	4	3384	0.07		
"Netherlands"	1891695	1652764	3.4	12	33	8	2.8	5	3706	0.07		
"Chile"	1710957	392652	3	9	62	43	0.4	6	11582	0.13		
"Spain"	1482101	620172	2.6	-9	36	15	1.9	3	3890	0.05		
"United Kingdom"	1298385	1062729	2.3	7	204	7	3.2	1	3930	0.06		
"Germany"	1088740	-97909	1.9	-1	45	3	6.5	3	3376	0.05		
"Brazil"	1068308	-2362603	1.9	-15	42	26	1	6	10879	0.09		
"Ecuador"	927310	240568	1.6	0	44	69	0.1	3	9174	0.12		
"Colombia"	853191	-340330	1.5	4	28	51	0.3	4	8915	0.13		
"United Arab Emirates"	816063	709873	1.5	12	13	29	0.9	-2	5715	0.08		
"Bolivia, Plurinational State of"	699820	-225612	1.2	0	31	106	0.04	-3	7978	0.11		
"Italy"	655366	-94910	1.2	0	34	11	2.5	2	2891	0.06		
"Belgium"	570199	326918	1	-1	41	12	2.4	3	2709	0.08		
"Mexico"	555461	-1335839	1	6	33	13	2.3	2	7039	0.24		
"Panama"	553334	497267	1	-11	180	60	0.2	1	8657	0.12		
"Hong Kong, China"	329308	308175	0.6	18	79	5	3.3	3	2841	0.22		
"Taipei, Chinese"	268525	-138576	0.5	-2	36	17	1.7	8	5007	0.1		
"Bulgaria"	247591	235787	0.4	-6	9	57	0.2	6	2237	0.05		
"France"	234429	-91319	0.4	-5	14	6	3.2	1	3195	0.06		
"Philippines"	227930	170128	0.4	-7	2	34	0.6	2	4354	0.09		
"Russian Federation"	192377	-450051	0.3	17	44	21	1.3	5	4187	0.09		
"Poland"	178897	59630	0.3	17	440	18	1.5	8	3121	0.08		
"Ship stores and bunkers"	177682	148968	0.3	3	69	75	0.1	-11		0.16		
"Argentina"	163174	-2150628	0.3	-4	50	50	0.3	-5	10631	0.1		
"Namibia"	127230	127223	0.2	0	12	126	0.03	-1	3757	0.37		
"Australia"	124561	-30162	0.2	-17	0	24	1.1	1	10262	0.1		
"Dominican Republic"	121588	107874	0.2	2	51	67	0.1	5	6446	0.22		
"Thailand"	120858	-376483	0.2	2	-3	23	1.2	2	4905	0.09		
"Guatemala"	106028	52015	0.2	10	68	68	0.1	7	5828	0.15		
"Malaysia"	98635	-177489	0.2	-13	88	25	1.1	3	5172	0.09		
"Denmark"	95796	11496	0.2	-5	71	35	0.6	5	2182	0.08		
