Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Saint Lucia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Saint Lucia (%)	
"Total"	41858	-1388999	100	-20	12		100	3				
"United States of America"	11285	-534604	27	-30	24	1	13.4	3	7938	0.08		
"Guyana"	8395	939	20.1	4	75	144	0.02	13	11175	0.21		
"Barbados"	6590	-10803	15.7	9	-36	161	0	0	4992	0.21		
"France"	4431	-7106	10.6	22	154	6	3.2	1	3195	0.06		
"United Kingdom"	3210	-19177	7.7	-21	-30	7	3.2	1	3930	0.06		
"Grenada"	2666	1847	6.4	-15	21	191	0	-1	4157	0.2		
"Belize"	1573	107	3.8	5	0	179	0	1	5006	0.18		
"Canada"	744	-14019	1.8	33	0	14	2.2	1	5042	0.26		
"Angola"	409	409	1			100	0.05	-11	7692	0.06		
"Thailand"	360	-8654	0.9	-3	291	23	1.2	2	4905	0.09		
"Taipei, Chinese"	253	-40	0.6	11	-3	17	1.7	8	5007	0.1		
"India"	240	-3779	0.6	-12	-19	10	2.6	2	5793	0.05		
"Russian Federation"	234	-284786	0.6	80	-1	21	1.3	5	4187	0.09		
"Belgium"	153	-2174	0.4		5255	12	2.4	3	2709	0.08		
"Korea, Republic of"	141	-3680	0.3	-21	-15	9	2.8	4	5699	0.09		
"Greece"	140	81	0.3	331	25	45	0.3	4	2847	0.05		
"Spain"	124	-1701	0.3	2	176	15	1.9	3	3890	0.05		
"China"	116	-22806	0.3	17	95	2	11.1	5	6416	0.04		
"Dominican Republic"	109	-7005	0.3	-83		67	0.1	5	6446	0.22		
"Germany"	102	-4106	0.2	8	50	3	6.5	3	3376	0.05		
"Ukraine"	93	93	0.2	67	235	48	0.3	7	3255	0.06		
"Poland"	88	0	0.2	4	389	18	1.5	8	3121	0.08		
"Czech Republic"	73	53	0.2	12	181	28	1	4	2987	0.1		
"Japan"	61	-10557	0.1	-15	889	4	3.5	1	6256	0.09		
"Switzerland"	43	-1747	0.1	-25	336	20	1.5	4	3384	0.07		
"Netherlands"	31	-7406	0.1	-60	-76	8	2.8	5	3706	0.07		
"Denmark"	30	-963	0.1	-11	900	35	0.6	5	2182	0.08		
"Morocco"	27	27	0.1			52	0.3	4	4316	0.07		
"Australia"	27	-1285	0.1	-40	722	24	1.1	1	10262	0.1		
"Singapore"	20	-780	0	-15	-94	16	1.9	3	5773	0.07		
"Italy"	20	-3723	0	-55	-60	11	2.5	2	2891	0.06		
"Mexico"	15	-2034	0	-22	-48	13	2.3	2	7039	0.24		
"New Zealand"	7	-2098	0	-26	483	56	0.2	3	11141	0.09		
"Maldives"	6	6	0	59		151	0.01	-3	4478	0.08		
"Finland"	5	-5	0	11		44	0.4	3	2842	0.07		
"Ireland"	5	-358	0	-33	-84	36	0.5	4	3265	0.1		
"Cambodia"	4	4	0			66	0.1	16	2651	0.18		
"Mauritius"	4	4	0			133	0.02	-2	7320	0.08		
"Austria"	4	-405	0	71	-33	27	1	3	1514	0.18		
"Saudi Arabia"	3	3	0		-94	32	0.7	3	5816	0.07		
"Slovakia"	3	-15	0	-42	-92	38	0.5	4	2664	0.07		
"Israel"	2	2	0	-8		42	0.4	4	5483	0.07		
"Madagascar"	2	2	0	48	55	138	0.02	2	7339	0.08		
"Sweden"	2	-394	0	-70	-33	31	0.9	3	2128	0.07		
"Indonesia"	2	-1473	0	-43	42	30	0.9	2	5872	0.11		
"Serbia"	1	1	0			65	0.2	9	2497	0.06		
"South Africa"	1	-104	0	-6		41	0.4	-1	9230	0.07		
"Malaysia"	1	-1393	0			25	1.1	3	5172	0.09		
"Estonia"		-1				73	0.1	6	2314	0.06		
"Kenya"		-1				80	0.09	2	6680	0.08		
"Philippines"		-6				34	0.6	2	4354	0.09		
"Slovenia"		-10				55	0.2	10	2404	0.07		
"Bulgaria"		-29				57	0.2	6	2237	0.05		
"Romania"		-33				37	0.5	6	1891	0.07		
"Cyprus"		-33				105	0.05	-1	3118	0.09		
"Croatia"		-54				63	0.2	6	1362	0.07		
"Pakistan"		-106				47	0.3	2	4850	0.11		
"Ecuador"		-107				69	0.1	3	9174	0.12		
"Lithuania"		-143				59	0.2	7	1630	0.07		
"Norway"		-292				39	0.5	3	3470	0.06		
